year,Cluster,Division,District,rural,female,age5,age60,Age,hsize,DrinkWater,Toilet,Electricity,Floor,Roof,padma_m,jamuna_m,treat,smp1,yr
6.0,276.0,4.0,1.0,0.0,0.5037594,0.120300755,0.075187966,28.300753,5.1654134,0.43333334,0.06666667,0.8,0.33333334,0.96666664,109203.125,206010.5,0.0,0.0,1.0
7.0,278.0,4.0,1.0,1.0,0.46666667,0.13333334,0.1037037,27.896296,11.303703,0.0,0.0,0.0,0.0,0.92,109203.125,206010.5,0.0,0.0,1.0
6.0,275.0,4.0,1.0,1.0,0.47260273,0.1369863,0.14383562,28.205479,5.6986303,0.0,0.09090909,0.4090909,0.045454547,1.0,109203.125,206010.5,0.0,0.0,1.0
5.0,191.0,4.0,1.0,1.0,0.5283019,0.11949685,0.13207547,27.496855,7.327044,0.0,0.04347826,0.2173913,0.04347826,0.95652175,109203.125,206010.5,0.0,0.0,1.0
3.0,435.0,4.0,1.0,1.0,0.53103447,0.096551724,0.07586207,27.448277,5.524138,0.0,0.0,0.0,0.0,0.16666667,109203.125,206010.5,0.0,0.0,0.0
4.0,326.0,4.0,1.0,0.0,0.46456692,0.11023622,0.09448819,28.070866,4.905512,0.9375,0.15625,0.875,0.375,0.875,109203.125,206010.5,0.0,0.0,1.0
2.0,5.001565e+07,4.0,1.0,1.0,0.4765625,0.109375,0.0546875,24.1875,7.265625,0.0,0.05,0.1,,0.8,109203.125,206010.5,0.0,0.0,0.0
2.0,5.0017384e+07,4.0,1.0,1.0,0.5952381,0.011904762,0.05952381,29.404762,4.785714,0.0,0.0,0.05,,0.15,109203.125,206010.5,0.0,0.0,0.0
7.0,331.0,4.0,1.0,0.0,0.4642857,0.08035714,0.15178572,33.69643,9.857142,0.16666667,0.0,0.7083333,0.25,0.875,109203.125,206010.5,0.0,0.0,1.0
1.0,410.0,4.0,1.0,0.0,0.475,0.09166667,0.06666667,25.716667,6.983333,0.041666668,0.33333334,0.5833333,0.45833334,0.45833334,109203.125,206010.5,0.0,0.0,0.0
4.0,138.0,4.0,1.0,1.0,0.48076922,0.1474359,0.09615385,25.032051,6.217949,0.0,0.0,0.071428575,0.071428575,0.6785714,109203.125,206010.5,0.0,0.0,1.0
2.0,5.0010896e+07,4.0,1.0,1.0,0.50526315,0.08421053,0.094736844,28.68421,5.1894736,0.0,0.0,0.1,,0.15,109203.125,206010.5,0.0,0.0,0.0
4.0,413.0,4.0,1.0,0.0,0.5064935,0.15584415,0.14285715,28.162338,5.7012987,0.0,0.0,0.27586207,0.06896552,0.6896552,109203.125,206010.5,0.0,0.0,1.0
6.0,277.0,4.0,1.0,1.0,0.46195653,0.1521739,0.092391305,24.60326,7.228261,0.08,0.0,0.36,0.04,1.0,109203.125,206010.5,0.0,0.0,1.0
5.0,190.0,4.0,1.0,1.0,0.5070422,0.12676056,0.09859155,27.887323,5.380282,0.0,0.13793103,0.6896552,0.10344828,0.9655172,109203.125,206010.5,0.0,0.0,1.0
7.0,279.0,4.0,1.0,1.0,0.4919355,0.08064516,0.17741935,31.82258,11.387096,0.0,0.0,0.41666666,0.041666668,1.0,109203.125,206010.5,0.0,0.0,1.0
5.0,193.0,4.0,1.0,1.0,0.5116279,0.13178295,0.11627907,27.67442,5.3255816,0.0,0.0,0.0,0.08,0.56,109203.125,206010.5,0.0,0.0,1.0
4.0,139.0,4.0,1.0,1.0,0.5043478,0.13913043,0.052173913,23.234783,5.017391,0.04,0.0,0.24,0.0,0.56,109203.125,206010.5,0.0,0.0,1.0
5.0,233.0,4.0,1.0,0.0,0.4496124,0.093023255,0.093023255,29.232557,5.3410854,0.8148148,0.6296296,0.8518519,0.5555556,0.962963,109203.125,206010.5,0.0,0.0,1.0
6.0,281.0,4.0,1.0,0.0,0.50877196,0.096491225,0.1491228,31.377193,4.7017546,0.0,0.0,0.055555556,0.0,1.0,109203.125,206010.5,0.0,0.0,1.0
3.0,410.0,4.0,1.0,0.0,0.55140185,0.13084112,0.06542056,25.560747,11.112149,0.2,0.45,0.55,0.4,0.5,109203.125,206010.5,0.0,0.0,0.0
1.0,434.0,4.0,1.0,1.0,0.58666664,0.12666667,0.08,25.626667,5.9333334,0.0,0.0,0.0,0.0,0.05263158,109203.125,206010.5,0.0,0.0,0.0
5.0,242.0,4.0,1.0,0.0,0.5467626,0.15107913,0.07194245,25.381294,7.172662,0.0,0.0,0.5185185,0.0,1.0,109203.125,206010.5,0.0,0.0,1.0
6.0,279.0,4.0,1.0,1.0,0.46666667,0.108333334,0.175,34.233334,5.15,0.0,0.0,0.5416667,0.041666668,0.875,109203.125,206010.5,0.0,0.0,1.0
1.0,435.0,4.0,1.0,1.0,0.5408163,0.091836736,0.08163265,29.438776,7.3163266,0.0,0.0,0.0,0.0,0.10526316,109203.125,206010.5,0.0,0.0,0.0
7.0,277.0,4.0,1.0,1.0,0.54867256,0.053097345,0.10619469,34.752213,8.513274,0.0,0.0,0.0,0.0,0.5263158,109203.125,206010.5,0.0,0.0,1.0
3.0,434.0,4.0,1.0,1.0,0.50993377,0.105960265,0.119205296,28.245033,5.278146,0.0,0.0,0.0,0.0,0.21428572,109203.125,206010.5,0.0,0.0,0.0
5.0,192.0,4.0,1.0,1.0,0.4695652,0.09565217,0.104347825,29.226088,5.573913,0.0,0.0,0.05,0.05,0.6,109203.125,206010.5,0.0,0.0,1.0
6.0,280.0,4.0,1.0,1.0,0.45112783,0.15037593,0.12781955,28.31579,5.781955,0.0,0.0,0.34615386,0.07692308,1.0,109203.125,206010.5,0.0,0.0,1.0
3.0,433.0,4.0,1.0,1.0,0.5179856,0.1438849,0.10071942,27.28777,5.273381,0.0,0.033333335,0.36666667,0.033333335,0.2,109203.125,206010.5,0.0,0.0,0.0
6.0,274.0,4.0,1.0,1.0,0.51785713,0.14285715,0.10714286,27.27381,6.571429,0.0,0.0,0.56666666,0.13333334,1.0,109203.125,206010.5,0.0,0.0,1.0
7.0,330.0,4.0,1.0,0.0,0.4846154,0.06153846,0.10769231,31.123077,10.153846,0.4642857,0.21428572,0.85714287,0.5714286,0.96428573,109203.125,206010.5,0.0,0.0,1.0
2.0,5.0016036e+07,4.0,1.0,1.0,0.51376146,0.10091743,0.08256881,25.119267,6.0825686,0.0,0.0,0.0,,0.25,109203.125,206010.5,0.0,0.0,0.0
4.0,136.0,4.0,1.0,1.0,0.516129,0.21290323,0.08387097,23.129032,6.470968,0.0,0.0,0.045454547,0.08695652,0.9130435,109203.125,206010.5,0.0,0.0,1.0
4.0,137.0,4.0,1.0,1.0,0.5187166,0.15508021,0.09090909,24.417112,7.0748663,0.0,0.0,0.33333334,0.030303031,1.0,109203.125,206010.5,0.0,0.0,1.0
1.0,433.0,4.0,1.0,1.0,0.4723618,0.110552765,0.06030151,25.20603,6.678392,0.0,0.0,0.25714287,0.0,0.08571429,109203.125,206010.5,0.0,0.0,0.0
1.0,434.0,4.0,1.0,1.0,0.5,0.08695652,0.13043478,29.97826,6.7826085,0.0,0.0,0.0,0.0,0.05263158,109203.125,206010.5,0.0,0.0,0.0
7.0,276.0,4.0,1.0,1.0,0.51282054,0.094017096,0.06837607,27.880342,9.145299,0.1923077,0.0,0.23076923,0.03846154,0.84615386,109203.125,206010.5,0.0,0.0,1.0
2.0,5.0010804e+07,4.0,1.0,0.0,0.53125,0.114583336,0.083333336,27.3125,5.25,0.1,0.2,0.45,,0.55,109203.125,206010.5,0.0,0.0,0.0
