year,Cluster,Division,District,Urban,grameen_bank,co_operative_soc,madrassa_school,primary_school,high_school,post_office,cinema,dist_Thana,dist_district,NGO,dist_satellite_clinic,padma_m,jamuna_m,treat,smp1,yr,dist_hos
3.0,410.0,4.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,109203.125,206010.5,0.0,0.0,0.0,0.0
1.0,433.0,4.0,1.0,,0.0,0.0,,,,,,3.0,4.0,1.0,1.0,109203.125,206010.5,0.0,0.0,0.0,5.0
7.0,278.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,35.0,,,,,109203.125,206010.5,0.0,0.0,1.0,0.0
7.0,275.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,,,,,109203.125,206010.5,0.0,0.0,1.0,0.0
4.0,137.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,13.0,45.0,,,109203.125,206010.5,0.0,0.0,1.0,0.0
6.0,280.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,40.0,,,,,109203.125,206010.5,0.0,0.0,1.0,0.0
5.0,192.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,5.0,,,,,109203.125,206010.5,0.0,0.0,1.0,0.0
5.0,242.0,4.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,109203.125,206010.5,0.0,0.0,1.0,0.0
1.0,410.0,4.0,1.0,,0.0,1.0,,,,,,0.0,0.0,0.0,1.0,109203.125,206010.5,0.0,0.0,0.0,1.0
4.0,138.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,7.0,7.0,20.0,,,109203.125,206010.5,0.0,0.0,1.0,0.0
2.0,5.0010896e+07,4.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,109203.125,206010.5,0.0,0.0,0.0,0.0
1.0,435.0,4.0,1.0,,0.0,0.0,,,,,,2.0,20.0,0.0,5.0,109203.125,206010.5,0.0,0.0,0.0,5.0
5.0,233.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,109203.125,206010.5,0.0,0.0,1.0,0.0
7.0,279.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,,,,,109203.125,206010.5,0.0,0.0,1.0,0.0
