geocode,year,div,dist,pop,emp,pop_agr,pop_ind,pop_serv,density,pop91,rainm,rainsd,surban,prop_elec,jamuna_m,padma_m,treat,smp1,treatd
10409.0,1.0,1.0,4.0,244420.0,56040.0,46840.0,140.0,9060.0,455.4297,244420.0,66.505486,56.547085,0.049832255,0.019743979,260636.16,148376.4,0.0,0.0,0.0
10409.0,2.0,1.0,4.0,258360.0,62110.0,51870.0,150.0,10090.0,481.4042,244420.0,57.439983,56.115414,0.06645766,0.0984779,260636.16,148376.4,0.0,0.0,0.0
10409.0,3.0,1.0,4.0,269300.0,73480.0,53000.0,3640.0,16840.0,501.7888,244420.0,54.52502,57.833355,0.081099145,0.22303069,260636.16,148376.4,0.0,0.0,0.0
10419.0,1.0,1.0,4.0,65850.0,14190.0,11490.0,130.0,2570.0,774.2504,65850.0,66.314476,55.478577,0.09172361,0.013953488,237144.56,128130.87,0.0,0.0,0.0
10419.0,2.0,1.0,4.0,69770.0,15730.0,12780.0,80.0,2870.0,820.34094,65850.0,57.215725,55.70329,0.10204959,0.06851972,237144.56,128130.87,0.0,0.0,0.0
10419.0,3.0,1.0,4.0,77140.0,22120.0,13160.0,3100.0,5860.0,906.99585,65850.0,54.23165,57.499096,0.09800363,0.29068577,237144.56,128130.87,0.0,0.0,0.0
10428.0,1.0,1.0,4.0,220400.0,49590.0,34790.0,280.0,14520.0,697.04926,220400.0,66.314476,55.478577,0.10181488,0.056235295,253781.38,143560.8,0.0,0.0,0.0
10428.0,2.0,1.0,4.0,238850.0,53120.0,37360.0,490.0,15270.0,755.4002,220400.0,57.215725,55.70329,0.11542809,0.17385419,253781.38,143560.8,0.0,0.0,0.0
10428.0,3.0,1.0,4.0,263080.0,68420.0,38480.0,4260.0,25680.0,832.0314,220400.0,54.23165,57.499096,0.124448836,0.32869512,253781.38,143560.8,0.0,0.0,0.0
10447.0,1.0,1.0,4.0,108350.0,22870.0,16910.0,190.0,5770.0,724.60376,108350.0,66.314476,55.478577,0.086479,0.021621622,230616.36,119056.375,0.0,0.0,0.0
10447.0,2.0,1.0,4.0,119570.0,26660.0,20460.0,240.0,5960.0,799.63885,108350.0,57.215725,55.70329,0.09233085,0.18809524,230616.36,119056.375,0.0,0.0,0.0
10447.0,3.0,1.0,4.0,118260.0,28200.0,17620.0,2140.0,8440.0,790.8781,108350.0,54.23165,57.499096,0.10722138,0.33954155,230616.36,119056.375,0.0,0.0,0.0
10485.0,1.0,1.0,4.0,135050.0,28960.0,20870.0,230.0,7860.0,567.41315,135050.0,58.199287,48.30112,0.11766013,0.014274691,256797.34,150101.73,0.0,0.0,0.0
10485.0,2.0,1.0,4.0,162590.0,33470.0,24040.0,170.0,9260.0,683.12256,135050.0,48.913654,47.27513,0.15179285,0.06706793,256797.34,150101.73,0.0,0.0,0.0
10485.0,3.0,1.0,4.0,162560.0,46080.0,30180.0,4040.0,11860.0,682.9965,135050.0,46.31549,50.137775,0.17310531,0.312761,256797.34,150101.73,0.0,0.0,0.0
10602.0,1.0,1.0,6.0,147780.0,34430.0,24600.0,820.0,9010.0,952.98895,147780.0,62.817764,48.3937,0.053322505,0.06217448,163707.16,51718.42,0.0,0.0,0.0
10602.0,2.0,1.0,6.0,155000.0,35100.0,25530.0,610.0,8960.0,999.5485,147780.0,56.302826,53.837715,0.06696774,0.26420453,163707.16,51718.42,0.0,0.0,0.0
10602.0,3.0,1.0,6.0,148820.0,38580.0,24700.0,2960.0,10920.0,959.69556,147780.0,52.439507,55.0378,0.066254534,0.47990257,163707.16,51718.42,0.0,0.0,0.0
10603.0,1.0,1.0,6.0,134660.0,26060.0,19770.0,380.0,5910.0,793.5647,134660.0,63.743793,49.487793,0.035422545,0.0977918,185040.22,68386.05,0.0,0.0,0.0
10603.0,2.0,1.0,6.0,146260.0,27600.0,19330.0,360.0,7910.0,861.9247,134660.0,56.435066,54.0984,0.05893614,0.4035433,185040.22,68386.05,0.0,0.0,0.0
10603.0,3.0,1.0,6.0,139000.0,34280.0,17720.0,3440.0,13120.0,819.14075,134660.0,52.85891,55.742012,0.0676259,0.62752527,185040.22,68386.05,0.0,0.0,0.0
10607.0,1.0,1.0,6.0,335790.0,59680.0,37130.0,1900.0,20650.0,920.0734,335790.0,64.82352,51.378002,0.04607046,0.015099088,214123.53,97637.04,0.0,0.0,0.0
10607.0,2.0,1.0,6.0,355160.0,62530.0,40570.0,1170.0,20790.0,973.14777,335790.0,57.20367,55.08892,0.057269964,0.25267342,214123.53,97637.04,0.0,0.0,0.0
10607.0,3.0,1.0,6.0,312060.0,72360.0,36540.0,8160.0,27660.0,855.0526,335790.0,53.822357,56.91952,0.064410694,0.45848477,214123.53,97637.04,0.0,0.0,0.0
10610.0,1.0,1.0,6.0,143760.0,28630.0,15990.0,440.0,12200.0,1119.8005,143760.0,63.743793,49.487793,0.09752365,0.06422704,179855.48,68563.28,0.0,0.0,0.0
10610.0,2.0,1.0,6.0,152500.0,29800.0,18140.0,500.0,11160.0,1187.8796,143760.0,56.435066,54.0984,0.09895082,0.25510836,179855.48,68563.28,0.0,0.0,0.0
10610.0,3.0,1.0,6.0,148520.0,40660.0,21220.0,3320.0,16120.0,1156.8779,143760.0,52.85891,55.742012,0.10853757,0.45918366,179855.48,68563.28,0.0,0.0,0.0
10632.0,1.0,1.0,6.0,171150.0,36770.0,25990.0,960.0,9820.0,1183.6919,171150.0,62.35475,47.86212,0.17020158,0.10918817,165449.67,49988.82,0.0,0.0,0.0
10632.0,2.0,1.0,6.0,180550.0,38070.0,25430.0,700.0,11940.0,1248.7032,171150.0,56.236702,53.716114,0.2113542,0.33866242,165449.67,49988.82,0.0,0.0,0.0
10632.0,3.0,1.0,6.0,189180.0,48200.0,28580.0,5880.0,13740.0,1308.3893,171150.0,52.229805,54.68747,0.21619621,0.5919153,165449.67,49988.82,0.0,0.0,0.0
10636.0,1.0,1.0,6.0,167340.0,39550.0,33900.0,140.0,5510.0,6116.228,167340.0,63.13578,49.42469,0.060356162,0.014214876,166062.22,47966.0,0.0,0.0,0.0
10636.0,2.0,1.0,6.0,175280.0,37500.0,31490.0,370.0,5640.0,6406.4326,167340.0,58.732224,56.440853,0.07673437,0.1704049,176495.69,58444.78,0.0,0.0,0.0
10636.0,3.0,1.0,6.0,145540.0,37520.0,29420.0,3120.0,4980.0,5319.4443,167340.0,54.56846,57.18166,0.09523155,0.41322854,166062.22,47966.0,0.0,0.0,0.0
10651.0,1.0,1.0,6.0,413890.0,67330.0,25380.0,3170.0,38780.0,1763.4102,413890.0,64.68644,50.73572,0.49353692,0.35806933,201149.45,83417.125,0.0,0.0,0.0
10651.0,2.0,1.0,6.0,464900.0,78800.0,30060.0,3610.0,45130.0,1980.7422,413890.0,57.455856,55.238537,0.5079372,0.63222784,201149.45,83417.125,0.0,0.0,0.0
10651.0,3.0,1.0,6.0,515940.0,150360.0,26700.0,20760.0,102900.0,2198.202,413890.0,54.007072,57.13152,0.64104354,0.8084232,201149.45,83417.125,0.0,0.0,0.0
10662.0,1.0,1.0,6.0,293300.0,57300.0,44150.0,330.0,12820.0,1234.7914,293300.0,68.457016,55.880264,0.09682918,0.009023642,183819.02,65592.875,0.0,0.0,0.0
10662.0,2.0,1.0,6.0,302630.0,55160.0,41380.0,680.0,13100.0,1274.0707,293300.0,61.53902,59.860214,0.108746655,0.052676294,183819.02,65592.875,0.0,0.0,0.0
10662.0,3.0,1.0,6.0,300460.0,75820.0,56560.0,5420.0,13840.0,1264.9349,293300.0,58.599735,62.743423,0.10909938,0.26425505,183819.02,65592.875,0.0,0.0,0.0
10669.0,1.0,1.0,6.0,170130.0,34240.0,28720.0,480.0,5040.0,1154.5979,170130.0,67.291176,54.542416,0.0578969,0.017463235,192162.38,73981.68,0.0,0.0,0.0
10669.0,2.0,1.0,6.0,184120.0,37820.0,30690.0,300.0,6830.0,1249.5419,170130.0,60.929443,59.13999,0.058603086,0.23793676,176798.17,58753.047,0.0,0.0,0.0
10669.0,3.0,1.0,6.0,175820.0,42020.0,28320.0,3740.0,9960.0,1193.2134,170130.0,57.711098,61.556515,0.112956434,0.4945341,176798.17,58753.047,0.0,0.0,0.0
10694.0,1.0,1.0,6.0,227520.0,48880.0,35820.0,860.0,12200.0,914.24896,227520.0,63.743793,49.487793,0.03160162,0.061927117,175085.97,62374.19,0.0,0.0,0.0
10694.0,2.0,1.0,6.0,239470.0,52420.0,39810.0,610.0,12000.0,962.26794,227520.0,56.435066,54.0984,0.04188416,0.2971592,175085.97,62374.19,0.0,0.0,0.0
10694.0,3.0,1.0,6.0,233200.0,59200.0,36760.0,5220.0,17220.0,937.07306,227520.0,52.85891,55.742012,0.05137221,0.5132175,175085.97,62374.19,0.0,0.0,0.0
10918.0,1.0,1.0,9.0,350770.0,66910.0,46660.0,560.0,19690.0,1168.8438,350770.0,72.2276,61.22271,0.18385267,0.08610536,210132.36,91775.49,0.0,0.0,0.0
10918.0,2.0,1.0,9.0,408100.0,73320.0,50680.0,680.0,21960.0,1359.88,350770.0,65.622185,64.563866,0.18488115,0.19547477,210132.36,91775.49,0.0,0.0,0.0
10918.0,3.0,1.0,9.0,430680.0,108560.0,56760.0,4860.0,46940.0,1435.1216,350770.0,63.192394,68.42556,0.20414229,0.4451514,210132.36,91775.49,0.0,0.0,0.0
10921.0,1.0,1.0,9.0,209290.0,46860.0,38990.0,90.0,7780.0,679.84406,209290.0,72.26848,64.53991,0.14616083,0.025013305,236047.97,117733.586,0.0,0.0,0.0
10921.0,2.0,1.0,9.0,244510.0,49170.0,38300.0,280.0,10590.0,794.2504,209290.0,65.15827,64.71921,0.14567912,0.08627946,236047.97,117733.586,0.0,0.0,0.0
10921.0,3.0,1.0,9.0,234480.0,59380.0,40340.0,3260.0,15780.0,761.6696,209290.0,62.653027,67.76537,0.16615489,0.24969098,236047.97,117733.586,0.0,0.0,0.0
10925.0,1.0,1.0,9.0,342960.0,75130.0,62600.0,460.0,12070.0,586.6174,342960.0,72.8346,68.73334,0.09289713,0.016991427,269103.7,150931.08,0.0,0.0,0.0
10925.0,2.0,1.0,9.0,413600.0,82250.0,65980.0,380.0,15890.0,707.4439,342960.0,65.39905,65.64383,0.09422147,0.038036212,269103.7,150931.08,0.0,0.0,0.0
10925.0,3.0,1.0,9.0,454840.0,118360.0,86240.0,11080.0,21040.0,777.98303,342960.0,62.76958,68.09655,0.09638554,0.20012534,269103.7,150931.08,0.0,0.0,0.0
10929.0,1.0,1.0,9.0,152610.0,32830.0,21650.0,290.0,10890.0,726.36835,152610.0,72.2276,61.22271,0.10438372,0.021435862,235772.36,118659.06,0.0,0.0,0.0
10929.0,2.0,1.0,9.0,173580.0,29010.0,18350.0,340.0,10320.0,826.178,152610.0,65.622185,64.563866,0.17807351,0.1644778,235772.36,118659.06,0.0,0.0,0.0
10929.0,3.0,1.0,9.0,171020.0,43780.0,28900.0,2620.0,12260.0,813.9933,152610.0,63.192394,68.42556,0.10115776,0.39674523,235772.36,118659.06,0.0,0.0,0.0
10954.0,1.0,1.0,9.0,253980.0,53680.0,45000.0,530.0,8150.0,953.4858,253980.0,72.29573,67.09665,0.11237105,0.0031049014,252545.33,134156.55,0.0,0.0,0.0
10954.0,2.0,1.0,9.0,274350.0,53970.0,43320.0,320.0,10330.0,1029.9584,253980.0,64.849,64.918625,0.11685803,0.04830734,252545.33,134156.55,0.0,0.0,0.0
10954.0,3.0,1.0,9.0,284780.0,73200.0,54280.0,4040.0,14880.0,1069.1144,253980.0,62.29345,67.34378,0.12620269,0.17868853,252545.33,134156.55,0.0,0.0,0.0
10965.0,1.0,1.0,9.0,52040.0,10330.0,9080.0,20.0,1230.0,218.95906,52040.0,73.60518,71.29137,0.04554189,0.016703786,272223.03,154119.55,0.0,0.0,0.0
10965.0,2.0,1.0,9.0,68680.0,13870.0,9700.0,60.0,4110.0,288.9721,52040.0,66.23954,66.815865,0.035818286,0.041237112,272223.03,154119.55,0.0,0.0,0.0
10965.0,3.0,1.0,9.0,76840.0,20180.0,16120.0,700.0,3360.0,323.30542,52040.0,63.66747,69.47354,0.010931807,0.18576196,272223.03,154119.55,0.0,0.0,0.0
10991.0,1.0,1.0,9.0,117700.0,25800.0,21910.0,90.0,3800.0,1188.6488,117700.0,72.29573,67.09665,0.13670348,0.0063414634,245229.1,127125.0,0.0,0.0,0.0
10991.0,2.0,1.0,9.0,120620.0,27940.0,23130.0,200.0,4610.0,1218.1378,117700.0,64.849,64.918625,0.15088709,0.051149882,245229.1,127125.0,0.0,0.0,0.0
10991.0,3.0,1.0,9.0,125420.0,36700.0,27580.0,3980.0,5140.0,1266.6128,117700.0,62.29345,67.34378,0.1616967,0.14822547,245229.1,127125.0,0.0,0.0,0.0
