former_dis,dist,year,div,yld,pop91,rainm,rainsd,jamuna_m,padma_m,treat,smp1,treatd
2,2.0,1.0,1.0,2.5063622109099777,106530480.0,58.777428,57.012592,210431.14,97299.266,0.0,0.0,0.0
2,2.0,2.0,1.0,2.634180321485475,106530480.0,61.983543,61.028595,210431.14,97299.266,0.0,0.0,0.0
2,2.0,3.0,1.0,2.4722346761217,106530480.0,55.68806,55.07233,210431.14,97299.266,0.0,0.0,0.0
2,2.0,4.0,1.0,3.010941035056685,106530480.0,59.539795,61.315655,210431.14,97299.266,0.0,0.0,0.0
2,2.0,5.0,1.0,3.0340298413875537,106530480.0,59.578827,57.16111,210431.14,97299.266,0.0,0.0,0.0
2,2.0,6.0,1.0,3.286224240082595,106530480.0,62.762424,62.607613,210431.14,97299.266,0.0,0.0,0.0
2,2.0,7.0,1.0,3.5295,106530480.0,55.2465,54.820797,210431.14,97299.266,0.0,0.0,0.0
2,2.0,8.0,1.0,3.3394166666666667,106530480.0,59.42014,60.73058,210431.14,97299.266,0.0,0.0,0.0
3,3.0,1.0,5.0,2.6692882003660365,72153270.0,50.131283,51.154213,83865.32,199057.22,1.0,1.0,0.0
3,3.0,2.0,5.0,2.7547493590703946,72153270.0,38.754726,42.411915,83865.32,199057.22,1.0,1.0,0.0
3,3.0,3.0,5.0,2.8953410864170572,72153270.0,40.311283,43.070473,83865.32,199057.22,1.0,1.0,0.0
3,3.0,4.0,5.0,3.0106490326634745,72153270.0,47.839264,47.710064,83865.32,199057.22,1.0,1.0,0.0
3,3.0,5.0,5.0,3.185203366689109,72153270.0,50.275482,49.454212,83865.32,199057.22,1.0,1.0,0.0
3,3.0,6.0,5.0,3.5172749315860483,72153270.0,49.30241,50.573868,83865.32,199057.22,1.0,1.0,0.0
3,3.0,7.0,5.0,3.813333333333333,72153270.0,43.778664,44.96287,83865.32,199057.22,1.0,1.0,0.0
3,3.0,8.0,5.0,3.8860000000000006,72153270.0,44.73339,46.704258,83865.32,199057.22,1.0,1.0,0.0
6,6.0,1.0,3.0,2.713138590818778,274866060.0,49.29782,43.312798,95889.46,55384.586,0.0,,1.0
6,6.0,2.0,3.0,2.8605107691612943,274866060.0,44.88432,41.632286,95889.46,55384.586,0.0,,1.0
6,6.0,3.0,3.0,2.8117042534067482,274866060.0,44.806705,42.327137,95889.46,55384.586,0.0,,1.0
6,6.0,4.0,3.0,3.239400768216274,274866060.0,50.41385,48.684284,95889.46,55384.586,0.0,,1.0
6,6.0,5.0,3.0,3.5821153507835386,274866060.0,50.110542,44.685593,95889.46,55384.586,0.0,,1.0
