table,outcome,estimator,term,stata_coef,stata_se,python_coef,python_se,abs_diff_coef,abs_diff_se,match_coef,match_se,match_flag
T1,D_lmn,KOBDR,mean,0.033,0.016,0.0326196486942649,0.016282944500970585,0.0003803513057351049,0.0002829445009705847,True,True,exact
T1,D_lmn,LWDR,mean,0.032,0.016,0.03169140926618112,0.01622096484388064,0.00030859073381887814,0.00022096484388063956,True,True,exact
T1,D_lmn,OLS,mean,0.016,0.016,0.016256663070130795,0.01602744173270384,0.00025666307013079426,2.744173270383815e-05,True,True,exact
T1,D_lyld,KOBDR,mean,0.053,0.049,0.05308590326675049,0.04843807097635673,8.590326675048804e-05,0.0005619290236432706,True,True,exact
T1,D_lyld,LWDR,mean,0.049,0.049,0.04890413528516545,0.04889446776254532,9.586471483455372e-05,0.00010553223745467938,True,True,exact
T1,D_lyld,OLS,mean,-0.042,0.085,-0.041694017001862246,0.08427277193644542,0.00030598299813775626,0.0007272280635545886,True,False,coef only
T1,ldensity,KOBDR,mean,0.025,0.015,0.02470684649232363,0.015166870492049362,0.00029315350767637055,0.00016687049204936258,True,True,exact
T1,ldensity,LWDR,mean,0.025,0.015,0.02480629574880669,0.015066797640703573,0.00019370425119331208,6.679764070357391e-05,True,True,exact
T1,ldensity,OLS,mean,0.032,0.015,0.032185284294198716,0.01520983998213518,0.00018528429419871484,0.00020983998213518033,True,True,exact
T1,lmn,KOBDR,mean,0.109,0.022,0.10876651327554059,0.02232536578905077,0.0002334867244594141,0.00032536578905077024,True,True,exact
T1,lmn,LWDR,mean,0.106,0.022,0.10587644465625509,0.02223497335695253,0.00012355534374490496,0.00023497335695253294,True,True,exact
T1,lmn,OLS,mean,0.088,0.022,0.08806762062659311,0.022003701577312643,6.762062659311507e-05,3.701577312643922e-06,True,True,exact
T1,lyld,KOBDR,mean,0.063,0.023,0.0633796149859022,0.022743312220923455,0.00037961498590219356,0.00025668777907654483,True,True,exact
T1,lyld,LWDR,mean,0.059,0.026,0.058843384371075065,0.025310176733291032,0.0001566156289249318,0.0006898232667089665,True,False,coef only
T1,lyld,OLS,mean,0.049,0.031,0.04921312856820269,0.030557807707140897,0.00021312856820268622,0.0004421922928591025,True,True,exact
T1,sagr,KOBDR,mean,-0.013,0.007,-0.01309935336308761,0.006567212175089058,9.935336308761027e-05,0.0004327878249109421,True,True,exact
T1,sagr,LWDR,mean,-0.013,0.007,-0.012886353757889935,0.006574575565855554,0.00011364624211006487,0.00042542443414444586,True,True,exact
T1,sagr,OLS,mean,-0.008,0.007,-0.007734467728753483,0.006637030696073777,0.0002655322712465172,0.00036296930392622304,True,True,exact
T1,sind,KOBDR,mean,-0.01,0.004,-0.009585956498963853,0.004213046305354331,0.0004140435010361477,0.00021304630535433095,True,True,exact
T1,sind,LWDR,mean,-0.009,0.004,-0.009424592873304985,0.004198419294064265,0.0004245928733049853,0.00019841929406426515,True,True,exact
T1,sind,OLS,mean,-0.01,0.004,-0.009760776884436162,0.004235329104415212,0.00023922311556383823,0.000235329104415212,True,True,exact
T1,sserv,KOBDR,mean,0.023,0.005,0.022685309862051462,0.005424903880500486,0.0003146901379485374,0.0004249038805004858,True,True,exact
T1,sserv,LWDR,mean,0.022,0.005,0.02231094663119492,0.005428230888902327,0.00031094663119492216,0.0004282308889023267,True,True,exact
T1,sserv,OLS,mean,0.017,0.006,0.01749524461318963,0.005516597466135208,0.0004952446131896299,0.00048340253386479175,True,True,exact
T2,D_lmn,KOBDR,LR,0.032,0.017,0.032362661265811186,0.01665978898166117,0.0003626612658111858,0.00034021101833883044,True,True,exact
T2,D_lmn,KOBDR,SR,0.029,0.026,0.02884535645819874,0.02605166963650584,0.00015464354180126302,5.1669636505841804e-05,True,True,exact
T2,D_lmn,LWDR,LR,0.031,0.017,0.03141371527646692,0.016590201370758687,0.0004137152764669208,0.0004097986292413147,True,True,exact
T2,D_lmn,LWDR,SR,0.027,0.026,0.0274871294897837,0.02597834243946033,0.00048712948978369905,2.165756053966808e-05,True,True,exact
T2,D_lmn,OLS,LR,0.015,0.016,0.015458519653093153,0.01636615965512349,0.00045851965309315346,0.000366159655123488,True,True,exact
T2,D_lmn,OLS,SR,0.004,0.025,0.004074129612998682,0.025374624838269057,7.412961299868223e-05,0.00037462483826905535,True,True,exact
T2,D_lyld,KOBDR,LR,0.051,0.049,0.05107699982554342,0.04814535312327006,7.699982554342649e-05,0.0008546468767299392,True,False,coef only
T2,D_lyld,KOBDR,SR,0.004,0.079,0.004056904072596124,0.07837806767807819,5.690407259612354e-05,0.0006219323219218142,True,False,coef only
T2,D_lyld,LWDR,LR,0.047,0.048,0.04713593807762903,0.04755519638900325,0.00013593807762903032,0.00044480361099675375,True,True,exact
T2,D_lyld,LWDR,SR,-0.005,0.079,-0.005318055541137165,0.07806231365723612,0.00031805554113716484,0.0009376863427638799,True,False,coef only
T2,D_lyld,OLS,LR,-0.039,0.078,-0.038967416517329836,0.07766847773076226,3.258348267016348e-05,0.00033152226923774397,True,True,exact
T2,D_lyld,OLS,SR,-0.102,0.097,-0.1016574905474959,0.09669220725910617,0.0003425094525040945,0.00030779274089383357,True,True,exact
T2,ldensity,KOBDR,LR,0.059,0.016,0.058951318316778634,0.01635141484253063,4.868168322136324e-05,0.0003514148425306299,True,True,exact
T2,ldensity,KOBDR,SR,-0.025,0.014,-0.024792619659508672,0.014165483433301228,0.00020738034049132964,0.0001654834333012275,True,True,exact
T2,ldensity,LWDR,LR,0.059,0.016,0.05870725268287266,0.016233419619360995,0.00029274731712733426,0.00023341961936099512,True,True,exact
T2,ldensity,LWDR,SR,-0.024,0.014,-0.024482767280786757,0.01406096709242799,0.00048276728078675696,6.0967092427989186e-05,True,True,exact
T2,ldensity,OLS,LR,0.065,0.016,0.06517953824044698,0.016153601284646334,0.00017953824044697475,0.00015360128464633402,True,True,exact
T2,ldensity,OLS,SR,-0.023,0.014,-0.02340192750459505,0.01382298757336522,0.0004019275045950496,0.00017701242663478028,True,True,exact
T2,lmn,KOBDR,LR,0.112,0.023,0.11152570417059998,0.023077038837753427,0.00047429582940002046,7.703883775342715e-05,True,True,exact
T2,lmn,KOBDR,SR,0.049,0.018,0.048682532344212784,0.01845560603160225,0.00031746765578721803,0.0004556060316022528,True,True,exact
T2,lmn,LWDR,LR,0.109,0.023,0.10850790898497832,0.022967672777602595,0.0004920910150216784,3.232722239740471e-05,True,True,exact
T2,lmn,LWDR,SR,0.047,0.018,0.047301356619689906,0.01846114816475312,0.0003013566196899062,0.00046114816475312237,True,True,exact
T2,lmn,OLS,LR,0.09,0.023,0.09024646710800027,0.022508276857055934,0.0002464671080002756,0.0004917231429440658,True,True,exact
T2,lmn,OLS,SR,0.026,0.018,0.02572484156358655,0.01843649290727111,0.0002751584364134481,0.00043649290727111253,True,True,exact
T2,lyld,KOBDR,LR,0.079,0.024,0.07874901404729087,0.02384574140239125,0.00025098595270912905,0.00015425859760875155,True,True,exact
T2,lyld,KOBDR,SR,0.012,0.026,0.011783880379330341,0.02539659604324244,0.00021611962066965876,0.0006034039567575575,True,False,coef only
T2,lyld,LWDR,LR,0.075,0.026,0.07469996402122134,0.02578563925979845,0.0003000359787786594,0.0002143607402015496,True,True,exact
T2,lyld,LWDR,SR,0.007,0.027,0.006571842025323185,0.027201186149467902,0.00042815797467681514,0.00020118614946790236,True,True,exact
T2,lyld,OLS,LR,0.071,0.027,0.07114107820546232,0.027071834231799083,0.00014107820546233052,7.183423179908319e-05,True,True,exact
T2,lyld,OLS,SR,-0.017,0.03,-0.017389550798045165,0.030089127404630177,0.0003895507980451636,8.912740463017793e-05,True,True,exact
T2,sagr,KOBDR,LR,-0.012,0.009,-0.012194619420142487,0.00887429254667403,0.00019461942014248682,0.00012570745332596972,True,True,exact
T2,sagr,KOBDR,SR,-0.014,0.006,-0.014407122027612296,0.006138357717690679,0.0004071220276122955,0.000138357717690679,True,True,exact
T2,sagr,LWDR,LR,-0.012,0.009,-0.01190632055196792,0.00888188346651722,9.367944803207948e-05,0.0001181165334827785,True,True,exact
T2,sagr,LWDR,SR,-0.014,0.006,-0.014311237384383078,0.006073005804964431,0.0003112373843830781,7.300580496443117e-05,True,True,exact
T2,sagr,OLS,LR,-0.005,0.008,-0.005332261186822951,0.008393326147611272,0.0003322611868229507,0.00039332614761127156,True,True,exact
T2,sagr,OLS,SR,-0.012,0.006,-0.011781595572537367,0.006376341848190209,0.00021840442746263317,0.0003763418481902087,True,True,exact
T2,sind,KOBDR,LR,-0.012,0.005,-0.012046056829733823,0.004741643517158684,4.6056829733822496e-05,0.0002583564828413159,True,True,exact
T2,sind,KOBDR,SR,-0.006,0.005,-0.006029947410043075,0.004856459803992822,2.99474100430748e-05,0.00014354019600717853,True,True,exact
T2,sind,LWDR,LR,-0.012,0.005,-0.01172068392394223,0.004711344767662966,0.0002793160760577694,0.0002886552323370338,True,True,exact
T2,sind,LWDR,SR,-0.006,0.005,-0.006086274821202266,0.0048584485546276646,8.627482120226581e-05,0.00014155144537233554,True,True,exact
T2,sind,OLS,LR,-0.012,0.005,-0.012223704887123377,0.004663977000343881,0.0002237048871233764,0.0003360229996561192,True,True,exact
T2,sind,OLS,SR,-0.006,0.005,-0.005611348297458824,0.005136996960292512,0.00038865170254117655,0.00013699696029251165,True,True,exact
T2,sserv,KOBDR,LR,0.024,0.008,0.024240676249876303,0.0076297823923979526,0.00024067624987630237,0.0003702176076020476,True,True,exact
T2,sserv,KOBDR,SR,0.02,0.005,0.020437069437655372,0.005192121902275162,0.000437069437655372,0.00019212190227516166,True,True,exact
