dataset,test,outcome,estimator,coef,se,p,n
employment,level,ldensity,naive,-0.023621326539577166,0.0684569841711992,0.7300541005761532,246
employment,level,ldensity,OLS,0.1740826310060441,0.10770681140943049,0.1060372684724138,246
employment,level,ldensity,LWDR,0.15589916091629957,0.11706033959361767,0.18293097039339956,238
employment,level,ldensity,KOBDR,0.14888750967163772,0.11747387075775657,0.2050088746437172,238
employment,level,sind,naive,0.0002493437874975038,0.006069206292482024,0.9672293875967003,246
employment,level,sind,OLS,0.006545161787846233,0.006239591475686817,0.29419063386810884,246
employment,level,sind,LWDR,0.0028170457585915496,0.005530645857132705,0.6105054859210133,238
employment,level,sind,KOBDR,0.0024616692875798047,0.00550066696803028,0.6544982325842301,238
employment,level,sserv,naive,-0.0879474358755227,0.014260724758057114,6.955006786392428e-10,246
employment,level,sserv,OLS,-0.017946907578471442,0.018568354448742223,0.33377807433614826,246
employment,level,sserv,LWDR,-0.017695379798720986,0.019305397075705853,0.3593508496187118,238
employment,level,sserv,KOBDR,-0.018340931546140707,0.019136871309279015,0.33785703672816325,238
employment,level,sagr,naive,0.08769809208802463,0.01701823132580188,2.5609927561673066e-07,246
employment,level,sagr,OLS,0.011401745790624675,0.020652105629194815,0.5808891877363274,246
employment,level,sagr,LWDR,0.014878334040128914,0.02108913940579603,0.48050071928311044,238
employment,level,sagr,KOBDR,0.015879262258561073,0.020911344663460712,0.44763656037168387,238
nightlights,level,lmn,naive,0.043805043268022814,0.06515093111678824,0.5013529465425159,494
nightlights,trend,lmn,naive,0.011007842730632496,0.010858403838700978,0.3106960882375518,494
nightlights,level,lmn,OLS,0.08022492767272782,0.08921297045602178,0.36851853437839877,494
nightlights,trend,lmn,OLS,0.043390139392331745,0.01897278982356142,0.022197764200361764,494
nightlights,level,lmn,LWDR,0.07982499811001054,0.10184252778199827,0.4331527207971243,478
nightlights,trend,lmn,LWDR,0.027170476027297635,0.01922324168752829,0.15753285296846609,478
nightlights,level,lmn,KOBDR,0.06634479247570435,0.10398177034393304,0.5234459912303754,478
nightlights,trend,lmn,KOBDR,0.027096417253518412,0.01946381827095706,0.16387911649109332,478
yield,level,lyld,naive,0.034042410928698294,0.051243521590815064,0.506481593745119,33
yield,trend,lyld,naive,0.009576408344751394,0.04590694263467415,0.8347567672749101,33
yield,level,lyld,OLS,0.102679321086252,0.08203480557226536,0.21069539734286458,33
yield,trend,lyld,OLS,0.04090954986032931,0.038354206363990055,0.28614127152334423,33
yield,level,lyld,LWDR,0.06365609944380929,0.03166924079259066,0.04442809609775191,27
yield,trend,lyld,LWDR,0.02861864204218804,0.023314247817637777,0.21962823150744915,27
yield,level,lyld,KOBDR,0.07051904698369366,0.03255232447208215,0.030286049409624073,27
yield,trend,lyld,KOBDR,0.027863793162286765,0.023846520784377566,0.24261978590944233,27
