dataset,outcome,estimator,stata_recipe_coef,stata_recipe_se,pyfixest_coef,pyfixest_se,diffdiff_coef,diffdiff_se,max_coef_gap,max_se_gap
nightlights,lmn,OLS,0.08806762062659311,0.022003701577312643,0.08806762062660077,0.022010108245546414,0.08806762137387793,0.0219717512308641,7.472848173595281e-10,3.835701468231367e-05
nightlights,lmn,LWDR,0.10587644465625509,0.02223497335695253,0.10587644465624375,0.022241665598895632,0.10587644465624382,0.022670483812117347,1.1338152638984411e-14,0.0004355104551648156
nightlights,lmn,KOBDR,0.10876651327554059,0.02232536578905077,0.10876651327554201,0.022332085237145798,0.1087665132755414,0.02303876907567261,1.429412144204889e-15,0.0007134032866218422
nightlights,D_lmn,OLS,0.016256663070130795,0.01602744173270384,0.016256663070128404,0.016032888611954742,0.016256663639322343,0.016005709663709428,5.691939385099598e-10,2.7178948245314832e-05
nightlights,D_lmn,LWDR,0.03169140926618112,0.01622096484388064,0.03169140926618152,0.01622666340890583,0.0316914092661813,0.016353667667189268,3.95516952522712e-16,0.00013270282330862804
nightlights,D_lmn,KOBDR,0.0326196486942649,0.016282944500970585,0.03261964869426893,0.016288664839984746,0.032619648694268887,0.016425046623456483,4.0314973581701e-15,0.00014210212248589801
employment,ldensity,OLS,0.032185284294198716,0.01520983998213518,0.03218528429419878,0.015220254115489532,0.03218528390431607,0.015199447242685002,3.8988270945061743e-10,2.080687280452999e-05
employment,ldensity,LWDR,0.02480629574880669,0.015066797640703573,0.02480629574880668,0.015077464401431222,0.024806295748807234,0.013652337065161972,5.551115123125783e-16,0.0014251273362692503
employment,ldensity,KOBDR,0.02470684649232363,0.015166870492049362,0.024706846492323627,0.015177608100822203,0.024706846492323638,0.013507624842550213,1.0408340855860843e-17,0.0016699832582719905
employment,sind,OLS,-0.009760776884436162,0.004235329104415212,-0.009760776884436233,0.0042382290219781064,-0.009760776783374841,0.004232435124349994,1.010613918939196e-10,5.793897628112062e-06
employment,sind,LWDR,-0.009424592873304985,0.004198419294064265,-0.009424592873304976,0.004201391626680149,-0.009424592873304823,0.004201013602205095,1.6132928326584306e-16,2.9723326158840116e-06
employment,sind,KOBDR,-0.009585956498963853,0.004213046305354331,-0.009585956498963887,0.004216028993377729,-0.009585956498963856,0.004229867153123272,3.469446951953614e-17,1.682084776894084e-05
employment,sserv,OLS,0.01749524461318963,0.005516597466135208,0.017495244613189676,0.005520374664432005,0.017495244643793255,0.005512828000311601,3.0603623801805924e-11,7.5466641204042714e-06
employment,sserv,LWDR,0.02231094663119492,0.005428230888902327,0.02231094663119498,0.005432073884703268,0.0223109466311952,0.005385240697144386,2.7755575615628914e-16,4.6833187558882085e-05
employment,sserv,KOBDR,0.022685309862051462,0.005424903880500486,0.022685309862051504,0.005428744520896946,0.02268530986205146,0.005379668588867452,4.5102810375396984e-17,4.907593202949437e-05
employment,sagr,OLS,-0.007734467728753483,0.006637030696073777,-0.007734467728753435,0.006641575051755842,-0.007734467860418397,0.00663249565027055,1.3166496191929777e-10,9.079401485292439e-06
employment,sagr,LWDR,-0.012886353757889935,0.006574575565855554,-0.012886353757890004,0.0065792301332108505,-0.012886353757890372,0.0063649861609415765,4.371503159461554e-16,0.00021424397226927402
employment,sagr,KOBDR,-0.01309935336308761,0.006567212175089058,-0.013099353363087603,0.006571861529423678,-0.013099353363087669,0.006379615240592834,6.591949208711867e-17,0.00019224628883084387
yield,lyld,OLS,0.04921312856820269,0.030557807707140897,0.04921312856820299,0.030760851852501134,0.049213129701781926,0.029418604362695267,1.1335792374222997e-09,0.0013422474898058673
yield,lyld,LWDR,0.058843384371075065,0.025310176733291032,0.05884338437107496,0.025523768509351803,0.0588433843710746,0.03521881296661496,4.649058915617843e-16,0.009908636233323925
yield,lyld,KOBDR,0.0633796149859022,0.022743312220923455,0.06337961498590211,0.022935242309045936,0.06337961498590138,0.034097662424729704,8.187894806610529e-16,0.011354350203806249
yield,D_lyld,OLS,-0.041694017001862246,0.08427277193644542,-0.0416940170018621,0.08491854974759186,-0.041694017936456065,0.08125125754224338,9.34593964718733e-10,0.003667292205348477
yield,D_lyld,LWDR,0.04890413528516545,0.04889446776254532,0.04890413528516537,0.04937149825650433,0.04890413528516588,0.06768108643001049,5.065392549852277e-16,0.018786618667465164
yield,D_lyld,KOBDR,0.05308590326675049,0.04843807097635673,0.05308590326675125,0.04891064871329956,0.053085903266750216,0.07342704679667873,1.033895191682177e-15,0.024988975820322
