geocode,year,div,dist,pop,emp,pop_agr,pop_ind,pop_serv,density,pop91,rainm,rainsd,surban,prop_elec,jamuna_m,padma_m,treat,smp1,treatd,mdist,lmdist,lpop91,lrainm,lrainsd,p,ipw1,ipw2,ipw3,ipw4,ldensity,sind,sserv,sagr,lagr,lpop91_t,lmdist_t,post,sr,lr,treat_post,treat_sr,treat_lr,band,dm_near,sr_near,lr_near,tsr_near,tlr_near,dm_mid,sr_mid,lr_mid,tsr_mid,tlr_mid,dm_far,sr_far,lr_far,tsr_far,tlr_far
10409,1,1.0,4.0,244420.0,56040.0,46840.0,140.0,9060.0,455.4297,244420.0,66.505486,56.547085,0.049832255,0.019743979,260636.16,148376.4,0,0.0,0.0,148.3764,5.0064692,12.406643335991992,4.197284,4.0350738,0.5979981426716464,1.5117385122192928,1.5159218998939592,1.5117385122192928,1.5159218998939592,6.1212416,0.0024982155603140615,0.16167023554603854,0.8358315488936474,10.754492817711654,12.406643335991992,5.0064692,0,0,0,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10409,2,1.0,4.0,258360.0,62110.0,51870.0,150.0,10090.0,481.4042,244420.0,57.439983,56.115414,0.06645766,0.0984779,260636.16,148376.4,0,0.0,0.0,148.3764,5.0064692,12.406643335991992,4.0507407,4.0274105,0.5979981426716464,1.5117385122192928,1.5159218998939592,1.5117385122192928,1.5159218998939592,6.1767073,0.002415070037031074,0.16245371115762358,0.8351312188053454,10.856495867345446,24.813286671983985,10.0129385,1,1,0,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
10409,3,1.0,4.0,269300.0,73480.0,53000.0,3640.0,16840.0,501.7888,244420.0,54.52502,57.833355,0.081099145,0.22303069,260636.16,148376.4,0,0.0,0.0,148.3764,5.0064692,12.406643335991992,3.9986596,4.0575657,0.5979981426716464,1.5117385122192928,1.5159218998939592,1.5117385122192928,1.5159218998939592,6.218179,0.04953728905824714,0.2291780076211214,0.7212847033206314,10.87804719253426,37.219930007975975,15.019407,1,0,1,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
10419,1,1.0,4.0,65850.0,14190.0,11490.0,130.0,2570.0,774.2504,65850.0,66.314476,55.478577,0.09172361,0.013953488,237144.56,128130.87,0,0.0,0.0,128.13087,4.8608265,11.095134707171427,4.1944084,4.015997,0.46612882647588905,0.8873079882937307,1.0340857781992394,0.8873079882937307,1.0340857781992394,6.6518955,0.009161381254404511,0.18111346018322763,0.8097251585623678,9.3492323708428,11.095134707171427,4.8608265,0,0,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10419,2,1.0,4.0,69770.0,15730.0,12780.0,80.0,2870.0,820.34094,65850.0,57.215725,55.70329,0.10204959,0.06851972,237144.56,128130.87,0,0.0,0.0,128.13087,4.8608265,11.095134707171427,4.0468287,4.020039,0.46612882647588905,0.8873079882937307,1.0340857781992394,0.8873079882937307,1.0340857781992394,6.70972,0.0050858232676414495,0.182453909726637,0.8124602670057216,9.455636727931525,22.190269414342854,9.721653,1,1,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10419,3,1.0,4.0,77140.0,22120.0,13160.0,3100.0,5860.0,906.99585,65850.0,54.23165,57.499096,0.09800363,0.29068577,237144.56,128130.87,0,0.0,0.0,128.13087,4.8608265,11.095134707171427,3.9932647,4.0517693,0.46612882647588905,0.8873079882937307,1.0340857781992394,0.8873079882937307,1.0340857781992394,6.8101377,0.14014466546112117,0.26491862567811936,0.5949367088607594,9.484937204879309,33.28540412151428,14.5824795,1,0,1,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10428,1,1.0,4.0,220400.0,49590.0,34790.0,280.0,14520.0,697.04926,220400.0,66.314476,55.478577,0.10181488,0.056235295,253781.38,143560.8,0,0.0,0.0,143.56079,4.9737,12.303199356260896,4.1944084,4.015997,0.5839947831112922,1.426642285118163,1.4608640412898577,1.426642285118163,1.4608640412898577,6.546856,0.0056462996571889496,0.2928009679370841,0.7015527324057269,10.457085268145988,12.303199356260896,4.9737,0,0,0,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10428,2,1.0,4.0,238850.0,53120.0,37360.0,490.0,15270.0,755.4002,220400.0,57.215725,55.70329,0.11542809,0.17385419,253781.38,143560.8,0,0.0,0.0,143.56079,4.9737,12.303199356260896,4.0468287,4.020039,0.5839947831112922,1.426642285118163,1.4608640412898577,1.426642285118163,1.4608640412898577,6.627248,0.009224397590361446,0.28746234939759036,0.7033132530120482,10.528355892342779,24.60639871252179,9.9474,1,1,0,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
10428,3,1.0,4.0,263080.0,68420.0,38480.0,4260.0,25680.0,832.0314,220400.0,54.23165,57.499096,0.124448836,0.32869512,253781.38,143560.8,0,0.0,0.0,143.56079,4.9737,12.303199356260896,3.9932647,4.0517693,0.5839947831112922,1.426642285118163,1.4608640412898577,1.426642285118163,1.4608640412898577,6.7238703,0.06226249634609763,0.37532885121309556,0.5624086524408067,10.557893904779643,36.909598068782685,14.921101,1,0,1,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
10447,1,1.0,4.0,108350.0,22870.0,16910.0,190.0,5770.0,724.60376,108350.0,66.314476,55.478577,0.086479,0.021621622,230616.36,119056.375,0,0.0,0.0,119.05637,4.7879615,11.593122006964505,4.1944084,4.015997,0.49270136096861133,0.9870177577610694,1.1143394649400618,0.9870177577610694,1.1143394649400618,6.585625,0.008307826847398338,0.25229558373414956,0.7393965894184521,9.735660441892627,11.593122006964505,4.7879615,0,0,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
