former_dis,dist,year,div,yld,pop91,rainm,rainsd,jamuna_m,padma_m,treat,smp1,treatd,mdist,lmdist,lpop91,lrainm,lrainsd,p,ipw1,ipw2,lyld,D_lyld,lpop91_t,lmdist_t,post,sr,lr,treat_post,treat_sr,treat_lr,band,dm_near,sr_near,lr_near,tsr_near,tlr_near,dm_mid,sr_mid,lr_mid,tsr_mid,tlr_mid,dm_far,sr_far,lr_far,tsr_far,tlr_far
2,2,1,1.0,2.5063622109099777,106530480.0,58.777428,57.012592,210431.14,97299.266,0,0.0,0.0,97.29926,0.45880166,18.48394169935025,4.073758,4.043272,0.5219734557359015,1.3103208480762272,1.5806211646326673,0.9188323835033956,,18.48394169935025,0.45880166,0,0,0,0.0,0.0,0.0,near,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2,1.0,2.634180321485475,106530480.0,61.983543,61.028595,210431.14,97299.266,0,0.0,0.0,97.29926,0.45880166,18.48394169935025,4.1268687,4.1113424,0.5219734557359015,1.3103208480762272,1.5806211646326673,0.9685720601598994,0.049739676656503806,36.9678833987005,0.9176033,0,0,0,0.0,0.0,0.0,near,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,3,1.0,2.4722346761217,106530480.0,55.68806,55.07233,210431.14,97299.266,0,0.0,0.0,97.29926,0.45880166,18.48394169935025,4.019766,4.0086474,0.5219734557359015,1.3103208480762272,1.5806211646326673,0.9051224687957145,-0.06344959136418493,55.45182509805075,1.376405,0,0,0,0.0,0.0,0.0,near,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,4,1.0,3.010941035056685,106530480.0,59.539795,61.315655,210431.14,97299.266,0,0.0,0.0,97.29926,0.45880166,18.48394169935025,4.086645,4.116035,0.5219734557359015,1.3103208480762272,1.5806211646326673,1.102252666131718,0.19713019733600357,73.935766797401,1.8352066,1,1,0,0.0,0.0,0.0,near,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,5,1.0,3.0340298413875537,106530480.0,59.578827,57.16111,210431.14,97299.266,0,0.0,0.0,97.29926,0.45880166,18.48394169935025,4.0873003,4.0458736,0.5219734557359015,1.3103208480762272,1.5806211646326673,1.1098917165363602,0.007639050404642189,92.41970849675126,2.2940083,1,1,0,0.0,0.0,0.0,near,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,6,1.0,3.286224240082595,106530480.0,62.762424,62.607613,210431.14,97299.266,0,0.0,0.0,97.29926,0.45880166,18.48394169935025,4.1393566,4.136887,0.5219734557359015,1.3103208480762272,1.5806211646326673,1.189739258334417,0.07984754179805686,110.9036501961015,2.75281,1,0,1,0.0,0.0,0.0,near,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,7,1.0,3.5295,106530480.0,55.2465,54.820797,210431.14,97299.266,0,0.0,0.0,97.29926,0.45880166,18.48394169935025,4.011805,4.00407,0.5219734557359015,1.3103208480762272,1.5806211646326673,1.26115621785339,0.07141695951897287,129.38759189545175,3.2116115,1,0,1,0.0,0.0,0.0,near,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,8,1.0,3.3394166666666667,106530480.0,59.42014,60.73058,210431.14,97299.266,0,0.0,0.0,97.29926,0.45880166,18.48394169935025,4.0846334,4.106447,0.5219734557359015,1.3103208480762272,1.5806211646326673,1.205796141036797,-0.05536007681659294,147.871533594802,3.6704133,1,0,1,0.0,0.0,0.0,near,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,1,5.0,2.6692882003660365,72153270.0,50.131283,51.154213,83865.32,199057.22,1,1.0,0.0,83.86532,0.44410652,18.094303164402454,3.9146452,3.934845,0.31664484127715026,1.0,1.0,0.9818118452470872,,18.094303164402454,0.44410652,0,0,0,0.0,0.0,0.0,near,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,2,5.0,2.7547493590703946,72153270.0,38.754726,42.411915,83865.32,199057.22,1,1.0,0.0,83.86532,0.44410652,18.094303164402454,3.6572528,3.7474294,0.31664484127715026,1.0,1.0,1.0133264617222844,0.031514616475197155,36.18860632880491,0.88821304,0,0,0,0.0,0.0,0.0,near,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,3,5.0,2.8953410864170572,72153270.0,40.311283,43.070473,83865.32,199057.22,1,1.0,0.0,83.86532,0.44410652,18.094303164402454,3.6966314,3.7628376,0.31664484127715026,1.0,1.0,1.0631029232271627,0.049776461504878355,54.28290949320736,1.3323195,0,0,0,0.0,0.0,0.0,near,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,4,5.0,3.0106490326634745,72153270.0,47.839264,47.710064,83865.32,199057.22,1,1.0,0.0,83.86532,0.44410652,18.094303164402454,3.8678467,3.8651423,0.31664484127715026,1.0,1.0,1.102155680986547,0.039052757759384216,72.37721265760982,1.7764261,1,1,0,1.0,1.0,0.0,near,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,5,5.0,3.185203366689109,72153270.0,50.275482,49.454212,83865.32,199057.22,1,1.0,0.0,83.86532,0.44410652,18.094303164402454,3.9175174,3.9010472,0.31664484127715026,1.0,1.0,1.158516138379468,0.05636045739292106,90.47151582201226,2.2205327,1,1,0,1.0,1.0,0.0,near,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
