dataset,outcome,estimator,coef,se,p,n,units,r2_within
nightlights,lmn,OLS,0.08806762062659311,0.022003701577312643,6.270310733591855e-05,1729,247,0.32133098510417146
nightlights,lmn,LWDR,0.10587644465625509,0.02223497335695253,1.91961555492309e-06,1673,239,0.30381865133178565
nightlights,lmn,KOBDR,0.10876651327554059,0.02232536578905077,1.1054104985089654e-06,1673,239,0.30124384826715134
nightlights,D_lmn,OLS,0.016256663070130795,0.01602744173270384,0.3104387632948624,1482,247,0.4990425116432282
nightlights,D_lmn,LWDR,0.03169140926618112,0.01622096484388064,0.0507329841520392,1434,239,0.49038942582164946
nightlights,D_lmn,KOBDR,0.0326196486942649,0.016282944500970585,0.04514492637692394,1434,239,0.48805828525204575
employment,ldensity,OLS,0.032185284294198716,0.01520983998213518,0.03433774640813537,738,246,0.7274426821687306
employment,ldensity,LWDR,0.02480629574880669,0.015066797640703573,0.0996770618168112,714,238,0.7354796994687607
employment,ldensity,KOBDR,0.02470684649232363,0.015166870492049362,0.10331281711148216,714,238,0.7298877743597845
employment,sind,OLS,-0.009760776884436162,0.004235329104415212,0.021188490569285737,738,246,0.6699049250838482
employment,sind,LWDR,-0.009424592873304985,0.004198419294064265,0.02478126173494502,714,238,0.6558934331376485
employment,sind,KOBDR,-0.009585956498963853,0.004213046305354331,0.02288776528044302,714,238,0.6538350327679741
employment,sserv,OLS,0.01749524461318963,0.005516597466135208,0.0015171485653290434,738,246,0.5169265442863322
employment,sserv,LWDR,0.02231094663119492,0.005428230888902327,3.953695509442977e-05,714,238,0.5149303948758124
employment,sserv,KOBDR,0.022685309862051462,0.005424903880500486,2.8934008840610276e-05,714,238,0.5100710891445711
employment,sagr,OLS,-0.007734467728753483,0.006637030696073777,0.24387710334116242,738,246,0.7345634861499675
employment,sagr,LWDR,-0.012886353757889935,0.006574575565855554,0.04999248994903126,714,238,0.7231042374836985
employment,sagr,KOBDR,-0.01309935336308761,0.006567212175089058,0.046080009285861596,714,238,0.7201118289301587
yield,lyld,OLS,0.04921312856820269,0.030557807707140897,0.10729032122695152,88,11,0.8567561014051724
yield,lyld,LWDR,0.058843384371075065,0.025310176733291032,0.020077826803314124,72,9,0.9485820400217367
yield,lyld,KOBDR,0.0633796149859022,0.022743312220923455,0.00532417759532569,72,9,0.9495516007584505
yield,D_lyld,OLS,-0.041694017001862246,0.08427277193644542,0.6207760740285615,77,11,0.3348707616358205
yield,D_lyld,LWDR,0.04890413528516545,0.04889446776254532,0.31721483134578865,63,9,0.5875660505022021
yield,D_lyld,KOBDR,0.05308590326675049,0.04843807097635673,0.2730988547526517,63,9,0.5972656253116049
