dataset,outcome,estimator,horizon,coef,se,p,n,units
nightlights,lmn,OLS,SR,0.02572484156358655,0.01843649290727111,0.1629188031455786,1729,247
nightlights,lmn,OLS,LR,0.09024646710800027,0.022508276857055934,6.085282170915406e-05,1729,247
nightlights,lmn,LWDR,SR,0.047301356619689906,0.01846114816475312,0.010400811323268602,1673,239
nightlights,lmn,LWDR,LR,0.10850790898497832,0.022967672777602595,2.308236499546566e-06,1673,239
nightlights,lmn,KOBDR,SR,0.048682532344212784,0.01845560603160225,0.00834413169495818,1673,239
nightlights,lmn,KOBDR,LR,0.11152570417059998,0.023077038837753427,1.346556038473901e-06,1673,239
nightlights,D_lmn,OLS,SR,0.004074129612998682,0.025374624838269057,0.8724405869554228,1482,247
nightlights,D_lmn,OLS,LR,0.015458519653093153,0.01636615965512349,0.3448929221020456,1482,247
nightlights,D_lmn,LWDR,SR,0.0274871294897837,0.02597834243946033,0.29001958719435383,1434,239
nightlights,D_lmn,LWDR,LR,0.03141371527646692,0.016590201370758687,0.05829005498226675,1434,239
nightlights,D_lmn,KOBDR,SR,0.02884535645819874,0.02605166963650584,0.2681917411254918,1434,239
nightlights,D_lmn,KOBDR,LR,0.032362661265811186,0.01665978898166117,0.05206918719100094,1434,239
employment,ldensity,OLS,SR,-0.02340192750459505,0.01382298757336522,0.09046084400692665,738,246
employment,ldensity,OLS,LR,0.06517953824044698,0.016153601284646334,5.460579513940836e-05,738,246
employment,ldensity,LWDR,SR,-0.024482767280786757,0.01406096709242799,0.08165087785720541,714,238
employment,ldensity,LWDR,LR,0.05870725268287266,0.016233419619360995,0.00029867791745084545,714,238
employment,ldensity,KOBDR,SR,-0.024792619659508672,0.014165483433301228,0.0800814884680746,714,238
employment,ldensity,KOBDR,LR,0.058951318316778634,0.01635141484253063,0.0003118246710052436,714,238
employment,sind,OLS,SR,-0.005611348297458824,0.005136996960292512,0.2746835960737778,738,246
employment,sind,OLS,LR,-0.012223704887123377,0.004663977000343881,0.008770418339091618,738,246
employment,sind,LWDR,SR,-0.006086274821202266,0.0048584485546276646,0.21030768861129112,714,238
employment,sind,LWDR,LR,-0.01172068392394223,0.004711344767662966,0.012855130508794742,714,238
employment,sind,KOBDR,SR,-0.006029947410043075,0.004856459803992822,0.2143714946070474,714,238
employment,sind,KOBDR,LR,-0.012046056829733823,0.004741643517158684,0.011070000372399984,714,238
employment,sserv,OLS,SR,0.017392943869996187,0.005296058980102287,0.001022978816342262,738,246
employment,sserv,OLS,LR,0.01755596607394635,0.007299074428265205,0.016162209607865064,738,246
employment,sserv,LWDR,SR,0.020397512205585333,0.005112322357673253,6.610894083559992e-05,714,238
employment,sserv,LWDR,LR,0.023627004475910166,0.007647415710422626,0.0020046602726773526,714,238
employment,sserv,KOBDR,SR,0.020437069437655372,0.005192121902275162,8.279266877451216e-05,714,238
employment,sserv,KOBDR,LR,0.024240676249876303,0.0076297823923979526,0.0014874937378742605,714,238
employment,sagr,OLS,SR,-0.011781595572537367,0.006376341848190209,0.06464510159275895,738,246
employment,sagr,OLS,LR,-0.005332261186822951,0.008393326147611272,0.5252342430892606,738,246
employment,sagr,LWDR,SR,-0.014311237384383078,0.006073005804964431,0.01844643842154715,714,238
employment,sagr,LWDR,LR,-0.01190632055196792,0.00888188346651722,0.18007714662616991,714,238
employment,sagr,KOBDR,SR,-0.014407122027612296,0.006138357717690679,0.018921974409918142,714,238
employment,sagr,KOBDR,LR,-0.012194619420142487,0.00887429254667403,0.1693947587258664,714,238
yield,lyld,OLS,SR,-0.017389550798045165,0.030089127404630177,0.5633082072774587,88,11
yield,lyld,OLS,LR,0.07114107820546232,0.027071834231799083,0.008592305019125954,88,11
yield,lyld,LWDR,SR,0.006571842025323185,0.027201186149467902,0.8090891121054237,72,9
yield,lyld,LWDR,LR,0.07469996402122134,0.02578563925979845,0.0037679786367636804,72,9
yield,lyld,KOBDR,SR,0.011783880379330341,0.02539659604324244,0.6426517003437019,72,9
yield,lyld,KOBDR,LR,0.07874901404729087,0.02384574140239125,0.0009584925611645758,72,9
yield,D_lyld,OLS,SR,-0.1016574905474959,0.09669220725910617,0.29309721349554096,77,11
yield,D_lyld,OLS,LR,-0.038967416517329836,0.07766847773076226,0.6158682270439206,77,11
yield,D_lyld,LWDR,SR,-0.005318055541137165,0.07806231365723612,0.9456855132993904,63,9
yield,D_lyld,LWDR,LR,0.04713593807762903,0.04755519638900325,0.32159586196121404,63,9
yield,D_lyld,KOBDR,SR,0.004056904072596124,0.07837806767807819,0.9587193660873443,63,9
yield,D_lyld,KOBDR,LR,0.05107699982554342,0.04814535312327006,0.28873917547538197,63,9
