source,outcome,horizon,coef,se,p,n,units
household,Electricity,SR,-0.056907269573829154,0.06031201037428451,0.34540073658850723,1543,37
household,Electricity,LR,0.03555850564895053,0.047092774085931724,0.45020488381887813,1543,37
village,dist_Thana,SR,-1.0256001582328924,1.1902953751349823,0.3888884033400407,559,36
village,dist_Thana,LR,,,,559,36
village,dist_district,SR,-0.4138208882861538,3.1619467418450102,0.8958739143443856,618,37
village,dist_district,LR,,,,618,37
village,dist_satellite_clinic,SR,-3.11551718108646,2.400204890020135,0.19428000010645563,398,36
village,dist_satellite_clinic,LR,,,,398,36
village,dist_hos,SR,0.05529320581346853,0.39742967647815974,0.8893497784494309,1440,41
village,dist_hos,LR,0.22169191450551895,0.446873988924521,0.6198274451909953,1440,41
village,primary_school,SR,0.48094673390653775,0.37544533698872995,0.2001924899125057,1292,41
village,primary_school,LR,0.5327573644978787,0.5264932805230207,0.31158694651955177,1292,41
village,high_school,SR,0.3070783491847195,0.38202472693630424,0.42150209688156515,1303,41
village,high_school,LR,0.5350948174981895,0.29020004928373117,0.06520025338014913,1303,41
village,madrassa_school,SR,0.10942395372171014,0.27644788338289866,0.6922368806505118,1297,41
village,madrassa_school,LR,0.02533098550680621,0.22452806442415255,0.9101742178048181,1297,41
village,grameen_bank,SR,-0.15850326702413295,0.1200346502423285,0.18667505360736236,1449,41
village,grameen_bank,LR,-0.04151529290387143,0.07119319147916085,0.5598019398862163,1449,41
village,cinema,SR,-0.8842164803378713,0.8109792653452124,0.27557787273155954,1306,41
village,cinema,LR,-0.3644416562482279,0.8335327267432767,0.6619479113327076,1306,41
village,post_office,SR,0.41997221812625407,0.26305439781555956,0.11037222602680281,1307,41
village,post_office,LR,0.11630412943777697,0.15609434706544528,0.456218118017905,1307,41
village,co_operative_soc,SR,0.08958505912440698,0.10793310542132187,0.40653573692218525,1448,41
village,co_operative_soc,LR,0.05067057780418977,0.07780907645387032,0.5149065468080704,1448,41
village,NGO,SR,,,,413,36
village,NGO,LR,,,,413,36
