dataset,outcome,horizon,band,coef,se,p,n,units
nightlights,lmn,SR,near,-0.007796978238927072,0.02352910208672435,0.7403605389652734,1673,239
nightlights,lmn,SR,mid,0.06315988355147673,0.029609641477506655,0.03291774999706166,1673,239
nightlights,lmn,SR,far,0.055086550950031274,0.026886473998837312,0.04047606194890363,1673,239
nightlights,lmn,LR,near,0.02605426802567287,0.03432560498333912,0.4478327973280768,1673,239
nightlights,lmn,LR,mid,0.14895435091641193,0.04014257529994757,0.00020674192210843695,1673,239
nightlights,lmn,LR,far,0.10152097371060127,0.03825533277000143,0.007959732617940444,1673,239
nightlights,D_lmn,SR,near,-0.014510362380435415,0.030801622211974748,0.6375758591853999,1434,239
nightlights,D_lmn,SR,mid,0.04314680261601384,0.03513086982595175,0.21938185219629125,1434,239
nightlights,D_lmn,SR,far,0.030768581164615186,0.03195094707886663,0.33555036415583495,1434,239
nightlights,D_lmn,LR,near,0.01136346815540177,0.024126650244845053,0.637646184305239,1434,239
nightlights,D_lmn,LR,mid,0.027545760497910438,0.024673849744898415,0.2642531272864673,1434,239
nightlights,D_lmn,LR,far,0.03842299881827059,0.022412537326304167,0.08646392942870036,1434,239
employment,ldensity,SR,near,-0.03688813100474822,0.024410479011326626,0.13074777913558464,714,238
employment,ldensity,SR,mid,-0.07088902826617625,0.02417291245946389,0.0033615702140510307,714,238
employment,ldensity,SR,far,0.01566002544823382,0.01709739019715924,0.3597032166656472,714,238
employment,ldensity,LR,near,0.0688601646717948,0.024286235583838533,0.004577440451407582,714,238
employment,ldensity,LR,mid,0.005048781999187749,0.028906325317423008,0.8613467124201363,714,238
employment,ldensity,LR,far,0.09278379587070068,0.02406287247248152,0.00011530920578726626,714,238
employment,sind,SR,near,-0.015403243221383995,0.008605685971710044,0.07347137334470148,714,238
employment,sind,SR,mid,0.00015602194538899116,0.004755596068197232,0.9738276399501076,714,238
employment,sind,SR,far,-0.0034386351182470985,0.0062806375987665575,0.584036797867131,714,238
employment,sind,LR,near,-0.005895029765529254,0.009706170129333539,0.543619528502012,714,238
employment,sind,LR,mid,-0.024795387182388204,0.007131758325926035,0.0005075184966734078,714,238
employment,sind,LR,far,-0.0013311288796806486,0.007501535755171612,0.8591568877417717,714,238
employment,sserv,SR,near,-0.015378684860099955,0.009612821799627046,0.10964082243971059,714,238
employment,sserv,SR,mid,0.02914443985586354,0.009106068966421438,0.0013716500269110084,714,238
employment,sserv,SR,far,0.02212735355812099,0.00892526915616382,0.013168463501156198,714,238
employment,sserv,LR,near,-0.026398841055011578,0.013221063313605987,0.04585495455293778,714,238
employment,sserv,LR,mid,0.01681219753900902,0.012005501792324404,0.16140122768688614,714,238
employment,sserv,LR,far,0.058627175168557706,0.01573847764133052,0.0001952490178827984,714,238
employment,sagr,SR,near,0.030781928081483938,0.010674325023955177,0.003929889064689267,714,238
employment,sagr,SR,mid,-0.029300461801252554,0.009705157054334189,0.002535594174103841,714,238
employment,sagr,SR,far,-0.018688718439873887,0.010170182910280587,0.06612150911907358,714,238
employment,sagr,LR,near,0.03229387082054083,0.01463305651111523,0.027320194487213123,714,238
employment,sagr,LR,mid,0.007983189643379171,0.013723647046955086,0.5607616949255434,714,238
employment,sagr,LR,far,-0.05729604628887702,0.01726313514394836,0.000903460377027939,714,238
yield,lyld,SR,near,-0.02471170722073332,0.018480115483467677,0.1811556526520901,72,9
yield,lyld,SR,mid,0.017538022393747115,0.02402582419272135,0.4654112827250354,72,9
yield,lyld,SR,far,0.10409957150879821,0.029599085462511634,0.0004364766736517629,72,9
yield,lyld,LR,near,0.04936332089809469,0.022406819328350088,0.02759129525468758,72,9
yield,lyld,LR,mid,0.065431899980459,0.022271239593563016,0.0033038496250434157,72,9
yield,lyld,LR,far,0.26457818607358347,0.024593090701606743,5.419975864594529e-27,72,9
yield,D_lyld,SR,near,-0.02785128212898759,0.05227682573253465,0.5941960122140846,63,9
yield,D_lyld,SR,mid,-0.02988220651004135,0.06260326101783724,0.6331295179421695,63,9
yield,D_lyld,SR,far,0.22709615959141416,0.09857200550048442,0.021230470116960925,63,9
yield,D_lyld,LR,near,0.025230028488068476,0.035755995670517404,0.480426521785856,63,9
yield,D_lyld,LR,mid,0.010756178311629797,0.033576883374066134,0.7487070033945487,63,9
yield,D_lyld,LR,far,0.34414356612223673,0.09024650627074648,0.00013708313155565992,63,9
