treated_group,control_group,comparison_type,estimate,weight,n_treated,n_control,time_start,time_end
2008,never_treated,treated_vs_never,0.25669,0.04909,1,122,2005,2020
2014,never_treated,treated_vs_never,0.75191,0.15861,2,122,2005,2020
2015,never_treated,treated_vs_never,0.36806,0.15106,2,122,2005,2020
2016,never_treated,treated_vs_never,0.49523,0.2077,3,122,2005,2020
2017,never_treated,treated_vs_never,-0.0592,0.18127,3,122,2005,2020
2018,never_treated,treated_vs_never,-0.31948,0.09819,2,122,2005,2020
2019,never_treated,treated_vs_never,0.10495,0.07049,2,122,2005,2020
2020,never_treated,treated_vs_never,0.07293,0.03776,2,122,2005,2020
2008,2014,earlier_vs_later,0.04522,0.00037,1,2,2005,2013
2014,2008,later_vs_earlier,0.59502,0.00087,2,1,2008,2020
2008,2015,earlier_vs_later,0.15165,0.00043,1,2,2005,2014
2015,2008,later_vs_earlier,0.25139,0.00087,2,1,2008,2020
2008,2016,earlier_vs_later,0.16798,0.00074,1,3,2005,2015
2016,2008,later_vs_earlier,0.39047,0.00124,3,1,2008,2020
2008,2017,earlier_vs_later,0.24046,0.00084,1,3,2005,2016
2017,2008,later_vs_earlier,-0.1696,0.00111,3,1,2008,2020
2008,2018,earlier_vs_later,0.26855,0.00062,1,2,2005,2017
2018,2008,later_vs_earlier,-0.42248,0.00062,2,1,2008,2020
2008,2019,earlier_vs_later,0.08228,0.00068,1,2,2005,2018
2019,2008,later_vs_earlier,-0.07063,0.00045,2,1,2008,2020
2008,2020,earlier_vs_later,0.22701,0.00074,1,2,2005,2019
2020,2008,later_vs_earlier,-0.07125,0.00025,2,1,2008,2020
2014,2015,earlier_vs_later,0.51022,0.00037,2,2,2005,2014
2015,2014,later_vs_earlier,0.08568,0.00025,2,2,2014,2020
2014,2016,earlier_vs_later,0.53664,0.00111,2,3,2005,2015
2016,2014,later_vs_earlier,0.22241,0.00062,3,2,2014,2020
2014,2017,earlier_vs_later,0.68687,0.00167,2,3,2005,2016
2017,2014,later_vs_earlier,-0.22674,0.00074,3,2,2014,2020
2014,2018,earlier_vs_later,0.77482,0.00149,2,2,2005,2017
2018,2014,later_vs_earlier,-0.41952,0.0005,2,2,2014,2020
2014,2019,earlier_vs_later,0.61897,0.00186,2,2,2005,2018
2019,2014,later_vs_earlier,-0.10735,0.00041,2,2,2014,2020
2014,2020,earlier_vs_later,0.71934,0.00223,2,2,2005,2019
2020,2014,later_vs_earlier,-0.0508,0.00025,2,2,2014,2020
2015,2016,earlier_vs_later,0.21782,0.00062,2,3,2005,2015
2016,2015,later_vs_earlier,0.32338,0.00031,3,2,2015,2020
2015,2017,earlier_vs_later,0.33734,0.00124,2,3,2005,2016
2017,2015,later_vs_earlier,-0.14462,0.0005,3,2,2015,2020
2015,2018,earlier_vs_later,0.44604,0.00124,2,2,2005,2017
2018,2015,later_vs_earlier,-0.30472,0.00037,2,2,2015,2020
2015,2019,earlier_vs_later,0.24602,0.00165,2,2,2005,2018
2019,2015,later_vs_earlier,-0.03777,0.00033,2,2,2015,2020
2015,2020,earlier_vs_later,0.35343,0.00206,2,2,2005,2019
2020,2015,later_vs_earlier,0.05299,0.00021,2,2,2015,2020
2016,2017,earlier_vs_later,0.34558,0.00102,3,3,2005,2016
2017,2016,later_vs_earlier,-0.266,0.00037,3,3,2016,2020
2016,2018,earlier_vs_later,0.52786,0.00136,3,2,2005,2017
2018,2016,later_vs_earlier,-0.36627,0.00037,2,3,2016,2020
2016,2019,earlier_vs_later,0.35212,0.00204,3,2,2005,2018
2019,2016,later_vs_earlier,-0.09376,0.00037,2,3,2016,2020
2016,2020,earlier_vs_later,0.47985,0.00272,3,2,2005,2019
2020,2016,later_vs_earlier,-0.01518,0.00025,2,3,2016,2020
2017,2018,earlier_vs_later,0.12803,0.00074,3,2,2005,2017
2018,2017,later_vs_earlier,-0.10484,0.00019,2,3,2017,2020
2017,2019,earlier_vs_later,-0.111,0.00149,3,2,2005,2018
2019,2017,later_vs_earlier,0.12512,0.00025,2,3,2017,2020
2017,2020,earlier_vs_later,-0.03619,0.00223,3,2,2005,2019
2020,2017,later_vs_earlier,0.2098,0.00019,2,3,2017,2020
2018,2019,earlier_vs_later,-0.34349,0.00054,2,2,2005,2018
2019,2018,later_vs_earlier,0.10775,8e-05,2,2,2018,2020
2018,2020,earlier_vs_later,-0.28104,0.00107,2,2,2005,2019
2020,2018,later_vs_earlier,0.22584,8e-05,2,2,2018,2020
2019,2020,earlier_vs_later,0.0636,0.00058,2,2,2005,2019
2020,2019,later_vs_earlier,0.04956,4e-05,2,2,2019,2020
