district_id,district_name,region,region_id,treated,open_year,treatment,nearby,event_time,year,post,light_intensity,ihs_light,light_positive,impervious_ratio,longitude,latitude,elevation,slope,dist_addis_km,dist_state_capital_km,dist_nearest_city_km,urbanization_rate_2007,employment_rate_2007,log_pop_density_2007,population_2007,primary_road_density,paved_road_density,share_christian_2007,share_amharic_2007,labor_intensive_park,public_park,china_aid,transport_project
ET_D001,Dukem,Oromia,1,1,2008,0,0,-3,2005,0,4.04726,2.10611,1,0.03798,37.6559,5.6323,1106.5,6.1964,204.0601,183.607,60.8674,0.7561,0.5776,2.5862,21247,0.3862,0.4335,0.5286,0.2816,0,0,0,0
ET_D001,Dukem,Oromia,1,1,2008,0,0,-2,2006,0,4.00196,2.09519,1,,37.6559,5.6323,1106.5,6.1964,204.0601,183.607,60.8674,0.7561,0.5776,2.5862,21247,0.3862,0.4335,0.5286,0.2816,0,0,0,0
ET_D001,Dukem,Oromia,1,1,2008,0,0,-1,2007,0,4.25885,2.15565,1,,37.6559,5.6323,1106.5,6.1964,204.0601,183.607,60.8674,0.7561,0.5776,2.5862,21247,0.3862,0.4335,0.5286,0.2816,0,0,0,0
ET_D001,Dukem,Oromia,1,1,2008,1,0,0,2008,1,4.46578,2.2019,1,,37.6559,5.6323,1106.5,6.1964,204.0601,183.607,60.8674,0.7561,0.5776,2.5862,21247,0.3862,0.4335,0.5286,0.2816,0,0,0,0
ET_D001,Dukem,Oromia,1,1,2008,1,0,1,2009,1,4.60603,2.23209,1,,37.6559,5.6323,1106.5,6.1964,204.0601,183.607,60.8674,0.7561,0.5776,2.5862,21247,0.3862,0.4335,0.5286,0.2816,0,0,0,0
ET_D001,Dukem,Oromia,1,1,2008,1,0,2,2010,1,4.83219,2.27898,1,0.071531,37.6559,5.6323,1106.5,6.1964,204.0601,183.607,60.8674,0.7561,0.5776,2.5862,21247,0.3862,0.4335,0.5286,0.2816,0,0,0,0
ET_D001,Dukem,Oromia,1,1,2008,1,0,3,2011,1,5.07279,2.32661,1,,37.6559,5.6323,1106.5,6.1964,204.0601,183.607,60.8674,0.7561,0.5776,2.5862,21247,0.3862,0.4335,0.5286,0.2816,0,0,0,0
ET_D001,Dukem,Oromia,1,1,2008,1,0,4,2012,1,4.82417,2.27736,1,,37.6559,5.6323,1106.5,6.1964,204.0601,183.607,60.8674,0.7561,0.5776,2.5862,21247,0.3862,0.4335,0.5286,0.2816,0,0,0,0
ET_D001,Dukem,Oromia,1,1,2008,1,0,5,2013,1,5.07705,2.32744,1,,37.6559,5.6323,1106.5,6.1964,204.0601,183.607,60.8674,0.7561,0.5776,2.5862,21247,0.3862,0.4335,0.5286,0.2816,0,0,0,0
ET_D001,Dukem,Oromia,1,1,2008,1,0,5,2014,1,5.25192,2.36068,1,,37.6559,5.6323,1106.5,6.1964,204.0601,183.607,60.8674,0.7561,0.5776,2.5862,21247,0.3862,0.4335,0.5286,0.2816,0,0,0,0
