hh_id,survey_round,district_id,region_id,treated,treatment,event_phase,durable_goods_pc,housing_quality,wealth_index,hh_size,age_head,survey_weight
HH_000000,2000,ET_D034,1,0,0,,-0.5954208735730511,1,-0.04816070509172396,8,27,1.2697
HH_000001,2000,ET_D019,1,0,0,,,1,,7,38,1.0899
HH_000002,2011,ET_D088,4,0,0,,0.5202921969725607,0,-1.6846092994231239,6,43,0.6157
HH_000003,2005,ET_D099,5,0,0,,0.9860879643828749,0,-0.6809048495158461,5,56,1.0134
HH_000004,2000,ET_D046,2,0,0,,0.5597571622314537,0,-0.739215849598474,6,48,0.9387
HH_000005,2011,ET_D014,6,1,0,-2,0.938695783657377,0,-0.7728966025454828,6,28,1.3722
HH_000006,2019,ET_D003,2,1,1,1,0.5759969737674839,1,1.639397225631457,7,37,1.4451
HH_000007,2019,ET_D008,1,1,1,1,0.2736697360505144,0,0.8805540331529687,3,20,0.8177
HH_000008,2000,ET_D070,3,0,0,,-0.08193699359674433,1,-1.7933247760606799,5,48,1.2636
HH_000009,2019,ET_D053,2,0,0,,0.45345630448569263,1,0.13834166723870964,5,25,1.5346
HH_000010,2011,ET_D068,2,0,0,,,0,0.1966998263576631,7,41,1.114
HH_000011,2016,ET_D020,1,0,0,,0.057300269319626174,0,-0.7286187025769116,2,39,0.9697
HH_000012,2011,ET_D063,2,0,0,,-0.7333690435007791,0,-0.9936999217635133,4,49,1.0812
HH_000013,2019,ET_D112,7,0,0,,0.2781660830264898,0,-1.137636352996035,2,47,0.9807
HH_000014,2019,ET_D117,7,0,0,,0.5698022660263562,0,-0.7498541337515465,5,46,0.7192
HH_000015,2016,ET_D025,1,0,0,,0.26490679833489095,0,,6,49,0.7456
HH_000016,2019,ET_D051,2,0,0,,-1.4285856586218393,1,,6,42,1.4225
HH_000017,2016,ET_D133,11,0,0,,1.212275655541156,1,,3,41,1.4877
HH_000018,2019,ET_D125,9,0,0,,0.06672415088357952,,1.3084383373329105,6,53,1.1921
HH_000019,2005,ET_D088,4,0,0,,,,-1.7828134911667632,8,28,1.0179
HH_000020,2005,ET_D086,4,0,0,,1.247752263218294,0,-1.8289961734791655,4,28,0.6416
HH_000021,2016,ET_D050,2,0,0,,0.7133900248996546,0,,8,44,0.7251
HH_000022,2016,ET_D120,8,0,0,,-0.28021840923421676,0,-0.24249383743147748,7,43,1.4008
HH_000023,2019,ET_D011,2,1,1,1,1.3128153191378007,0,-0.25172904855675216,4,40,0.8168
HH_000024,2005,ET_D095,4,0,0,,0.7186367794383386,0,-0.6766269794121081,5,44,0.4935
HH_000025,2005,ET_D081,3,0,0,,0.47297609455131373,0,-1.377220997623743,5,36,0.6912
HH_000026,2019,ET_D017,7,1,1,0,0.38146316812356784,1,,5,25,1.166
HH_000027,2019,ET_D093,4,0,0,,-0.1096687984924678,0,0.5891702415520518,3,67,0.8921
HH_000028,2019,ET_D016,2,1,1,0,0.1963752007271265,1,,4,49,0.6494
HH_000029,2000,ET_D068,2,0,0,,1.0627380962991628,0,-0.9881364008224535,2,66,1.043
HH_000030,2016,ET_D009,2,1,1,0,0.4404575565440097,0,-0.6215616091261567,2,33,0.613
HH_000031,2005,ET_D031,1,0,0,,0.39210547947074953,,-1.5893821602873521,8,18,0.932
HH_000032,2005,ET_D062,2,0,0,,0.6169837993808842,1,-0.3029129695339716,3,49,1.223
HH_000033,2011,ET_D104,6,0,0,,0.07429100123345339,0,-0.6149883668549189,4,46,0.4662
HH_000034,2019,ET_D052,2,0,0,,0.6882301482899167,0,-0.3370707669937105,6,47,0.9616
HH_000035,2019,ET_D046,2,0,0,,0.38577953908766127,0,-0.08762850192151589,6,35,0.945
HH_000036,2019,ET_D047,2,0,0,,0.2993500121483896,0,0.9097260479639776,3,41,0.4809
HH_000037,2016,ET_D137,12,0,0,,0.014652691241973298,0,,6,33,0.5755
HH_000038,2019,ET_D005,3,1,1,1,0.4993428602663494,1,-0.3439201538171804,4,46,1.0221
HH_000039,2011,ET_D039,1,0,0,,0.17270312390831188,0,-0.43637680419036967,8,47,0.9704
HH_000040,2016,ET_D066,2,0,0,,1.2154581027677027,0,,3,57,1.0044
HH_000041,2019,ET_D134,11,0,0,,,0,0.4706640807869621,7,23,0.9927
HH_000042,2016,ET_D088,4,0,0,,0.8708322344596279,1,0.6156855346288959,5,45,1.0403
HH_000043,2016,ET_D033,1,0,0,,0.6650808191784641,0,0.1946371086795058,6,35,0.9617
