ind_id,survey_round,district_id,region_id,treated,treatment,event_phase,sex,age,age_sq,nonag_employment,decision_power,savings_account,dv_accept,dv_goingout,dv_kids,dv_arguing,dv_sex,dv_food,hh_size,age_head,survey_weight
IND_000000,2019,ET_D120,8,0,0,,0,27,729,0,,,,,,,,,6,50,0.9775
IND_000001,2011,ET_D030,1,0,0,,1,30,900,,,0,1,1,,1,0,,4,35,1.3903
IND_000002,2016,ET_D017,7,1,0,-1,1,33,1089,0,1,1,0,0,1,1,,1,5,40,0.4757
IND_000003,2019,ET_D040,1,0,0,,1,40,1600,0,,0,1,,0,,1,1,3,34,1.2514
IND_000004,2016,ET_D024,1,0,0,,0,32,1024,1,,,,,,,,,5,36,0.5324
IND_000005,2016,ET_D101,5,0,0,,1,27,729,0,,0,0,0,0,0,0,0,5,33,0.6838
IND_000006,2011,ET_D114,7,0,0,,0,35,1225,1,,,,,,,,,2,41,1.3223
IND_000007,2016,ET_D078,3,0,0,,0,42,1764,0,,,,,,,,,3,38,0.9275
IND_000008,2011,ET_D087,4,0,0,,0,30,900,0,,,,,,,,,4,18,0.525
IND_000009,2016,ET_D063,2,0,0,,1,15,225,1,0,,1,1,0,0,0,1,3,42,1.0166
IND_000010,2019,ET_D024,1,0,0,,0,28,784,1,,,,,,,,,2,54,1.2444
IND_000011,2016,ET_D036,1,0,0,,0,17,289,0,,,,,,,,,10,42,0.8626
IND_000012,2016,ET_D093,4,0,0,,1,43,1849,1,,0,0,0,1,1,0,0,5,23,1.4672
IND_000013,2011,ET_D109,6,0,0,,1,28,784,0,,0,1,1,1,0,1,1,4,33,0.9747
IND_000014,2000,ET_D107,6,0,0,,0,29,841,1,,,,,,,,,7,58,1.1184
IND_000015,2016,ET_D139,12,0,0,,0,23,529,0,,,,,,,,,7,27,1.5033
IND_000016,2011,ET_D126,9,0,0,,0,26,676,1,,,,,,,,,7,40,0.9084
