district_id,district_name,province,region_group,district_type,coastal,flooded,neighbour_of_flooded,flood_treatment_group,latitude,longitude,year,post,period,gdp_const_usd_m,gdp_growth,population,pop_growth,gdp_pc_usd,gdp_pc_growth,va_agri_share,va_manu_share,va_serv_share,capital_formation_pc_usd,poverty_rate,doctors_per_1000,water_access_pct,sanitation_access_pct,electricity_access_pct,hdi
ACEH_D01,Banda Aceh,Aceh,Aceh,Kota,1,1,0,Treated (flooded),5.55,95.32,1999,0,(base year),118.833,,70100,,1695.19,,31.188,6.438,53.695,5.85,30.2,0.187,57.22,46.66,85.91,67.78
ACEH_D01,Banda Aceh,Aceh,Aceh,Kota,1,1,0,Treated (flooded),5.55,95.32,2000,0,baseline,119.463,0.00531,74478,0.06245,1604.01,-0.05715,31.713,5.978,53.488,12.55,28.82,0.251,59.63,48.68,85.25,67.14
ACEH_D01,Banda Aceh,Aceh,Aceh,Kota,1,1,0,Treated (flooded),5.55,95.32,2001,0,baseline,132.399,0.10828,79097,0.06202,1673.88,0.04626,27.45,5.567,55.007,20.72,29.94,0.247,62.85,54.57,83.63,67.39
ACEH_D01,Banda Aceh,Aceh,Aceh,Kota,1,1,0,Treated (flooded),5.55,95.32,2002,0,baseline,131.479,-0.00695,83562,0.05644,1573.44,-0.06339,30.642,6.594,54.816,38.2,26.56,0.226,62.73,49.87,84.76,69.21
ACEH_D01,Banda Aceh,Aceh,Aceh,Kota,1,1,0,Treated (flooded),5.55,95.32,2003,0,pre,136.768,0.04023,87076,0.04206,1570.67,-0.00183,28.213,6.816,53.364,52.21,26.71,0.274,64.14,55.56,82.27,67.89
ACEH_D01,Banda Aceh,Aceh,Aceh,Kota,1,1,0,Treated (flooded),5.55,95.32,2004,0,pre,139.433,0.01949,89790,0.03117,1552.88,-0.01168,27.429,6.795,53.245,56.5,24.73,0.276,65.82,56.9,82.2,67.99
ACEH_D01,Banda Aceh,Aceh,Aceh,Kota,1,1,0,Treated (flooded),5.55,95.32,2005,1,tsunami,124.298,-0.10855,80664,-0.10164,1540.94,-0.00691,28.349,5.791,56.107,86.73,23.98,0.328,66.58,57.59,83.9,69.25
ACEH_D01,Banda Aceh,Aceh,Aceh,Kota,1,1,0,Treated (flooded),5.55,95.32,2006,1,recovery,151.61,0.21972,81973,0.01623,1849.5,0.20349,28.252,4.006,60.573,196.23,24.25,0.312,71.74,63.57,86.61,69.09
ACEH_D01,Banda Aceh,Aceh,Aceh,Kota,1,1,0,Treated (flooded),5.55,95.32,2007,1,recovery,182.094,0.20107,83801,0.0223,2172.93,0.17877,24.266,5.523,60.758,171.24,21.45,0.341,67.82,63.74,88.03,70.31
ACEH_D01,Banda Aceh,Aceh,Aceh,Kota,1,1,0,Treated (flooded),5.55,95.32,2008,1,recovery,217.496,0.19442,85287,0.01773,2550.18,0.17669,24.103,5.195,61.49,141.14,20.99,0.432,71.33,67.0,90.57,71.04
ACEH_D01,Banda Aceh,Aceh,Aceh,Kota,1,1,0,Treated (flooded),5.55,95.32,2009,1,postrec,219.844,0.01079,88461,0.03723,2485.19,-0.02643,20.395,4.059,63.874,146.63,21.94,0.393,72.8,70.24,94.31,71.08
ACEH_D01,Banda Aceh,Aceh,Aceh,Kota,1,1,0,Treated (flooded),5.55,95.32,2010,1,postrec,233.226,0.06087,91046,0.02922,2561.61,0.03165,20.549,4.728,66.731,155.34,18.31,0.452,74.87,72.24,97.09,72.29
ACEH_D01,Banda Aceh,Aceh,Aceh,Kota,1,1,0,Treated (flooded),5.55,95.32,2011,1,postrec,239.082,0.02511,94229,0.03496,2537.24,-0.00985,19.734,3.139,67.498,167.59,19.36,0.497,76.34,72.76,96.94,72.39
ACEH_D01,Banda Aceh,Aceh,Aceh,Kota,1,1,0,Treated (flooded),5.55,95.32,2012,1,postrec,231.267,-0.03269,97124,0.03071,2381.16,-0.0634,18.143,4.255,70.957,172.82,14.0,0.492,85.37,74.76,98.46,73.54
ACEH_D02,Sabang,Aceh,Aceh,Kota,1,1,0,Treated (flooded),5.82,95.32,1999,0,(base year),182.764,,125894,,1451.73,,30.434,6.665,51.749,6.98,28.42,0.191,58.12,44.87,80.81,66.91
