method,outcome,estimate,std_error,n_selected,ci_lo,ci_hi
First diff,Violent crime,-0.15209744437465877,0.033676444485315545,0,-0.21810327556587725,-0.0860916131834403
OLS (full),Violent crime,0.013518004194808775,0.5654222385899333,284,-1.0947095834414604,1.1217455918310781
PSL,Violent crime,-0.15529000121820333,0.03297352089451329,0,-0.21991810217144936,-0.09066190026495728
DL (rigorous),Violent crime,-0.1042879979581181,0.1066958076644413,8,-0.31341178098042305,0.10483578506418684
DL (CV),Violent crime,-0.14005456657337728,0.10353253357599014,56,-0.34297833238231795,0.06286919923556339
First diff,Property crime,-0.10837626177269111,0.021934448846863002,0,-0.1513677815125426,-0.06538474203283962
OLS (full),Property crime,-0.19497824086349233,0.19365003402830913,284,-0.5745323075589782,0.18457582583199358
PSL,Property crime,-0.10146893325069824,0.021841828905992,0,-0.14427891790644257,-0.058658948594953915
DL (rigorous),Property crime,-0.03023638931315438,0.05502912463119319,12,-0.138093473590293,0.07762069496398426
DL (CV),Property crime,-0.06538261226865505,0.05008722760572777,54,-0.16355357837588147,0.032788353838571385
First diff,Murder,-0.20386472036534078,0.06672787821020444,0,-0.3346513616573415,-0.07307807907334007
OLS (full),Murder,2.342625414792854,2.604705496805574,284,-2.762597358946071,7.447848188531779
PSL,Murder,-0.2061321824330838,0.051372514022442736,0,-0.30682230991707155,-0.10544205494909603
DL (rigorous),Murder,-0.12528841235592658,0.1506399349096572,9,-0.4205426847788547,0.16996586006700154
DL (CV),Murder,-0.1601003883466589,0.21713457393025123,59,-0.5856841532499513,0.2654833765566335
