Model,Learner,Coefficient,Std_Error,CI_Lower,CI_Upper,Estimand
PLR,Lasso,9370.81,1326.47,6770.99,11970.64,ATE
PLR,Random Forest,8835.46,1309.07,6269.74,11401.18,ATE
PLR,Decision Tree,7822.51,1321.78,5231.87,10413.14,ATE
PLR,XGBoost,8892.39,1398.65,6151.09,11633.69,ATE
IRM,Lasso,8559.13,1261.16,6087.3,11030.97,ATE
IRM,Random Forest,7924.39,1138.06,5693.82,10154.95,ATE
IRM,Decision Tree,7985.58,1156.49,5718.9,10252.26,ATE
IRM,XGBoost,8381.57,1186.36,6056.34,10706.8,ATE
IIVM,Lasso,12280.84,1712.63,8924.16,15637.53,LATE
IIVM,Random Forest,11471.2,1646.56,8243.99,14698.4,LATE
IIVM,Decision Tree,11215.1,1785.89,7714.82,14715.38,LATE
IIVM,XGBoost,12018.76,1648.62,8787.52,15250.0,LATE
