nifa,net_tfa,tw,age,inc,fsize,educ,db,marr,twoearn,e401,p401,pira,hown
0.0,0.0,4500.0,47,6765.0,2,8,0,0,0,0,0,0,1
6215.0,1015.0,22390.0,36,28452.0,1,16,0,0,0,0,0,0,1
0.0,-2000.0,-2000.0,37,3300.0,6,12,1,0,0,0,0,0,0
15000.0,15000.0,155000.0,58,52590.0,2,16,0,1,1,0,0,0,1
0.0,0.0,58000.0,32,21804.0,1,11,0,0,0,0,0,0,1
13000.0,27800.0,66643.0,34,34680.0,1,16,0,0,0,0,0,1,1
2000.0,2913.0,31913.0,28,21600.0,3,12,0,1,1,0,0,1,1
0.0,-650.0,36850.0,54,4686.0,3,11,0,0,0,0,0,0,1
25299.0,37279.0,111363.0,43,65820.0,2,14,1,1,1,0,0,1,1
1900.0,1900.0,33900.0,32,37260.0,3,18,0,1,0,0,0,0,1
1283.0,783.0,58283.0,52,15306.0,3,12,0,1,0,0,0,0,1
1400.0,-10000.0,7000.0,30,58413.0,4,18,0,1,1,0,0,0,0
760.0,-740.0,19260.0,63,21630.0,2,15,0,0,0,0,0,0,1
0.0,0.0,0.0,38,30600.0,1,18,0,1,0,0,0,0,0
0.0,-4700.0,-3700.0,32,33414.0,4,13,0,1,1,0,0,0,0
0.0,-1000.0,-325.0,29,14580.0,3,12,0,0,0,0,0,0,0
1099.0,-16901.0,33299.0,40,57477.0,4,17,1,1,1,0,0,0,1
4200.0,2000.0,68000.0,30,46008.0,4,10,0,1,0,0,0,0,1
0.0,0.0,0.0,44,3825.0,1,12,0,0,0,0,0,0,0
300.0,0.0,0.0,57,5220.0,1,18,1,0,0,0,0,0,0
0.0,-800.0,25950.0,42,9120.0,5,10,0,0,0,0,0,0,1
40500.0,52900.0,160900.0,41,69693.0,4,16,0,1,1,0,0,1,1
1560.0,-9940.0,-3465.0,39,52110.0,1,16,1,0,0,0,0,0,0
0.0,0.0,3000.0,53,30000.0,3,12,0,1,0,0,0,0,1
2000.0,2000.0,73000.0,64,26826.0,1,12,0,0,0,0,0,0,1
0.0,0.0,0.0,37,10524.0,3,14,0,0,0,0,0,0,0
0.0,0.0,0.0,62,33228.0,2,12,0,1,1,0,0,0,0
2542.0,-2238.0,76075.0,55,60528.0,2,12,0,1,0,0,0,0,1
0.0,-2797.0,21203.0,39,13512.0,3,12,1,1,1,0,0,0,1
75664.0,97664.0,206589.0,58,44640.0,1,12,0,0,0,0,0,1,1
0.0,-500.0,14500.0,43,14280.0,4,4,0,1,0,0,0,0,0
1300.0,-4700.0,-700.0,37,28134.0,3,13,0,1,0,0,0,0,0
249.0,249.0,249.0,31,14931.0,1,16,0,0,0,0,0,0,1
400.0,400.0,9400.0,25,26535.0,2,14,0,1,0,0,0,0,0
1000.0,-3000.0,6000.0,39,48360.0,4,13,0,1,1,0,0,0,1
8500.0,5000.0,37875.0,41,31635.0,2,13,0,0,0,0,0,0,1
25104.0,24654.0,100904.0,52,40041.0,3,14,0,0,0,0,0,0,1
0.0,-5000.0,-1075.0,43,22410.0,1,12,1,0,0,0,0,0,0
700.0,700.0,700.0,37,27072.0,5,9,0,1,1,0,0,0,0
0.0,0.0,78550.0,47,21420.0,1,13,0,0,0,0,0,0,1
5150.0,3550.0,21425.0,57,34410.0,3,15,0,1,1,0,0,0,1
100.0,-3900.0,44100.0,36,23700.0,4,12,0,1,1,0,0,0,1
100.0,-7350.0,-7350.0,30,19950.0,3,14,0,1,0,0,0,0,0
750.0,-2450.0,-1950.0,29,23274.0,3,12,0,0,0,0,0,0,0
22300.0,41800.0,86800.0,54,20019.0,3,13,0,1,0,0,0,1,1
0.0,-200.0,1050.0,47,1200.0,2,15,0,0,0,0,0,0,0
1097.0,16597.0,139597.0,51,85980.0,2,18,0,1,0,0,0,1,1
5483.0,4883.0,69883.0,44,26472.0,4,12,0,1,0,0,0,0,1
9000.0,8300.0,109300.0,61,37911.0,5,12,0,1,1,0,0,0,1
50.0,-550.0,12950.0,30,15822.0,4,15,0,1,0,0,0,0,1
11730.0,11730.0,234730.0,48,77913.0,2,14,1,1,1,0,0,0,1
61550.0,90550.0,256350.0,39,159696.0,2,16,0,1,1,0,0,1,1
500.0,-5500.0,-3834.0,36,25200.0,4,12,0,0,0,0,0,0,0
11763.0,9918.0,36418.0,39,23046.0,1,14,0,0,0,0,0,1,1
380.0,-120.0,2680.0,26,15450.0,3,12,0,0,0,0,0,0,1
2050.0,2050.0,61550.0,37,25920.0,1,18,0,0,0,0,0,0,0
100.0,-3900.0,28100.0,37,13839.0,1,16,0,0,0,0,0,0,1
398.0,-1002.0,11473.0,32,10164.0,5,12,0,0,0,0,0,0,1
400.0,-3600.0,8350.0,30,27624.0,1,12,1,0,0,0,0,0,1
35.0,-12465.0,204535.0,50,41217.0,4,7,0,1,1,0,0,0,1
6.0,-6994.0,-6994.0,45,35565.0,3,12,0,0,0,0,0,0,0
1825.0,-10275.0,9433.0,30,57000.0,2,14,0,1,1,0,0,0,1
6500.0,5000.0,193000.0,41,54852.0,5,12,1,1,1,0,0,0,1
160.0,-19840.0,-19840.0,31,25002.0,4,12,0,1,1,0,0,0,0
2135.0,1384.0,35564.0,30,46398.0,4,16,0,1,1,0,0,0,1
16000.0,0.0,49000.0,46,18000.0,2,14,0,0,0,0,0,1,1
21000.0,20700.0,372700.0,38,33576.0,4,10,0,1,0,0,0,0,1
3050.0,2250.0,3525.0,25,3150.0,1,16,0,0,0,0,0,0,0
67498.0,59498.0,59498.0,46,64203.0,5,12,1,1,1,0,0,0,0
210.0,10.0,5606.0,29,16194.0,3,12,0,0,0,0,0,0,1
2000.0,1400.0,26400.0,58,14400.0,5,4,0,1,0,0,0,0,1
8100.0,10600.0,16600.0,46,41622.0,5,11,0,1,0,0,0,1,1
32.0,-1068.0,53932.0,42,60384.0,4,12,0,1,1,0,0,0,1
43000.0,41302.0,136302.0,63,46122.0,2,13,0,1,0,0,0,0,1
9725.0,10055.0,74055.0,34,41757.0,4,12,0,1,0,0,0,1,1
600.0,-100.0,54900.0,40,58320.0,3,12,0,1,1,0,0,0,1
100.0,-5100.0,-2718.0,35,38244.0,3,16,0,1,1,0,0,0,0
250.0,-550.0,9450.0,43,14292.0,3,12,0,1,0,0,0,0,1
0.0,-1400.0,23600.0,37,24231.0,4,13,0,1,1,0,0,0,1
800.0,800.0,7800.0,32,25314.0,1,12,0,0,0,0,0,0,0
53.0,-1847.0,-1347.0,54,4917.0,1,11,0,0,0,0,0,0,0
