treat,re78,age,educ,black,hisp,married,nodegr,re74,re75
0,0.0,23.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0
0,12383.68,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,22.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0
0,10740.08,18.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0
0,11796.47,45.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0
0,9227.052,18.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0
0,10569.27,24.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0
0,6040.335,34.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0
0,3880.833,24.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0
0,0.0,36.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0
0,5775.062,21.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0.0,28.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0
0,0.0,27.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0
0,0.0,19.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,20.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0
0,2113.722,34.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
0,7618.639,24.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0
0,9920.945,22.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0
0,4196.375,25.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0
0,0.0,39.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0
0,16658.25,19.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0
0,9722.003,44.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0
0,3783.66,27.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0
0,3515.929,25.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0
0,17014.59,31.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0
0,0.0,34.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0
0,0.0,21.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0
0,5970.257,33.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
0,1859.167,18.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0
0,6191.943,26.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0
0,7284.394,31.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
0,445.8309,35.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0
0,0.0,20.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0.0,25.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0
0,7367.04,25.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0
0,0.0,35.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0
0,2015.503,20.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0
0,15791.13,25.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0
0,1135.47,27.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0
