id,year,emp,wage,cap,indoutpt,n,w,k,ys,n_lag1,w_lag1,k_lag1,n_lag2,d_n,d_w,d_k,d_n_lag1,d_w_lag1,d_k_lag1
1,1977,5.04099988937378,13.1515998840332,0.589399993419647,95.7071990966797,1.61760449409485,2.57654333114624,-0.528650224208832,4.56129360198975,,,,,,,,,,
1,1978,5.59999990463257,12.3017997741699,0.6317999958992,97.3569030761719,1.72276663780212,2.50974559783936,-0.459182411432266,4.57838344573975,1.61760449409485,2.57654333114624,-0.528650224208832,,0.10516214370727006,-0.06679773330687988,0.069467812776566,,,
1,1979,5.0149998664856,12.8395004272461,0.677100002765656,99.6082992553711,1.61243343353271,2.55252647399902,-0.389936298131943,4.60124540328979,1.72276663780212,2.50974559783936,-0.459182411432266,1.61760449409485,-0.11033320426941007,0.042780876159659975,0.06924611330032299,0.10516214370727006,-0.06679773330687988,0.069467812776566
1,1980,4.71500015258789,13.8038997650146,0.61710000038147,100.550102233887,1.55074894428253,2.62495112419128,-0.482724189758301,4.61065626144409,1.61243343353271,2.55252647399902,-0.389936298131943,1.72276663780212,-0.06168448925018,0.0724246501922603,-0.09278789162635798,-0.11033320426941007,0.042780876159659975,0.06924611330032299
1,1981,4.09299993515015,14.2896995544434,0.507600009441376,99.5580978393555,1.40927815437317,2.65953898429871,-0.678061544895172,4.60074138641357,1.55074894428253,2.62495112419128,-0.482724189758301,1.61243343353271,-0.1414707899093599,0.03458786010742987,-0.195337355136871,-0.06168448925018,0.0724246501922603,-0.09278789162635798
1,1982,3.16599988937378,14.8681001663208,0.42289999127388,98.6150970458984,1.15246891975403,2.69921803474426,-0.86061954498291,4.591224193573,1.40927815437317,2.65953898429871,-0.678061544895172,1.55074894428253,-0.25680923461913996,0.03967905044554998,-0.18255800008773804,-0.1414707899093599,0.03458786010742987,-0.195337355136871
1,1983,2.93600010871887,13.7784004211426,0.391999989748001,100.030097961426,1.07704818248749,2.62310218811035,-0.936493456363678,4.60547113418579,1.15246891975403,2.69921803474426,-0.86061954498291,1.40927815437317,-0.07542073726654008,-0.07611584663391024,-0.07587391138076793,-0.25680923461913996,0.03967905044554998,-0.18255800008773804
2,1977,71.3190002441406,14.7909002304077,16.93630027771,95.7071990966797,4.26716279983521,2.69401216506958,2.82945919036865,4.56129360198975,,,,,,,,,,
2,1978,70.6429977416992,14.1035995483398,17.2422008514404,97.3569030761719,4.25763893127441,2.64643001556396,2.84735989570618,4.57838344573975,4.26716279983521,2.69401216506958,2.82945919036865,,-0.009523868560800786,-0.04758214950562012,0.017900705337529743,,,
2,1979,70.9179992675781,14.9533996582031,17.5412998199463,99.6082992553711,4.26152420043945,2.70493865013123,2.86455798149109,4.60124540328979,4.25763893127441,2.64643001556396,2.84735989570618,4.26716279983521,0.0038852691650399507,0.05850863456727007,0.017198085784910333,-0.009523868560800786,-0.04758214950562012,0.017900705337529743
2,1980,72.0309982299805,15.4910001754761,17.6574001312256,100.550102233887,4.27709674835205,2.74025917053223,2.87115502357483,4.61065626144409,4.26152420043945,2.70493865013123,2.86455798149109,4.25763893127441,0.01557254791260032,0.03532052040100009,0.00659704208373979,0.0038852691650399507,0.05850863456727007,0.017198085784910333
2,1981,73.6890029907227,16.1968994140625,16.7133007049561,99.5580978393555,4.29985380172729,2.78481984138489,2.81620478630066,4.60074138641357,4.27709674835205,2.74025917053223,2.87115502357483,4.26152420043945,0.0227570533752397,0.0445606708526598,-0.05495023727416992,0.01557254791260032,0.03532052040100009,0.00659704208373979
2,1982,72.4189987182617,16.1313991546631,16.2469005584717,98.6150970458984,4.28246879577637,2.78076767921448,2.78790211677551,4.591224193573,4.29985380172729,2.78481984138489,2.81620478630066,4.27709674835205,-0.01738500595091974,-0.004052162170409712,-0.028302669525150037,0.0227570533752397,0.0445606708526598,-0.05495023727416992
2,1983,68.5179977416992,16.3050994873047,17.3696002960205,100.030097961426,4.22709655761719,2.79147791862488,2.8547215461731,4.60547113418579,4.28246879577637,2.78076767921448,2.78790211677551,4.29985380172729,-0.05537223815917969,0.010710239410399947,0.06681942939759011,-0.01738500595091974,-0.004052162170409712,-0.028302669525150037
3,1977,19.1560001373291,22.6919994354248,7.09749984741211,95.7071990966797,2.95261597633362,3.12201237678528,1.95974254608154,4.56129360198975,,,,,,,,,,
3,1978,19.4400005340576,20.6937999725342,6.94689989089966,97.3569030761719,2.96733283996582,3.02983403205872,1.93829548358917,4.57838344573975,2.95261597633362,3.12201237678528,1.95974254608154,,0.014716863632199928,-0.09217834472656028,-0.02144706249237016,,,
3,1979,19.8999996185303,21.2047996520996,6.85650014877319,99.6082992553711,2.99071979522705,3.05422759056091,1.9251971244812,4.60124540328979,2.96733283996582,3.02983403205872,1.93829548358917,2.95261597633362,0.023386955261230025,0.02439355850219016,-0.01309835910796986,0.014716863632199928,-0.09217834472656028,-0.02144706249237016
3,1980,20.2399997711182,22.19700050354,6.65469980239868,100.550102233887,3.00766086578369,3.09995722770691,1.89532339572906,4.61065626144409,2.99071979522705,3.05422759056091,1.9251971244812,2.96733283996582,0.01694107055664018,0.04572963714600009,-0.029873728752140005,0.023386955261230025,0.02439355850219016,-0.01309835910796986
3,1981,19.5699996948242,24.8714008331299,6.21360015869141,99.5580978393555,2.9739978313446,3.21371865272522,1.82674050331116,4.60074138641357,3.00766086578369,3.09995722770691,1.89532339572906,2.99071979522705,-0.03366303443909002,0.1137614250183101,-0.06858289241790017,0.01694107055664018,0.04572963714600009,-0.029873728752140005
3,1982,18.125,24.8446998596191,5.71460008621216,98.6150970458984,2.897292137146,3.21264433860779,1.74302434921265,4.591224193573,2.9739978313446,3.21371865272522,1.82674050331116,3.00766086578369,-0.07670569419859996,-0.0010743141174303084,-0.08371615409850985,-0.03366303443909002,0.1137614250183101,-0.06858289241790017
