variable,coefficient,std_err,z_value,p_value,sig
L1.n,0.6787867226325481,0.08907807494392518,7.620132373312352,2.5341570263037225e-14,***
w,-0.7198296352544089,0.12214076196822196,-5.893443136057158,3.782302979710897e-09,***
L1.w,0.4626913548327849,0.11347547647639526,4.077456814460103,4.553098320130988e-05,***
k,0.4539045700357214,0.12755374698236852,3.5585357606034393,0.0003729280221947802,***
L1.k,-0.1914922589931809,0.10446707821758573,-1.833039291041889,0.06679672819992792, 
year_1978,0.005258316370412963,0.015678309277377057,0.33538797311521507,0.7373324391943097, 
year_1979,0.008129240232455537,0.018852803553026404,0.43119529727187794,0.6663263730607999, 
year_1980,-0.012512135760469167,0.02131508804168171,-0.5870084015605121,0.5571980641484391, 
year_1981,-0.038969645809083964,0.02596424099075191,-1.5008967842720453,0.13338226005465062, 
year_1982,-0.011019832878297775,0.02806776014628014,-0.392615328792392,0.6946036161581481, 
year_1983,0.01884318375009264,0.030730514181859906,0.6131750233198406,0.5397606178423794, 
year_1984,0.03460644514246436,0.03369641273271779,1.0270068038685602,0.30441726030006744, 
