variable,coefficient,std_err,z_value,p_value,sig
L1.n,0.9269913142872843,0.07850845986704344,11.807534065209959,3.5687488390223094e-32,***
w,-0.8155040588271305,0.2763832311327428,-2.9506278491818336,0.0031712876659147024,**
L1.w,0.6331152379720564,0.33276392771381164,1.9025957600685528,0.05709331283322336, 
k,0.5894690098990729,0.17153560998568834,3.4364235504700966,0.0005894486811992513,***
L1.k,-0.48885807451894436,0.19698213619608007,-2.4817381106697156,0.013074332629737034,*
year_1978,0.02155771008351559,0.02806105818545144,0.7682429486815441,0.442342861932301, 
year_1979,0.04373927527245147,0.03736700293754643,1.1705320693114023,0.24178691638287997, 
year_1980,0.03384571329977959,0.040028163065333466,0.8455475022557752,0.39780522244534866, 
year_1981,0.014767795257926153,0.054409181469732386,0.27142101496493604,0.7860672408692058, 
year_1982,0.05776581313397244,0.05554239645190495,1.0400309821704,0.2983255067630939, 
year_1983,0.0848864380447063,0.047199635573018796,1.7984553697111763,0.07210487511322697, 
year_1984,0.07992436481919274,0.041149266564324744,1.9423035084782025,0.05210036854580303, 
_con,0.6404201882058238,0.46280167582086035,1.3837896914913408,0.1664228604118385, 
