Spec,avexpr_b,avexpr_se,avexpr_p,first_stage_F,hansen_J,hansen_p,N,R2
c1: + malfal94,0.687,0.265,0.0094,3.98,,,62,
c2: + malfal94 + lat,0.721,0.314,0.0216,3.39,,,62,
c3: + leb95,0.629,0.295,0.0326,4.23,,,60,
c4: + leb95 + lat,0.677,0.357,0.0579,3.14,,,60,
c5: + imr95,0.551,0.26,0.0343,5.12,,,60,
c6: + imr95 + lat,0.562,0.338,0.0967,3.15,,,60,
c7: avexpr + malfal94 endog,0.689,0.244,0.0047,54.01,1.02,0.6,60,
c8: avexpr + leb95 endog,0.737,0.224,0.001,51.3,0.8,0.671,59,
c9: avexpr + imr95 endog,0.675,0.197,0.0006,51.3,0.45,0.798,59,
c10: yellow,0.914,0.239,0.0001,9.73,,,64,
c11: yellow + continents,0.899,0.289,0.0019,7.44,,,64,
