Country_ISO,year,pred_GDP_pc_Region,GDP_pc_Region,Light_Region,Light_Country,Pop_Region,Pop_Country
ALB,2001,4025.44287109375,4959.0380859375,4418,82615,207069.71875,3123226.75
ALB,2009,7239.25634765625,7667.798828125,5646,103571,181981.84375,3272004
ALB,2001,3773.642333984375,3849.993896484375,3509,82615,207276.578125,3123226.75
ALB,2009,6623.5361328125,5858.06396484375,3537,103571,177896.1875,3272004
ALB,2001,4687.10302734375,5160.31298828125,7844,82615,205735.125,3123226.75
ALB,2009,8500.2880859375,8011.3349609375,10587,103571,234433.09375,3272004
ALB,2001,4066.2958984375,4248.91552734375,8711.5,82615,384259.96875,3123226.75
ALB,2009,7269.14990234375,6780.89501953125,10506,103571,411434.3125,3272004
ALB,2001,4522.90673828125,4960.6533203125,13362.5,82615,364452.125,3123226.75
ALB,2009,8115.2255859375,6996.44580078125,16386,103571,374977.0625,3272004
ALB,2001,3777.376220703125,6418.99560546875,3830.5,82615,129484.4453125,3123226.75
ALB,2009,6667.322265625,6655.15576171875,4087,103571,91892.2109375,3272004
ALB,2001,3753.768310546875,4075.024658203125,4725,82615,275036.75,3123226.75
ALB,2009,6999.62548828125,6594.533203125,8559,103571,230973.546875,3272004
ALB,2001,3431.84375,3440.956787109375,1290,82615,114993.078125,3123226.75
ALB,2009,6382.3310546875,7919.2763671875,2293,103571,84483.1953125,3272004
ALB,2001,4029.010986328125,5106.3486328125,4125.5,82615,153681.875,3123226.75
ALB,2009,7127.27392578125,6372.24365234375,4528,103571,156034.953125,3272004
ALB,2001,3874.66943359375,4211.236328125,6222,82615,255536.40625,3123226.75
ALB,2009,6709.96435546875,6789.8759765625,5535,103571,228747.046875,3272004
ALB,2001,4686.77197265625,7022.9306640625,17073,82615,637647,3123226.75
ALB,2009,8479.0517578125,12881.4580078125,22968,103571,963201.9375,3272004
ALB,2001,4088.5615234375,5669.72509765625,7504,82615,188053.796875,3123226.75
ALB,2009,7295.63818359375,7798.02783203125,8939,103571,135948.609375,3272004
ARG,1995,10786.419921875,11496.3095703125,723232,2337191,13612426,34554276
ARG,2000,11645.9951171875,12512.5625,843663,2622785.5,14376120,36829596
ARG,2005,12296.763671875,12923.7607421875,743399.5,2338116,15131398,39113340
ARG,1995,8202.4482421875,7713.583984375,22579,2337191,296544.53125,34554276
ARG,2000,9053.1708984375,9580.203125,32699.5,2622785.5,336499.75,36829596
ARG,2005,9516.1494140625,22046.88671875,27499.5,2338116,379526.9375,39113340
ARG,1995,9207.1455078125,6618.5439453125,57783,2337191,969703.0625,34554276
ARG,2000,10274.869140625,6280.68115234375,79625.5,2622785.5,1061600.75,36829596
ARG,2005,10697.703125,6508.51708984375,67243,2338116,1156726.75,39113340
ARG,1995,8260.02734375,15479.7421875,54078,2337191,381873.15625,34554276
ARG,2000,8916.30859375,17791.25390625,61723.5,2622785.5,414521.90625,36829596
ARG,2005,9478.7783203125,24601.52734375,59386,2338116,447476.96875,39113340
