code_Coutry_Region,Country_ISO,year,Latitude,Longitude,log_GDP_pc_Region,log_Light_ppix_Region,satyear_1,satyear_2,satyear_3,satyear_4,satyear_5,satyear_6,satyear_7
1164,CHE,2000,47.40988,8.156727,10.542612075805664,3.22097110748291,0,0,0,0,1,0,0
1164,CHE,1995,47.40988,8.156727,10.449790954589844,3.2430832386016846,0,0,1,0,0,0,0
1164,CHE,2010,47.40988,8.156727,10.630647659301758,3.740288496017456,0,0,0,0,0,0,0
1164,CHE,2005,47.40988,8.156727,10.483220100402832,3.327691078186035,0,0,0,0,0,1,0
539,ITA,1995,42.231891,13.842532,10.065668106079102,2.575809955596924,0,0,1,0,0,0,0
539,ITA,2010,42.231891,13.842532,10.18777084350586,3.0031113624572754,0,0,0,0,0,0,0
539,ITA,2000,42.231891,13.842532,10.155871391296387,2.6325807571411133,0,0,0,0,1,0,0
539,ITA,2005,42.231891,13.842532,10.107470512390137,2.594691753387451,0,0,0,0,0,1,0
1367,ARE,2009,23.648126,54.038657,11.47422981262207,1.8862766027450562,0,0,0,0,0,0,1
1367,ARE,2005,23.648126,54.038657,11.923495292663574,1.8261806964874268,0,0,0,0,0,1,0
1367,ARE,2001,23.648126,54.038657,11.741639137268066,1.877533197402954,0,0,0,0,1,0,0
481,IDN,2010,4.227167,96.915679,8.6699676513671875,0.05583075433969498,0,0,0,0,0,0,0
481,IDN,1996,4.227167,96.915679,9.378560066223145,-0.238263338804245,0,0,1,0,0,0,0
481,IDN,2005,4.227167,96.915679,8.824684143066406,-0.5554852485656738,0,0,0,0,0,1,0
110,BRA,2010,-9.301192,-70.482895,8.881763458251953,-1.3190912008285522,0,0,0,0,0,0,0
110,BRA,2005,-9.301192,-70.482895,8.724557876586914,-1.991370677947998,0,0,0,0,0,1,0
110,BRA,1995,-9.301192,-70.482895,8.479336738586426,-2.5770983695983887,0,0,1,0,0,0,0
110,BRA,2000,-9.301192,-70.482895,8.579215049743652,-2.2731821537017822,0,0,0,0,1,0,0
1280,TUR,1995,37.308335,36.202718,8.7345552444458,0.8070157766342163,0,0,1,0,0,0,0
1280,TUR,2000,37.308335,36.202718,9.144413948059082,0.9297057390213013,0,0,0,0,1,0,0
1281,TUR,1995,37.802359,38.342585,8.003652572631836,0.4581505060195923,0,0,1,0,0,0,0
1281,TUR,2000,37.802359,38.342585,8.399527549743652,0.247689887881279,0,0,0,0,1,0,0
1282,TUR,2000,38.622531,30.651804,8.722623825073242,0.8018323183059692,0,0,0,0,1,0,0
1282,TUR,1995,38.622531,30.651804,8.176690101623535,0.4174514710903168,0,0,1,0,0,0,0
1283,TUR,1995,39.579182,43.256325,7.396304607391357,-0.7654964923858643,0,0,1,0,0,0,0
1283,TUR,2000,39.579182,43.256325,7.983140468597412,0.15688765048980713,0,0,0,0,1,0,0
719,MEX,2000,22.010787,-102.362493,9.531929969787598,2.21073579788208,0,0,0,0,1,0,0
719,MEX,2010,22.010787,-102.362493,9.559758186340332,2.5168440341949463,0,0,0,0,0,0,0
719,MEX,2005,22.010787,-102.362493,9.577942848205566,2.070082664489746,0,0,0,0,0,1,0
719,MEX,1995,22.010787,-102.362493,9.273859977722168,2.2160046100616455,0,0,1,0,0,0,0
316,SLV,1996,13.865613,-89.901676,8.20964241027832,1.2456735372543335,0,0,1,0,0,0,0
316,SLV,1999,13.865613,-89.901676,8.001421928405762,1.4316937923431396,0,0,0,1,0,0,0
316,SLV,2010,13.865613,-89.901676,8.26703929901123,1.9015250205993652,0,0,0,0,0,0,0
345,FIN,2000,60.219877,20.148113,10.540529251098633,1.1446422338485718,0,0,0,0,1,0,0
345,FIN,2005,60.219877,20.148113,10.64721393585205,0.8992465138435364,0,0,0,0,0,1,0
345,FIN,1995,60.219877,20.148113,10.298905372619629,1.5505709648132324,0,0,1,0,0,0,0
345,FIN,2010,60.219877,20.148113,10.664146423339844,1.952361822128296,0,0,0,0,0,0,0
559,JPN,2009,35.035551,137.211621,10.427421569824219,3.592916250228882,0,0,0,0,0,0,1
