Country_ISO,year,n_regions,GINIW,GINI_unw,diff
ALB,2001,12,0.051328945023693,0.050604975624337786,0.0007239693993552135
ALB,2009,12,0.05304969875764459,0.05146459373497886,0.0015851050226657337
ARE,2001,7,0.039574725102488766,0.02957146761353392,0.010003257488954847
ARE,2005,7,0.04845037504300827,0.034438620193201666,0.014011754849806601
ARE,2009,7,0.052546485463654626,0.03586108071885326,0.016685404744801367
ARG,1995,24,0.07873977002037456,0.07830210502101545,0.0004376649993591136
ARG,2000,24,0.074321726487394,0.07629588973648066,-0.001974163249086655
ARG,2005,24,0.07541870143798077,0.07833067391702069,-0.0029119724790399176
AUS,1995,8,0.05732549001199253,0.10507693369708547,-0.04775144368509294
AUS,2000,8,0.05545705416795822,0.10208506283888809,-0.046628008670929866
AUS,2005,8,0.05882784056838541,0.10899463528599342,-0.05016679471760801
AUS,2010,8,0.05629059509473153,0.10238644928761516,-0.04609585419288363
AUT,1995,9,0.05765862356141927,0.04892701982514286,0.008731603736276412
AUT,2000,9,0.05782491173201735,0.04847060054978364,0.009354311182233711
AUT,2005,9,0.057368259264976476,0.04906838534785987,0.008299873917116604
AUT,2010,9,0.04516746632074595,0.03874694847339458,0.00642051784735137
BEL,1995,9,0.0315442619921664,0.047766469743276224,-0.016222207751109823
BEL,2000,9,0.03126856136053902,0.046582568766933806,-0.015314007406394783
BEL,2005,9,0.030871445540084225,0.04499911038712999,-0.014127664847045765
BEL,2010,9,0.021356870052793752,0.03646261802085737,-0.015105747968063615
BEN,1992,6,0.10434196780193196,0.10344999495180315,0.0008919728501288055
BEN,1998,6,0.09857465211527021,0.09937883676133956,-0.0008041846460693503
BEN,2004,6,0.10463443290132055,0.10466170977880358,-2.727687748303731e-05
BGD,1995,20,0.045122972835861044,0.0420311809967372,0.0030917918391238433
BGD,1999,20,0.050846332883619984,0.04484949470756054,0.005996838176059442
BGD,2005,20,0.04990792963931433,0.04453936208384848,0.005368567555465845
BGR,1995,28,0.04138289231560989,0.028079430619114824,0.013303461696495066
BGR,2000,28,0.0425290523131016,0.026812423741951426,0.015716628571150172
BGR,2005,28,0.04561853347788035,0.029413586017511324,0.016204947460369025
BGR,2010,28,0.04345184731825858,0.02749504041467187,0.01595680690358671
BIH,2010,12,0.031144627053553312,0.05049189453950003,-0.019347267485946718
BOL,1995,9,0.050253804713170154,0.07080756174804502,-0.020553757034874866
BOL,2000,9,0.04891842440811738,0.07024357176364454,-0.02132514735552716
BOL,2005,9,0.05128020302762205,0.06858588447569183,-0.017305681448069786
BOL,2010,9,0.04220044096005792,0.06220465473145843,-0.020004213771400506
BRA,1995,20,0.07408266451638115,0.07927184102269483,-0.005189176506313675
BRA,2000,20,0.07282092603222268,0.07654639647109528,-0.0037254704388725995
BRA,2005,20,0.07213536086893829,0.07306860869754427,-0.0009332478286059737
BRA,2010,20,0.06920138907977678,0.07277148595306769,-0.0035700968732909066
CAN,1995,11,0.030184169875154796,0.08226655732310385,-0.05208238744794906
CAN,2000,11,0.03020719612607557,0.08501415011053207,-0.054806953984456494
CAN,2005,11,0.02864385274289703,0.08163360213963784,-0.05298974939674081
CAN,2010,11,0.03207442746466833,0.0864743083516936,-0.05439988088702528
CHE,1995,24,0.05687877320171773,0.06229830276958304,-0.00541952956786531
CHE,2000,24,0.05369459069761413,0.05660645608826006,-0.002911865390645932
CHE,2005,24,0.05987256875788291,0.05879165234597738,0.0010809164119055317
CHE,2010,24,0.05311864983984533,0.05815939749183214,-0.00504074765198681
CHL,1995,13,0.07488128455379045,0.08422594491378683,-0.009344660359996385
CHL,2000,13,0.07572746987331433,0.08708286956114321,-0.01135539968782888
CHL,2010,13,0.06574127839291728,0.08710612678933108,-0.021364848396413796
CHN,1995,27,0.07756207937433426,0.10872914498840719,-0.031167065614072925
CHN,2000,27,0.07127794103026631,0.10202657183259209,-0.030748630802325774
CHN,2005,27,0.0689569410700318,0.09972162289974758,-0.030764681829715784
CHN,2010,27,0.06146986404014047,0.09042116705914229,-0.02895130301900181
COL,1995,25,0.07832336513294523,0.08769435509891044,-0.009370989965965207
COL,2000,25,0.07605468340676728,0.08434383295061156,-0.00828914954384427
COL,2005,25,0.08144054595760712,0.08610627018883824,-0.004665724231231114
COL,2010,25,0.07252285640947312,0.07876916519771603,-0.0062463087882429075
CZE,1995,14,0.03865213286419523,0.031820139777528025,0.006831993086667203
CZE,2000,14,0.03823683221118414,0.032397443050696945,0.005839389160487193
CZE,2005,14,0.038251514580133775,0.03301108171562205,0.005240432864511722
CZE,2010,14,0.03136798083312427,0.02726942281030426,0.0040985580228200084
DEU,1995,16,0.04063923509323576,0.06084410921961894,-0.02020487412638318
DEU,2000,16,0.03853200442432631,0.05919210720179856,-0.020660102777472246
DEU,2005,16,0.03897750098293813,0.060974793514156925,-0.021997292531218793
DEU,2010,16,0.027798183274837386,0.04474043395644479,-0.0169422506816074
DNK,1995,5,0.03908359112722281,0.051264558777269556,-0.012180967650046746
DNK,2000,5,0.03743767613467496,0.04426825058451755,-0.006830574449842586
DNK,2005,5,0.04026987394955954,0.0404339440165048,-0.00016407006694525716
DNK,2010,5,0.0379115575288129,0.04252518951579703,-0.004613631986984126
ECU,1996,21,0.04481523462897974,0.07578544689494458,-0.030970212265964844
ECU,1999,21,0.04343625227657703,0.07478809219779779,-0.031351839921220766
ECU,2005,21,0.039275506577654974,0.06741025176516312,-0.028134745187508144
EGY,1992,21,0.05851702337843145,0.07352100500536331,-0.01500398162693186
EGY,1998,21,0.05627096715474211,0.06927763308860031,-0.0130066659338582
EGY,2007,21,0.0576049575569999,0.06824201031703651,-0.010637052760036611
ESP,1995,50,0.051490563965147666,0.058137770859220526,-0.00664720689407286
ESP,2000,50,0.051494491857645916,0.0570616049172183,-0.005567113059572387
ESP,2005,50,0.05538932366447048,0.060327890112527524,-0.004938566448057041
ESP,2010,50,0.049325169797425614,0.05508277969358893,-0.005757609896163314
EST,1996,15,0.03976510449568264,0.046587220575444316,-0.0068221160797616726
EST,2000,15,0.04943646786410103,0.05276252705205361,-0.0033260591879525764
EST,2005,15,0.05023957747650423,0.05924325978003918,-0.009003682303534946
EST,2010,15,0.04112805943738654,0.03973216652785368,0.0013958929095328615
