,N,mean,sd,min,median,max,mean 1992,mean 2010
"Observed GDP p.c. (region, US$)","5,258","14,371","13,450",226.34,"8,770","150,768","4,428","18,883"
"Predicted GDP p.c. (region, US$)","5,258","13,422","11,689",360.13,"8,325","70,638","3,887","17,622"
log observed GDP p.c. (region),"5,258",9.10,1.06,5.42,9.08,11.92,8.24,9.52
log GDP p.c. (country),"5,258",9.28,0.9389,6.07,9.26,11.45,8.32,9.68
log light per pixel (region),"5,258",0.9573,1.77,-4.61,1.25,4.14,-0.0410,1.55
"Total light (region, summed DN)","5,258","213,456","465,243",44.00,"58,401","7,904,552","53,324","354,554"
"Total light (country, summed DN)","5,258","7,477,449","14,801,072","12,106","1,733,508","83,312,528","617,956","12,159,001"
log # top-coded pixels,"5,258",-10.53,4.31,-20.75,-12.37,0.0000,-10.69,-8.99
log # low-coded pixels,"5,258",-1.55,2.83,-15.16,-0.5230,-0.0001,-1.41,-1.87
log region area,"5,258",13.17,1.74,9.91,13.01,16.61,13.13,13.31
log # regions in country,"5,258",3.19,0.6979,1.39,3.18,4.34,2.60,3.19
log region x log area,"5,258",42.57,12.98,17.15,42.05,72.16,34.40,43.09
Population (region),"5,258","3,705,986","11,695,457",928.42,"964,556","199,528,672","3,856,250","4,388,654"
Population (country),"5,258","103,683,791","228,114,600","1,193,269","38,461,096","1,328,343,680","37,059,083","124,426,832"
