metric,value
col1_light_FE,0.3586670679456994
col2_light_FE,0.18993122835513962
col3_light_FE,0.1341652727781423
col4_light_FE,0.13147013685958867
col5_light_FE,0.26839184625530815
col6_light_FE,0.09367578304066324
col7_light_FE,0.048686385150255786
col1_light_RE,0.3985798269199058
col2_light_RE,0.18993122835513962
col3_light_RE,0.15265592419604718
col4_light_RE,0.12251701394974655
col5_light_RE,0.2315793824197548
col6_light_RE,0.10408713049735555
col7_light_RE,0.10189396862981157
col7_natgdp_RE,0.8894980862001468
col7_natgdp_FE,0.8956899659090336
pred_obs_corr,0.9245199986308031
N,5258.0
n_regions,1504.0
