Country_ISO,year,n_regions,GINIW,GE_m1W,GE_0W,GE_1W,COVW,GINI_unw
ALB,2001,12,0.051328945023693,0.00430420510393581,0.004283157516836565,0.00427310918915609,0.09245201732109957,0.050604975624337786
ALB,2009,12,0.05304969875764459,0.004718200396229388,0.004669817039373194,0.004632524408886324,0.09597774803974798,0.05146459373497886
ARE,2001,7,0.039574725102488766,0.0029990680672489223,0.0029539745552813676,0.002913082103292857,0.0758447822766977,0.02957146761353392
ARE,2005,7,0.04845037504300827,0.004424609707583738,0.004345125524100829,0.004274790352146744,0.09179494725930565,0.034438620193201666
ARE,2009,7,0.052546485463654626,0.005137817030997249,0.0050384653184931925,0.004951748277505573,0.09876264148940128,0.03586108071885326
ARG,1995,24,0.07873977002037456,0.013012444569147519,0.014018647113937695,0.015405823270102287,0.18594507049974127,0.07830210502101545
ARG,2000,24,0.074321726487394,0.0116224665412904,0.012484038522895724,0.013665968220343983,0.17470852216893215,0.07629588973648066
ARG,2005,24,0.07541870143798077,0.011762499083517786,0.01265405275402417,0.013887563701423345,0.17645475581666803,0.07833067391702069
AUS,1995,8,0.05732549001199253,0.0057311637701953355,0.005728423487748421,0.005768010724445638,0.1081972857574011,0.10507693369708547
AUS,2000,8,0.05545705416795822,0.005349173497588344,0.005335568626455393,0.005358931890580541,0.10412597503013896,0.10208506283888809
AUS,2005,8,0.05882784056838541,0.00604981472198296,0.006017210999750399,0.006032154222028675,0.1104215849112076,0.10899463528599342
AUS,2010,8,0.05629059509473153,0.005472829484551522,0.0054581970996876,0.005480541575109592,0.1052753614543219,0.10238644928761516
AUT,1995,9,0.05765862356141927,0.007425611448453773,0.007874005622223401,0.008393796671146148,0.13414017938877346,0.04892701982514286
AUT,2000,9,0.05782491173201735,0.006942185315813476,0.007329260472126557,0.007777017726305957,0.12880206976489236,0.04847060054978364
AUT,2005,9,0.057368259264976476,0.006922282670708602,0.007313699334918045,0.007766759905687606,0.12877277673135418,0.04906838534785987
AUT,2010,9,0.04516746632074595,0.0043213766000220755,0.004514705416078076,0.004732373842567743,0.09977345384621765,0.03874694847339458
BEL,1995,9,0.0315442619921664,0.002170387849877109,0.0020979618156755867,0.0020324393298498332,0.06281898162447266,0.047766469743276224
BEL,2000,9,0.03126856136053902,0.0021040805079223235,0.002037868009452185,0.001977654138756311,0.0620139009702635,0.046582568766933806
BEL,2005,9,0.030871445540084225,0.001974064642356832,0.001915180629149819,0.001861619842863033,0.06021450055979922,0.04499911038712999
BEL,2010,9,0.021356870052793752,0.0012389289100822598,0.0011944303167387518,0.001153331041671185,0.047229897391716825,0.03646261802085737
BEN,1992,6,0.10434196780193196,0.017602354476006332,0.017436676284344522,0.01741463388037532,0.1872642310721456,0.10344999495180315
BEN,1998,6,0.09857465211527021,0.01591109033008009,0.015541458583026135,0.015301147521853102,0.17425383769366126,0.09937883676133956
BEN,2004,6,0.10463443290132055,0.01803750811808824,0.01766627284084719,0.017450986493394147,0.18646033751837862,0.10466170977880358
BGD,1995,20,0.045122972835861044,0.0034008386526217516,0.003427714709729398,0.0034668573840973644,0.08388644634384457,0.0420311809967372
BGD,1999,20,0.050846332883619984,0.004157606612059994,0.0042154849382184814,0.004288286278444288,0.09355941695349353,0.04484949470756054
BGD,2005,20,0.04990792963931433,0.004243489786425858,0.004286456502366804,0.00434885792537532,0.09413913735479561,0.04453936208384848
BGR,1995,28,0.04138289231560989,0.0032770668491427513,0.003394598808723486,0.003527487052251919,0.08576004681276,0.028079430619114824
BGR,2000,28,0.0425290523131016,0.003760571535577073,0.003930066494130883,0.004121792557659038,0.09315067444982111,0.026812423741951426
BGR,2005,28,0.04561853347788035,0.0041239721638277604,0.004305557002563839,0.004512334415101309,0.09744217350069857,0.029413586017511324
BGR,2010,28,0.04345184731825858,0.0037263360062533835,0.003883468918884538,0.004060842643013388,0.09231359270286632,0.02749504041467187
BIH,2010,12,0.031144627053553312,0.002052280820420971,0.0020267069621365246,0.0020070527769450617,0.06313756122279607,0.05049189453950003
BOL,1995,9,0.050253804713170154,0.004930724647637219,0.004832451734650906,0.004761452684265909,0.09711824747297759,0.07080756174804502
BOL,2000,9,0.04891842440811738,0.004665234419190201,0.004539753129229607,0.004440468215212063,0.09343609364457814,0.07024357176364454
BOL,2005,9,0.05128020302762205,0.004740234013728362,0.004644379872345372,0.0045734689815475574,0.09513863523189739,0.06858588447569183
BOL,2010,9,0.04220044096005792,0.003556042937218451,0.003458383815647488,0.003380364690621574,0.08148683633241516,0.06220465473145843
BRA,1995,20,0.07408266451638115,0.009451896753606248,0.00910597051978107,0.008842651053469142,0.13154674066312644,0.07927184102269483
BRA,2000,20,0.07282092603222268,0.009242494045972993,0.008876425154751295,0.008590936443960976,0.129431284443779,0.07654639647109528
BRA,2005,20,0.07213536086893829,0.00886892812856055,0.008561952444998952,0.008322657786045146,0.12762179592134107,0.07306860869754427
BRA,2010,20,0.06920138907977678,0.00842466605021075,0.008088057325179282,0.007816439390287245,0.12330419997713703,0.07277148595306769
CAN,1995,11,0.030184169875154796,0.0019224745429294865,0.001850718034423169,0.0017972737758074763,0.05929817354679776,0.08226655732310385
CAN,2000,11,0.03020719612607557,0.0019669347806167137,0.001895641552114994,0.0018425429132264844,0.0600629668416115,0.08501415011053207
CAN,2005,11,0.02864385274289703,0.0017267041542607942,0.0016594229654862212,0.0016090478220064216,0.05606625711596512,0.08163360213963784
CAN,2010,11,0.03207442746466833,0.002048358782526072,0.0019923511025032904,0.001950838223933756,0.06198618689340846,0.0864743083516936
CHE,1995,24,0.05687877320171773,0.005171579278703042,0.005167645182446265,0.005180878799422931,0.10208996243258399,0.06229830276958304
CHE,2000,24,0.05369459069761413,0.0045232026372552525,0.004533823509826952,0.004557451503423369,0.09585756389784834,0.05660645608826006
CHE,2005,24,0.05987256875788291,0.005622209294438574,0.005608998351709474,0.005613445073544801,0.10616313523758067,0.05879165234597738
CHE,2010,24,0.05311864983984533,0.0045674753376000465,0.004512202537298272,0.004471051922219351,0.09426814223720256,0.05815939749183214
CHL,1995,13,0.07488128455379045,0.010114760471252593,0.00974471179344303,0.009452789905316197,0.13584827649832545,0.08422594491378683
CHL,2000,13,0.07572746987331433,0.010388411393061125,0.009998705007172128,0.009691612595140193,0.13751244245212518,0.08708286956114321
CHL,2010,13,0.06574127839291728,0.008114118514305768,0.00776857216613351,0.007492023845237572,0.1206018669859566,0.08710612678933108
CHN,1995,27,0.07756207937433426,0.009750767363100321,0.009658780025551844,0.009659684118275775,0.13966830054984836,0.10872914498840719
CHN,2000,27,0.07127794103026631,0.008315468697389639,0.008215714402800283,0.008195153114019348,0.128467748231217,0.10202657183259209
CHN,2005,27,0.0689569410700318,0.007789866143217972,0.007748716525422796,0.007779659875828305,0.12556606084875685,0.09972162289974758
CHN,2010,27,0.06146986404014047,0.006253452949142813,0.006190500359501831,0.006180059462491407,0.11153632191417064,0.09042116705914229
COL,1995,25,0.07832336513294523,0.011248298033053938,0.010784773041303135,0.010483320750419607,0.14367184481941714,0.08769435509891044
COL,2000,25,0.07605468340676728,0.010794341066972413,0.010353194552201715,0.010068973495710294,0.14084605082519297,0.08434383295061156
COL,2005,25,0.08144054595760712,0.011975556882750427,0.011564931261147668,0.011330440145224021,0.1500006340292139,0.08610627018883824
COL,2010,25,0.07252285640947312,0.009834030578274477,0.009390519395257688,0.009076390360489399,0.13320636790806686,0.07876916519771603
CZE,1995,14,0.03865213286419523,0.0031186588088552014,0.0032622375465054324,0.0034236848287410547,0.08491508609013713,0.031820139777528025
CZE,2000,14,0.03823683221118414,0.0033604137818250557,0.0035400686371663,0.0037431422948794703,0.08913934493941195,0.032397443050696945
CZE,2005,14,0.038251514580133775,0.0032975684564942043,0.003465893929621319,0.0036563808411765857,0.08800077496194585,0.03301108171562205
CZE,2010,14,0.03136798083312427,0.002173429330322829,0.002264244258999547,0.0023647655012854945,0.07037152328659473,0.02726942281030426
DEU,1995,16,0.04063923509323576,0.002926955450241353,0.0030048886478893,0.0030958466167200892,0.08001563107910117,0.06084410921961894
DEU,2000,16,0.03853200442432631,0.0027263942247650608,0.0028018770616625418,0.00288996503197703,0.07735654967272163,0.05919210720179856
DEU,2005,16,0.03897750098293813,0.0028138204099582564,0.0028974971684453017,0.002996125548928308,0.07888615784066323,0.060974793514156925
DEU,2010,16,0.027798183274837386,0.00148865688987887,0.0015201055851974954,0.001555803957207759,0.05649933509566684,0.04474043395644479
DNK,1995,5,0.03908359112722281,0.0028338904073413884,0.0028744498128172383,0.002920010222696612,0.07708124965849593,0.051264558777269556
DNK,2000,5,0.03743767613467496,0.0028469475133398037,0.0029001865033384273,0.002958385571664685,0.07774079751622624,0.04426825058451755
DNK,2005,5,0.04026987394955954,0.003153565693362559,0.0032135403749773634,0.003279242293300011,0.08186599846420861,0.0404339440165048
DNK,2010,5,0.0379115575288129,0.0029673282836547576,0.0030247369254615894,0.0030873339232916526,0.07944085276324582,0.04252518951579703
ECU,1996,21,0.04481523462897974,0.00444541781068053,0.004172614967415709,0.003946337579145609,0.086691291509717,0.07578544689494458
ECU,1999,21,0.04343625227657703,0.0042972492361327275,0.004032025020429676,0.003811534448297415,0.08517449962533571,0.07478809219779779
ECU,2005,21,0.039275506577654974,0.0035525402146721063,0.0033579348085018244,0.00319217923692487,0.07810824326614449,0.06741025176516312
EGY,1992,21,0.05851702337843145,0.005958523075583311,0.005880575166651202,0.005832825656902416,0.1078399230998837,0.07352100500536331
EGY,1998,21,0.05627096715474211,0.005494467156774707,0.005395379687060482,0.005324628566228194,0.10277113011020127,0.06927763308860031
EGY,2007,21,0.0576049575569999,0.005531746372217317,0.005396078118760651,0.005288099465754219,0.10203560401221747,0.06824201031703651
ESP,1995,50,0.051490563965147666,0.004254988672549143,0.004185540927615962,0.004129743173429013,0.09040717828186354,0.058137770859220526
ESP,2000,50,0.051494491857645916,0.004265831296959233,0.00419848779363627,0.004144302270664237,0.09058154349665279,0.0570616049172183
ESP,2005,50,0.05538932366447048,0.004871913868629951,0.004800764369531175,0.004747552050642629,0.09707067324543985,0.060327890112527524
ESP,2010,50,0.049325169797425614,0.003840533000495916,0.003796182891104555,0.003763152688327818,0.08649849214821777,0.05508277969358893
EST,1996,15,0.03976510449568264,0.003081073066222517,0.0029912075421000797,0.0029110099876079906,0.07535926200730998,0.046587220575444316
EST,2000,15,0.04943646786410103,0.004467997068565821,0.0043287763813694155,0.0042090389017842116,0.09062637108394483,0.05276252705205361
EST,2005,15,0.05023957747650423,0.004881543312466041,0.004693310117941392,0.004531856703407819,0.09374008673268641,0.05924325978003918
EST,2010,15,0.04112805943738654,0.0029607042203733114,0.002903874326070424,0.00285380758058896,0.07496659325102072,0.03973216652785368
FIN,1995,5,0.03579334695168122,0.002431176109872757,0.002382838967135956,0.0023386706614739188,0.06780004835404066,0.037508259367232843
FIN,2000,5,0.03388965715033673,0.0022748538525627637,0.0022226157342136125,0.0021745960742053324,0.06527657211848788,0.03744255713700719
FIN,2005,5,0.03506640794301965,0.002486538149929274,0.0024334765847388836,0.0023845064259450993,0.06840166556600384,0.03748557735304957
FIN,2010,5,0.03712550043784001,0.0027022121983093506,0.0026430978702021357,0.00258890680243867,0.07126477014799272,0.03967610966856892
FRA,1995,21,0.039740580049028626,0.002495779501322848,0.0025190491238881833,0.0025462078152675913,0.0717966542148484,0.03224365646719264
FRA,2000,21,0.03830284253308011,0.002328500139077927,0.0023446473610149697,0.0023639647570556956,0.06908728886531494,0.03230784108697617
FRA,2005,21,0.04244120300411815,0.0028802406923750246,0.0029005977145250793,0.0029260780400786612,0.07689973462397715,0.036644406349687964
FRA,2010,21,0.04057237703455289,0.00257814212281271,0.0026007913179715778,0.0026278111194357953,0.07292965733751612,0.0360776626278376
GBR,1995,10,0.034632852104210674,0.002245810394545078,0.0021975425520034645,0.0021547858730080424,0.06507169538638469,0.034375472222960134
GBR,2000,10,0.0443214763593351,0.0033785418827467772,0.003353323835194982,0.0033377240446810976,0.08162588196664303,0.03805043416538864
GBR,2005,10,0.0451953309968629,0.0035040706926088294,0.003460110183757627,0.0034270041063968297,0.08251292386246685,0.04002810888250128
GBR,2010,10,0.04006467716942101,0.0027246910445613004,0.002699613769968588,0.0026809680832174925,0.07305455764903229,0.034198700069386474
GRC,1995,8,0.02810572728888795,0.0013781657506273248,0.0013674110663488923,0.0013575765991333073,0.051935259423884196,0.024386011565884155
GRC,2000,8,0.024410976929712058,0.001053945793191624,0.0010445372849953363,0.0010357340279283202,0.04533248139330822,0.022729360861557274
GRC,2005,8,0.027545430757690226,0.0013593824939415189,0.0013479745988646836,0.0013374328199136677,0.05153122310219626,0.021984073940344538
GRC,2010,8,0.021700335779081256,0.0008842261656507588,0.0008759575533629745,0.0008681102147734907,0.04148906873898698,0.01999460979840342
GTM,1995,22,0.09592024445149577,0.014363682398713218,0.014386315912917698,0.014539449533474625,0.17219826865047194,0.07263074688931355
GTM,2005,22,0.0860903401513019,0.011915453109168417,0.011816999398786077,0.011826310080242462,0.1545293940371855,0.06323910335334341
GTM,2008,22,0.0879449127009139,0.012419466446154326,0.012253933289391668,0.01220526831072285,0.1566352579067845,0.06639251173731586
HND,1995,16,0.08049127316491804,0.010510581403707864,0.010364063539951507,0.01030594419047564,0.1437549136924425,0.06797878392920034
HND,2000,16,0.07295140340668103,0.008528924152036987,0.008473329268067223,0.00847261064689192,0.13058377907576552,0.05932175261062547
HND,2003,16,0.06747745398142303,0.007379159629281373,0.0073002977826747174,0.007264952483052749,0.12059493533577911,0.0558260340470683
HRV,2000,21,0.03181564913644067,0.0017699095021822542,0.0017616723768823638,0.0017581871606836012,0.059323491601456724,0.046370217663026
HRV,2005,21,0.03212675002697581,0.0016830030979969601,0.0016858765891525432,0.0016923416479112938,0.058356345316579954,0.043917454842532504
HRV,2010,21,0.046808243709329275,0.003441649808880287,0.0034432796379006646,0.0034515659355885925,0.08326576646058356,0.049592273356725856
HUN,2000,20,0.06988960023048466,0.009164717993012883,0.009657301600554126,0.010240241133260658,0.1478407711431972,0.039616483953677846
HUN,2005,20,0.06809576487460708,0.009374467806702036,0.009947576615813332,0.010623504534157056,0.15113322769461268,0.035949278386358814
HUN,2010,20,0.06892887972886069,0.008388070201171272,0.00876970515076228,0.009223320456505982,0.13971196962365437,0.042053902206795626
IDN,1996,26,0.08857976044860928,0.016050461717973863,0.015312752747984791,0.014860976487360253,0.171330295011299,0.11937743261485048
IDN,2005,26,0.08818561783261616,0.015349474147030695,0.014772380682036084,0.014447583972441017,0.16951350312517569,0.11254867036387246
IDN,2010,26,0.08296093758322233,0.014144364108398366,0.01345632936317403,0.012974867711065393,0.15924010059650612,0.10954560932502647
IND,1993,27,0.044651597130614146,0.0037835809515559538,0.0038262596232999544,0.003907755539530552,0.08981982771873331,0.09402390429626867
IND,2000,28,0.04511585964198521,0.0037284030348512243,0.0037848573341542797,0.0038768901525018705,0.08954693512105313,0.10172473964992013
IND,2005,28,0.0474222692203019,0.004094306037173312,0.004204858691203529,0.004359838584285234,0.09557615715997117,0.10167410701236565
IND,2010,28,0.04307440448502244,0.003368419153199742,0.0034347784054054756,0.003527691678463638,0.08544433514073947,0.09326167657367564
IRL,1995,7,0.040460782110890464,0.0027515109355489287,0.002757359481336514,0.0027666697521383163,0.07455807430760043,0.030413582000614735
IRL,2000,7,0.036280096529108574,0.0022516072363475415,0.0022564438512511524,0.002263654784250826,0.06742761656353723,0.026436765976796502
IRL,2005,7,0.03873450051900033,0.0026453896410835176,0.002652853617154897,0.002663450089984667,0.07317363996908356,0.02681144617177821
IRL,2010,7,0.03375253391528611,0.0020843506422586477,0.002092779213631493,0.0021029568564930193,0.0650369776361917,0.021329670485972892
IRN,2000,25,0.05480683321112567,0.004833625238954586,0.004818595707528059,0.004822579210852988,0.09843968267790244,0.045301817507207146
IRN,2005,25,0.05390115624999442,0.004722607734510054,0.004724281169783768,0.004743634745237163,0.09778091087522561,0.04118669265461211
IRN,2010,25,0.05188056761086665,0.004309931587511473,0.004285279058928264,0.0042744862621351,0.09249083438345009,0.03913618188735804
ITA,1995,20,0.020187548794952576,0.0007368685673558861,0.0007257875586789047,0.000715463878158035,0.03757279601130251,0.02818625988309544
ITA,2000,20,0.02134395131600051,0.0008056727376414274,0.0007941033214437852,0.0007833215943648642,0.03932645612262811,0.028158569727652464
ITA,2005,20,0.0231092716047412,0.000960610630410974,0.0009448526474044824,0.0009301963638402777,0.0428154300526853,0.03131448097545674
ITA,2010,20,0.021439617903751755,0.0007916138413516238,0.0007821620592068862,0.0007732582549455835,0.03911214457825378,0.02664462753248831
JOR,1997,12,0.06702614277228473,0.008509135691920022,0.008245138441167544,0.008062653402933113,0.12610407755158584,0.0902021729946165
JOR,2002,12,0.06424940518822973,0.0078403660256674,0.007601531347884672,0.007432041289676453,0.12102079516398578,0.08750516746250163
JOR,2010,12,0.06688084268981971,0.008002019416129436,0.007917186564206348,0.007884689232010137,0.12570560602843792,0.08559267320603592
JPN,1995,46,0.0584803142278945,0.0052452784136696184,0.005223701410200888,0.005217506572941922,0.10224012258256604,0.04902851606530953
JPN,2000,47,0.05863921747763137,0.005317555763814097,0.005287531164128588,0.005272153602685613,0.10267579842269665,0.04950677553201851
JPN,2005,47,0.0635106021132536,0.006251596007652682,0.006226431275010631,0.00622127345989015,0.11167724956913003,0.05076917055159489
JPN,2009,47,0.06027822558589339,0.005566980174836589,0.00553584140184579,0.005522173567523318,0.1051255524313502,0.05011703759458089
KAZ,1995,14,0.030136801720310212,0.0016694191832401506,0.00164434012625201,0.0016236799406604066,0.05669440609540565,0.03620407255244771
KAZ,2000,14,0.03279390445075072,0.00177180223884299,0.0017725341813576434,0.0017763642637644373,0.05972109036034613,0.039222649412973785
KAZ,2005,14,0.02346537327682392,0.0008667219876121735,0.0008704893001449756,0.0008748365457832905,0.04194705222129964,0.026027116757759282
KAZ,2010,14,0.019452416232417453,0.0005941687062203105,0.0005961071972955343,0.0005983167893728906,0.034664149415350794,0.02133814144357047
KEN,2005,5,0.10248150113243196,0.019005994715024954,0.020594326686831525,0.02272353036460992,0.22614222255123725,0.13136848029701714
KGZ,1996,7,0.07661297217760045,0.010997341120942306,0.011069348786503314,0.011300686831124607,0.1530067137883695,0.11093725547645472
KGZ,2000,7,0.0664836210165207,0.008567786266295396,0.008868672325920625,0.009292288052335108,0.14040612846169984,0.09747037934478221
KGZ,2005,7,0.06703897695099201,0.008750444922298484,0.009125520033246244,0.009630966561306874,0.1434461224017587,0.09774622615290629
KOR,1995,13,0.05271484277118028,0.0044732193796998,0.0044480378939166995,0.004434735863180769,0.09415864811242067,0.0560751075080076
KOR,2000,13,0.052031707319156885,0.004624646061659132,0.004534365490739357,0.004456727860247974,0.09371114713375985,0.05762914110140775
KOR,2005,13,0.050748222786837154,0.004423775566201993,0.004325558263390539,0.004240585301844251,0.09130032625776566,0.05882042214795862
KOR,2010,13,0.03990407678889083,0.0030663017986973795,0.00299510805478085,0.002930331641275598,0.07578278602631806,0.04745691237298114
LKA,1995,9,0.0617030314337192,0.006786383279686281,0.006755078930917625,0.0067619200842498756,0.11666551661395934,0.05727824774253517
LKA,1999,9,0.0622168194963603,0.0066518967777197124,0.006625654674585327,0.006633093312041552,0.11552621865487768,0.05773642805559703
LKA,2005,9,0.055820424446969434,0.005247600636514749,0.0052898350977557684,0.005349438383740801,0.10418018359652893,0.04709276515236787
LKA,2010,9,0.05456665762318924,0.004964772089779745,0.004995236042036423,0.005040552874568442,0.1010046636002266,0.04593971266587474
LSO,1996,6,0.049465467422065285,0.005832875517842284,0.005479892878910108,0.005184437577219928,0.09937370388434494,0.07813949539717815
LSO,2000,6,0.04536362415967345,0.004420927469628855,0.0042473270603405125,0.004100630710940677,0.08919453197838469,0.06555518948005963
LTU,1995,10,0.023437479520345222,0.0009697570793248955,0.0009578946049674398,0.0009468160707483634,0.043277832907026116,0.02638448154096343
LTU,2000,10,0.023670376669350904,0.0009716905029910627,0.0009653225029232389,0.0009594843648011442,0.04368431495096827,0.02347391371460751
LTU,2005,10,0.02716381887004603,0.0012575716950358196,0.0012461252441476802,0.0012356014681697853,0.049517006066530436,0.027865426445466013
LTU,2010,10,0.02581427712350101,0.001106278707400432,0.0010960324129179059,0.0010868364806040044,0.046446915470601334,0.026379440578650055
LVA,1995,26,0.079961346125085,0.010886549705515058,0.010819827649218409,0.010805851709077201,0.14726392370439562,0.043735849491290384
LVA,2000,26,0.07391645403809702,0.009215858003147948,0.009195077384368883,0.009210571820696399,0.13610364194496577,0.03696513982563592
LVA,2005,26,0.07499291240401111,0.009450946547020056,0.009436379673897698,0.009460631755716695,0.13801090778359837,0.03922939074489761
MAR,2000,7,0.03815414663097082,0.0024581720726430945,0.002430109898179357,0.0024055436655798746,0.06905537938950723,0.038305281074589935
MAR,2005,7,0.042906928690152814,0.003148032892711594,0.003096409976453068,0.003050661259840908,0.07759473986796414,0.04450975201592925
MAR,2010,7,0.03935354638178002,0.0028613388156976116,0.0028043152921276154,0.002752555911971574,0.0735627463329749,0.04248855500055135
MEX,1995,32,0.08391471063125741,0.011057805966340317,0.011306947575586918,0.011673540102563669,0.15602755343159733,0.07476748431879393
MEX,2000,32,0.08105454473104097,0.010330996108564139,0.010566678523964713,0.010902335158427468,0.15066706160530074,0.07226273806786473
MEX,2005,32,0.0820927006213886,0.010562087406000065,0.010826254193205096,0.01119640763924316,0.1528849687431416,0.07132055537643478
MEX,2010,32,0.0753148380822435,0.008826079291887723,0.008959329760117294,0.00916028840310857,0.13737055024680048,0.0680770598284379
MKD,2000,8,0.0379287810129296,0.002377294830273713,0.002397006121875562,0.0024198875789154754,0.06994324421268583,0.030621732972856506
MKD,2005,8,0.04124821039562371,0.0027920455517167486,0.0028170790612254484,0.002846410843316688,0.07589701221814651,0.03284805933935993
MKD,2010,8,0.043833409658763305,0.0031783547199182305,0.0032135824016289796,0.00325428986177715,0.08124900294414925,0.033721938471112545
MNG,1995,20,0.09187862038940409,0.01709032218058326,0.019103960386109693,0.021895519713503606,0.22715202067982534,0.0926504238636483
MNG,2000,20,0.10623451544413498,0.021576248092404327,0.023924786398960653,0.027299049962621086,0.25359426248203043,0.10001333517181919
MNG,2004,20,0.10576019940477491,0.02187501297515193,0.024394301652567275,0.02800004035714885,0.257592449239238,0.09432325304918877
MNG,2010,20,0.12069684754570856,0.025802138416142095,0.027941654935848607,0.031194068167773672,0.2683511147192741,0.11701881443030071
MOZ,1996,10,0.06567022073548157,0.007419472062861976,0.007727067895801588,0.00810297807983695,0.1308297323410052,0.06451585995950322
MOZ,2000,10,0.06966293782748638,0.00882615838209766,0.009324113613308857,0.009932067035063316,0.1460878892283001,0.06690257538860052
MOZ,2005,10,0.06919000000868965,0.008680572426355337,0.009112735569214662,0.009642133109108494,0.14342368538436226,0.06526916619531756
MOZ,2009,10,0.07685658063822025,0.010564527763247344,0.011014127162252743,0.011591957665193832,0.15695840977699368,0.07198309817373671
MYS,1995,12,0.0842287302198333,0.011709023288813958,0.011416529597609684,0.011214094053793061,0.14896821606881053,0.08234310310907104
MYS,2000,12,0.09230243580658849,0.014281107557439277,0.013854294737566565,0.0135647488145355,0.16372275828418395,0.09159109982329484
MYS,2005,12,0.09377150535585595,0.014561653050305323,0.01414279683628127,0.0138593435547002,0.1655407852644148,0.09503079764077314
MYS,2010,12,0.08544011379739129,0.012435130340383571,0.012018248615499938,0.011709119842374358,0.15164971797079085,0.08722447437545158
NGA,1992,4,0.09379456767218501,0.014752398859983806,0.014733865826478648,0.014807530143893397,0.1730637006046372,0.0905965383146392
NGA,2008,4,0.07787677422619904,0.009967532414330571,0.009964627355160134,0.010006167975313958,0.14207653495043068,0.07491031765479611
NIC,2000,7,0.09486987884190691,0.016287570051368716,0.015589670716733605,0.015084232205794326,0.1717233832648471,0.08346290023133116
NIC,2005,7,0.09726285908506024,0.016982916480428933,0.016276579124909776,0.01576182709644406,0.1755744932334611,0.08653604095997468
NLD,1995,12,0.026332401704676902,0.001604846487293199,0.0015559510548371772,0.0015106240731939209,0.05419568059347515,0.0402549040762933
NLD,2000,12,0.030296116255441496,0.0017134652181657328,0.001672074001417596,0.0016348149972981122,0.056592587812235834,0.03836579273745919
NLD,2005,12,0.0318813742880268,0.0017939998302216598,0.0017584458790509492,0.0017268163561432945,0.05828944323708798,0.03705366228478716
NLD,2010,12,0.02355693695738917,0.0011127301887484675,0.0010838546327532148,0.0010573740060600915,0.045455227143953454,0.030691834812407948
NOR,1995,19,0.066464723841102,0.006903373911569921,0.006979008448652332,0.007089884513785126,0.12031237353510678,0.06114087778613058
NOR,2000,19,0.06665675624345187,0.006908246783013161,0.0069833840092345485,0.007092643215146802,0.12031503364400838,0.06111304557029704
NOR,2005,19,0.06357417023975213,0.006469743219905677,0.006596247592657744,0.006756410252341012,0.1179231637513348,0.05654991504635559
NOR,2010,19,0.06534571191533717,0.006673883755098919,0.00677353293686498,0.006906016823834458,0.1189416243237928,0.058952519332166685
NPL,1999,5,0.05864593383075696,0.006205435583565677,0.0060362415956971924,0.005894568245264435,0.10750130270220445,0.0643231099061248
NPL,2006,5,0.052388468643644624,0.0050151344579975055,0.00486327570676221,0.004731271578226236,0.09609722270612221,0.058369493224228776
PAK,1995,4,0.031767134247323824,0.0038473492213146887,0.003503408864729526,0.0032147633630484544,0.07708848125497209,0.06919345291448763
PAK,2000,4,0.03003011908314359,0.0030359671206716676,0.002814422807846187,0.0026242275098405697,0.07014796472455251,0.06158938951289552
PAK,2004,4,0.0313832349758251,0.0029013603889667117,0.002721627092933227,0.002565988008179034,0.06972579510759692,0.0593066004171452
PAN,1996,9,0.054779117834552665,0.007480840849405035,0.006833143273568832,0.006329857232172097,0.10894636221172431,0.0820847042381046
PAN,2000,9,0.05335095082483956,0.006782097786399377,0.006276185882167275,0.0058758704932316795,0.10542220585275354,0.0766581441791826
PAN,2005,9,0.0530537819102308,0.006834234635067715,0.006330954477553316,0.00592471428154632,0.10578341368366863,0.07723776108801354
PAN,2008,9,0.06447434253418934,0.009376623505258808,0.008733813660367611,0.008214641774757945,0.12485747466921233,0.0868911594998036
PER,1995,23,0.08261759329590448,0.011081169398687085,0.0108677395554546,0.01073179669259801,0.14606714265453488,0.07161465886473438
PER,2001,23,0.08275980494842522,0.011006067762376226,0.010865778707171217,0.010799161945704175,0.14698711229621073,0.0677874435671903
PER,2005,23,0.0816254569342942,0.01083452038549848,0.01063620880770437,0.010515643183171604,0.1446893939660708,0.06780107522839633
PER,2010,23,0.07526200093592875,0.009376297960117519,0.009138172308016968,0.008965327770035579,0.13305465389957288,0.06481009615990574
PHL,1992,7,0.10873947138324362,0.02191084389935183,0.023803444030774067,0.026432385212859216,0.24513631052646967,0.13061295716299193
PHL,1997,7,0.08273287704904667,0.013635398600457038,0.014798282984434911,0.016305566901505468,0.19107935075138494,0.10605156463256805
PHL,2006,7,0.08161132433821545,0.01370794625499483,0.014996369323011786,0.016678092737418396,0.194296518085315,0.1084936321269429
PHL,2010,7,0.07095040787711941,0.009924884200388728,0.010601339659913174,0.011464426486517664,0.1584930756349987,0.09718717698070373
POL,1995,15,0.03482299016371595,0.0019866356802968888,0.0019837359774993206,0.0019845990843525363,0.06307468888116775,0.03517925410770881
POL,2000,15,0.029527677009863126,0.0016004342191562326,0.0015995915385940082,0.0016017416418565534,0.05668953765898929,0.030322890096364515
POL,2005,15,0.03157035234739952,0.0016947970309071358,0.0016871958105040374,0.0016826226525511068,0.05798325699476214,0.0332967515771245
POL,2010,15,0.020045701166675263,0.0006787801684939865,0.0006761558661101956,0.000673979177206105,0.03666727835820521,0.020862077107720846
