country,life_exp,infant_mort
Country_01,79.6,18.6
Country_02,68.3,33.1
Country_03,81.3,11.6
Country_04,77.2,25.5
Country_05,54.9,53.8
Country_06,83.6,8.6
Country_07,76.9,15.3
Country_08,77.3,16.2
Country_09,58.3,50.1
Country_10,71.5,34.2
Country_11,64.4,42.1
Country_12,84.7,3.8
Country_13,71.0,25.9
Country_14,79.0,15.5
Country_15,68.6,33.8
Country_16,63.0,43.2
Country_17,73.1,29.7
Country_18,58.5,54.9
Country_19,79.1,15.2
Country_20,73.0,25.3
Country_21,79.5,23.1
Country_22,65.3,39.8
Country_23,81.6,3.5
Country_24,79.5,11.4
Country_25,76.5,17.8
Country_26,61.8,53.4
Country_27,69.3,36.8
Country_28,57.7,58.7
Country_29,58.8,55.9
Country_30,75.8,18.9
Country_31,78.6,17.1
Country_32,83.4,4.0
Country_33,65.7,40.9
Country_34,64.8,35.5
Country_35,68.4,36.1
Country_36,59.9,48.9
Country_37,56.5,48.4
Country_38,70.2,30.8
Country_39,60.9,48.5
Country_40,75.1,25.7
Country_41,69.1,41.9
Country_42,80.9,22.9
Country_43,77.3,22.7
Country_44,64.2,39.9
Country_45,79.1,7.8
Country_46,79.0,16.5
Country_47,63.2,36.2
Country_48,60.8,42.9
Country_49,72.8,20.6
Country_50,57.2,51.9
