country,life_exp,infant_mort,infant_mort_adj,pc1,health_index
Country_01,79.6,18.6,-18.6,1.2720310216867952,0.7687406698788675
Country_02,68.3,33.1,-33.1,-0.32937736258167527,0.43249236291852833
Country_03,81.3,11.6,-11.6,1.733943965415139,0.865728700425911
Country_04,77.2,25.5,-25.5,0.7566972790055516,0.6605358545436097
Country_05,54.9,53.8,-53.8,-2.3891554544651417,0.0
Country_06,83.6,8.6,-8.6,2.062126598032288,0.9346373284032223
Country_07,76.9,15.3,-15.3,1.1996362727460133,0.7535399178387959
Country_08,77.3,16.2,-16.2,1.1915067703133373,0.7518329632254254
Country_09,58.3,50.1,-50.1,-1.9377149978991983,0.09478911856892894
Country_10,71.5,34.2,-34.2,-0.11465113656409354,0.4775785075070474
Country_11,64.4,42.1,-42.1,-1.0653235521235729,0.2779654710411532
Country_12,84.7,3.8,-3.8,2.3734213410735148,1.0
Country_13,71.0,25.9,-25.9,0.22457534988850697,0.5488060175327903
Country_14,79.0,15.5,-15.5,1.3644849359240419,0.7881532522279548
Country_15,68.6,33.8,-33.8,-0.3366210559860138,0.43097140195237155
Country_16,63.0,43.2,-43.2,-1.2317866121806333,0.24301316114601523
Country_17,73.1,29.7,-29.7,0.22431842557074136,0.5487520710393698
Country_18,58.5,54.9,-54.9,-2.141282334006287,0.05204601019579355
Country_19,79.1,15.2,-15.2,1.3865304584923424,0.7927821587033216
Country_20,73.0,25.3,-25.3,0.41782742001083834,0.5893832257162596
Country_21,79.5,23.1,-23.1,1.0573623137067347,0.7236666023738245
Country_22,65.3,39.8,-39.8,-0.8852589142861738,0.31577370922139103
Country_23,81.6,3.5,-3.5,2.13029170811163,0.9489499816171706
Country_24,79.5,11.4,-11.4,1.5939554730680654,0.8363352652422079
Country_25,76.5,17.8,-17.8,1.0518327203215494,0.7225055516186188
Country_26,61.8,53.4,-53.4,-1.799026460075869,0.1239096018235498
Country_27,69.3,36.8,-36.8,-0.41620198029361377,0.41426176602961906
Country_28,57.7,58.7,-58.7,-2.381854243023282,0.0015330380496329189
Country_29,58.8,55.9,-55.9,-2.1622848263686083,0.047636109156088444
Country_30,75.8,18.9,-18.9,0.9433767255367174,0.6997330065362114
Country_31,78.6,17.1,-17.1,1.2579577803735262,0.7657857062284226
Country_32,83.4,4.0,-4.0,2.2565214015007222,0.9754544767273257
Country_33,65.7,40.9,-40.9,-0.9025609493575039,0.3121407945589885
Country_34,64.8,35.5,-35.5,-0.7294830806066781,0.34848201826649
Country_35,68.4,36.1,-36.1,-0.45867862855118463,0.4053429285848642
Country_36,59.9,48.9,-48.9,-1.7500922243021741,0.1341843412922202
Country_37,56.5,48.4,-48.4,-2.0089094954563578,0.07984038375296736
Country_38,70.2,30.8,-30.8,-0.06644548864109218,0.4877002651169526
Country_39,60.9,48.5,-48.5,-1.6488799229216808,0.15543592540847087
Country_40,75.1,25.7,-25.7,0.5735035505502115,0.6220706000563863
Country_41,69.1,41.9,-41.9,-0.6666750097999589,0.3616698519756608
Country_42,80.9,22.9,-22.9,1.1825489768898465,0.7499520920483177
Country_43,77.3,22.7,-22.7,0.8933994595570425,0.6892392616318791
Country_44,64.2,39.9,-39.9,-0.9809991403190021,0.2956710987768701
Country_45,79.1,7.8,-7.8,1.7259141661225856,0.8640426805175128
Country_46,79.0,16.5,-16.5,1.3186222727307655,0.7785234519827938
Country_47,63.2,36.2,-36.2,-0.8941745226070636,0.31390169566577936
Country_48,60.8,42.9,-42.9,-1.4003357326496528,0.2076228403795537
Country_49,72.8,20.6,-20.6,0.6168084897985993,0.6311633540648788
Country_50,57.2,51.9,-51.9,-2.111421751360596,0.05831584770763439
