GDLcode,region,country,period,education,health,income,shdi_official,pop,region_country
ARGr101,City of Buenos Aires,Argentina,Y2013,0.926,0.858,0.85,0.878,3269.5,City of Buenos Aires (ARG)
ARGr101,City of Buenos Aires,Argentina,Y2019,0.946,0.872,0.832,0.882,3481.4,City of Buenos Aires (ARG)
ARGr102,Rest of Buenos Aires,Argentina,Y2013,0.797,0.858,0.82,0.825,16807.7,Rest of Buenos Aires (ARG)
ARGr102,Rest of Buenos Aires,Argentina,Y2019,0.83,0.872,0.802,0.834,17897.3,Rest of Buenos Aires (ARG)
ARGr103,"Catamarca, La Rioja, San Juan",Argentina,Y2013,0.822,0.858,0.828,0.836,1315.0,"Catamarca, La Rioja, San (ARG)"
ARGr103,"Catamarca, La Rioja, San Juan",Argentina,Y2019,0.856,0.872,0.81,0.846,1400.3,"Catamarca, La Rioja, San (ARG)"
ARGr104,Cordoba,Argentina,Y2013,0.826,0.858,0.834,0.84,3379.2,Cordoba (ARG)
ARGr104,Cordoba,Argentina,Y2019,0.86,0.872,0.817,0.849,3598.2,Cordoba (ARG)
ARGr105,"Corrientes, Entre Rios, Misiones",Argentina,Y2013,0.773,0.858,0.821,0.817,3466.5,"Corrientes, Entre Rios, M (ARG)"
ARGr105,"Corrientes, Entre Rios, Misiones",Argentina,Y2019,0.805,0.872,0.803,0.826,3691.3,"Corrientes, Entre Rios, M (ARG)"
ARGr106,"Chaco, Formosa",Argentina,Y2013,0.789,0.858,0.788,0.811,1620.6,"Chaco, Formosa (ARG)"
ARGr106,"Chaco, Formosa",Argentina,Y2019,0.821,0.872,0.771,0.82,1725.6,"Chaco, Formosa (ARG)"
ARGr107,"Chubut, Neuquen, Rio Negro, Santa Cruz, Tierra del Fuego",Argentina,Y2013,0.818,0.858,0.85,0.842,2141.4,"Chubut, Neuquen, Rio Negr (ARG)"
ARGr107,"Chubut, Neuquen, Rio Negro, Santa Cruz, Tierra del Fuego",Argentina,Y2019,0.851,0.872,0.832,0.852,2280.2,"Chubut, Neuquen, Rio Negr (ARG)"
ARGr108,"Jujuy, Salta",Argentina,Y2013,0.826,0.858,0.803,0.829,1962.9,"Jujuy, Salta (ARG)"
ARGr108,"Jujuy, Salta",Argentina,Y2019,0.852,0.872,0.785,0.836,2090.1,"Jujuy, Salta (ARG)"
ARGr109,"La Pampa, San Luis, Mendoza",Argentina,Y2013,0.824,0.858,0.846,0.843,2572.7,"La Pampa, San Luis, Mendo (ARG)"
ARGr109,"La Pampa, San Luis, Mendoza",Argentina,Y2019,0.858,0.872,0.828,0.853,2739.5,"La Pampa, San Luis, Mendo (ARG)"
ARGr110,Santa Fe,Argentina,Y2013,0.858,0.858,0.835,0.851,3239.1,Santa Fe (ARG)
ARGr110,Santa Fe,Argentina,Y2019,0.876,0.872,0.817,0.855,3449.0,Santa Fe (ARG)
ARGr111,"Santiago del Estero, Tucuman",Argentina,Y2013,0.789,0.858,0.819,0.822,2428.4,"Santiago del Estero, Tucu (ARG)"
ARGr111,"Santiago del Estero, Tucuman",Argentina,Y2019,0.821,0.872,0.802,0.831,2585.8,"Santiago del Estero, Tucu (ARG)"
BOLr101,Chuquisaca,Bolivia,Y2013,0.593,0.808,0.594,0.658,651.0,Chuquisaca (BOL)
BOLr101,Chuquisaca,Bolivia,Y2019,0.625,0.84,0.625,0.69,710.9,Chuquisaca (BOL)
BOLr102,La Paz,Bolivia,Y2013,0.681,0.751,0.63,0.685,3106.9,La Paz (BOL)
BOLr102,La Paz,Bolivia,Y2019,0.72,0.781,0.661,0.719,3393.0,La Paz (BOL)
BOLr103,Cochabamba,Bolivia,Y2013,0.639,0.743,0.648,0.675,1958.1,Cochabamba (BOL)
BOLr103,Cochabamba,Bolivia,Y2019,0.675,0.773,0.68,0.708,2138.4,Cochabamba (BOL)
BOLr104,Oruro,Bolivia,Y2013,0.677,0.777,0.633,0.693,589.1,Oruro (BOL)
BOLr104,Oruro,Bolivia,Y2019,0.715,0.808,0.664,0.727,643.4,Oruro (BOL)
BOLr105,Potosi,Bolivia,Y2013,0.564,0.666,0.578,0.601,1111.8,Potosi (BOL)
BOLr105,Potosi,Bolivia,Y2019,0.595,0.694,0.608,0.631,1214.2,Potosi (BOL)
BOLr106,Tarija,Bolivia,Y2013,0.637,0.826,0.672,0.707,482.8,Tarija (BOL)
BOLr106,Tarija,Bolivia,Y2019,0.673,0.859,0.704,0.741,527.3,Tarija (BOL)
BOLr107,Santa Cruz,Bolivia,Y2013,0.703,0.831,0.698,0.742,2227.0,Santa Cruz (BOL)
BOLr107,Santa Cruz,Bolivia,Y2019,0.743,0.864,0.731,0.777,2432.0,Santa Cruz (BOL)
BOLr108,Beni,Bolivia,Y2013,0.675,0.806,0.606,0.691,353.6,Beni (BOL)
BOLr108,Beni,Bolivia,Y2019,0.713,0.838,0.637,0.725,386.1,Beni (BOL)
BOLr109,Pando,Bolivia,Y2013,0.702,0.793,0.639,0.709,62.1,Pando (BOL)
BOLr109,Pando,Bolivia,Y2019,0.742,0.825,0.671,0.743,67.8,Pando (BOL)
BRAr101,Rondonia,Brazil,Y2013,0.633,0.845,0.719,0.727,1630.4,Rondonia (BRA)
BRAr101,Rondonia,Brazil,Y2019,0.656,0.866,0.706,0.738,1711.6,Rondonia (BRA)
BRAr102,Acre,Brazil,Y2013,0.629,0.823,0.688,0.709,745.8,Acre (BRA)
BRAr102,Acre,Brazil,Y2019,0.652,0.844,0.675,0.719,783.0,Acre (BRA)
BRAr103,Amazonas,Brazil,Y2013,0.659,0.839,0.704,0.73,3640.8,Amazonas (BRA)
BRAr103,Amazonas,Brazil,Y2019,0.684,0.86,0.691,0.741,3822.1,Amazonas (BRA)
BRAr104,Roraima,Brazil,Y2013,0.675,0.875,0.73,0.755,480.5,Roraima (BRA)
BRAr104,Roraima,Brazil,Y2019,0.7,0.897,0.717,0.766,504.4,Roraima (BRA)
BRAr105,Para,Brazil,Y2013,0.637,0.824,0.688,0.712,8069.6,Para (BRA)
BRAr105,Para,Brazil,Y2019,0.66,0.846,0.675,0.722,8471.5,Para (BRA)
BRAr106,Amapa,Brazil,Y2013,0.678,0.841,0.712,0.741,661.4,Amapa (BRA)
BRAr106,Amapa,Brazil,Y2019,0.705,0.862,0.699,0.752,694.4,Amapa (BRA)
BRAr107,Tocantins,Brazil,Y2013,0.654,0.847,0.739,0.742,1487.7,Tocantins (BRA)
BRAr107,Tocantins,Brazil,Y2019,0.678,0.868,0.726,0.753,1561.8,Tocantins (BRA)
BRAr108,Maranhao,Brazil,Y2013,0.611,0.809,0.69,0.698,6861.4,Maranhao (BRA)
BRAr108,Maranhao,Brazil,Y2019,0.632,0.83,0.677,0.708,7203.1,Maranhao (BRA)
BRAr109,Piaui,Brazil,Y2013,0.631,0.788,0.713,0.708,3202.5,Piaui (BRA)
BRAr109,Piaui,Brazil,Y2019,0.653,0.809,0.7,0.718,3362.0,Piaui (BRA)
BRAr110,Ceara,Brazil,Y2013,0.623,0.835,0.736,0.726,9096.9,Ceara (BRA)
BRAr110,Ceara,Brazil,Y2019,0.645,0.857,0.723,0.737,9550.0,Ceara (BRA)
