GDLcode,region,country,period,education,health,income,shdi_official,pop,region_country,pc1,pc1_index
ARGr101,City of Buenos Aires,Argentina,Y2013,0.926,0.858,0.85,0.878,3269.5,City of Buenos Aires (ARG),2.911284432705421,0.9463712635251187
ARGr101,City of Buenos Aires,Argentina,Y2019,0.946,0.872,0.832,0.882,3481.4,City of Buenos Aires (ARG),3.0625342594781686,0.9652317766502074
ARGr102,Rest of Buenos Aires,Argentina,Y2013,0.797,0.858,0.82,0.825,16807.7,Rest of Buenos Aires (ARG),1.7686219571214636,0.8038838235184708
ARGr102,Rest of Buenos Aires,Argentina,Y2019,0.83,0.872,0.802,0.834,17897.3,Rest of Buenos Aires (ARG),2.009999743264636,0.8339830904121667
ARGr103,"Catamarca, La Rioja, San Juan",Argentina,Y2013,0.822,0.858,0.828,0.836,1315.0,"Catamarca, La Rioja, San (ARG)",2.0081625030657495,0.8337539906926866
ARGr103,"Catamarca, La Rioja, San Juan",Argentina,Y2019,0.856,0.872,0.81,0.846,1400.3,"Catamarca, La Rioja, San (ARG)",2.2564732091604944,0.8647177771070448
ARGr104,Cordoba,Argentina,Y2013,0.826,0.858,0.834,0.84,3379.2,Cordoba (ARG),2.0855573432382903,0.843404953143583
ARGr104,Cordoba,Argentina,Y2019,0.86,0.872,0.817,0.849,3598.2,Cordoba (ARG),2.3421452427274105,0.875400886952649
ARGr105,"Corrientes, Entre Rios, Misiones",Argentina,Y2013,0.773,0.858,0.821,0.817,3466.5,"Corrientes, Entre Rios, M (ARG)",1.6105090716781323,0.7841675024172889
ARGr105,"Corrientes, Entre Rios, Misiones",Argentina,Y2019,0.805,0.872,0.803,0.826,3691.3,"Corrientes, Entre Rios, M (ARG)",1.8449539378697348,0.8134022497903229
ARGr106,"Chaco, Formosa",Argentina,Y2013,0.789,0.858,0.788,0.811,1620.6,"Chaco, Formosa (ARG)",1.448288408888861,0.7639389507225182
ARGr106,"Chaco, Formosa",Argentina,Y2019,0.821,0.872,0.771,0.82,1725.6,"Chaco, Formosa (ARG)",1.6910104684748377,0.7942058454902599
ARGr107,"Chubut, Neuquen, Rio Negro, Santa Cruz, Tierra del Fuego",Argentina,Y2013,0.818,0.858,0.85,0.842,2141.4,"Chubut, Neuquen, Rio Negr (ARG)",2.1625290779357385,0.8530031552936145
ARGr107,"Chubut, Neuquen, Rio Negro, Santa Cruz, Tierra del Fuego",Argentina,Y2019,0.851,0.872,0.832,0.852,2280.2,"Chubut, Neuquen, Rio Negr (ARG)",2.4039068640789107,0.8831024221873103
ARGr108,"Jujuy, Salta",Argentina,Y2013,0.826,0.858,0.803,0.829,1962.9,"Jujuy, Salta (ARG)",1.8289643480126334,0.8114083839076349
ARGr108,"Jujuy, Salta",Argentina,Y2019,0.852,0.872,0.785,0.836,2090.1,"Jujuy, Salta (ARG)",2.021811694494808,0.8354560141566962
ARGr109,"La Pampa, San Luis, Mendoza",Argentina,Y2013,0.824,0.858,0.846,0.843,2572.7,"La Pampa, San Luis, Mendo (ARG)",2.1710178240676608,0.8540616828387549
ARGr109,"La Pampa, San Luis, Mendoza",Argentina,Y2019,0.858,0.872,0.828,0.853,2739.5,"La Pampa, San Luis, Mendo (ARG)",2.419328530162405,0.8850254692531129
ARGr110,Santa Fe,Argentina,Y2013,0.858,0.858,0.835,0.851,3239.1,Santa Fe (ARG),2.315687975082943,0.8721017251994774
ARGr110,Santa Fe,Argentina,Y2019,0.876,0.872,0.817,0.855,3449.0,Santa Fe (ARG),2.4530719619525487,0.8892331992832422
ARGr111,"Santiago del Estero, Tucuman",Argentina,Y2013,0.789,0.858,0.819,0.822,2428.4,"Santiago del Estero, Tucu (ARG)",1.7048814041145184,0.7959355199584661
ARGr111,"Santiago del Estero, Tucuman",Argentina,Y2019,0.821,0.872,0.802,0.831,2585.8,"Santiago del Estero, Tucu (ARG)",1.947603463700496,0.8262024147262079
BOLr101,Chuquisaca,Bolivia,Y2013,0.593,0.808,0.594,0.658,651.0,Chuquisaca (BOL),-2.0934140945569464,0.32229661646871444
BOLr101,Chuquisaca,Bolivia,Y2019,0.625,0.84,0.625,0.69,710.9,Chuquisaca (BOL),-1.245639869246511,0.4280121550894866
BOLr102,La Paz,Bolivia,Y2013,0.681,0.751,0.63,0.685,3106.9,La Paz (BOL),-1.8432033054701036,0.3534973389574858
BOLr102,La Paz,Bolivia,Y2019,0.72,0.781,0.661,0.719,3393.0,La Paz (BOL),-0.9699816274758262,0.4623861176776652
BOLr103,Cochabamba,Bolivia,Y2013,0.639,0.743,0.648,0.675,1958.1,Cochabamba (BOL),-2.0777284102459475,0.32425258601351326
BOLr103,Cochabamba,Bolivia,Y2019,0.675,0.773,0.68,0.708,2138.4,Cochabamba (BOL),-1.2170282987120067,0.43157995356641454
BOLr104,Oruro,Bolivia,Y2013,0.677,0.777,0.633,0.693,589.1,Oruro (BOL),-1.5460245743902272,0.39055485814691715
BOLr104,Oruro,Bolivia,Y2019,0.715,0.808,0.664,0.727,643.4,Oruro (BOL),-0.6681943228589429,0.5000183156190481
BOLr105,Potosi,Bolivia,Y2013,0.564,0.666,0.578,0.601,1111.8,Potosi (BOL),-4.0657959428406265,0.0763450373430441
BOLr105,Potosi,Bolivia,Y2019,0.595,0.694,0.608,0.631,1214.2,Potosi (BOL),-3.2793978048304515,0.17440711595799144
BOLr106,Tarija,Bolivia,Y2013,0.637,0.826,0.672,0.707,482.8,Tarija (BOL),-0.9349976491320764,0.4667485410721164
BOLr106,Tarija,Bolivia,Y2019,0.673,0.859,0.704,0.741,527.3,Tarija (BOL),-0.039673057132402205,0.5783935034428584
BOLr107,Santa Cruz,Bolivia,Y2013,0.703,0.831,0.698,0.742,2227.0,Santa Cruz (BOL),-0.20451043663171425,0.5578386530612898
BOLr107,Santa Cruz,Bolivia,Y2019,0.743,0.864,0.731,0.777,2432.0,Santa Cruz (BOL),0.7268230285686217,0.6739738409093883
BOLr108,Beni,Bolivia,Y2013,0.675,0.806,0.606,0.691,353.6,Beni (BOL),-1.448671324772756,0.40269458935427344
BOLr108,Beni,Bolivia,Y2019,0.713,0.838,0.637,0.725,386.1,Beni (BOL),-0.5592995797528949,0.5135972450990179
BOLr109,Pando,Bolivia,Y2013,0.702,0.793,0.639,0.709,62.1,Pando (BOL),-1.1383745194174422,0.4413879028935358
BOLr109,Pando,Bolivia,Y2019,0.742,0.825,0.671,0.743,67.8,Pando (BOL),-0.22685974110006193,0.5550517450743125
BRAr101,Rondonia,Brazil,Y2013,0.633,0.845,0.719,0.727,1630.4,Rondonia (BRA),-0.3544128631197011,0.5391461577204041
BRAr101,Rondonia,Brazil,Y2019,0.656,0.866,0.706,0.738,1711.6,Rondonia (BRA),-0.06018785510031221,0.575835354289315
BRAr102,Acre,Brazil,Y2013,0.629,0.823,0.688,0.709,745.8,Acre (BRA),-0.8926503949003638,0.4720291484043067
BRAr102,Acre,Brazil,Y2019,0.652,0.844,0.675,0.719,783.0,Acre (BRA),-0.5984253868809739,0.5087183449732177
BRAr103,Amazonas,Brazil,Y2013,0.659,0.839,0.704,0.73,3640.8,Amazonas (BRA),-0.36756380622596174,0.5375062647013158
BRAr103,Amazonas,Brazil,Y2019,0.684,0.86,0.691,0.741,3822.1,Amazonas (BRA),-0.059472958303430405,0.5759245003115508
BRAr104,Roraima,Brazil,Y2013,0.675,0.875,0.73,0.755,480.5,Roraima (BRA),0.37406370684176876,0.6299855471084096
BRAr104,Roraima,Brazil,Y2019,0.7,0.897,0.717,0.766,504.4,Roraima (BRA),0.6936960482528777,0.6698429809912583
BRAr105,Para,Brazil,Y2013,0.637,0.824,0.688,0.712,8069.6,Para (BRA),-0.8256455417992166,0.48038450284221695
BRAr105,Para,Brazil,Y2019,0.66,0.846,0.675,0.722,8471.5,Para (BRA),-0.5198790402912484,0.5185128976837416
BRAr106,Amapa,Brazil,Y2013,0.678,0.841,0.712,0.741,661.4,Amapa (BRA),-0.14653779301394515,0.5650677112967867
BRAr106,Amapa,Brazil,Y2019,0.705,0.862,0.699,0.752,694.4,Amapa (BRA),0.17541889481172765,0.6052149859483459
BRAr107,Tocantins,Brazil,Y2013,0.654,0.847,0.739,0.742,1487.7,Tocantins (BRA),-0.02019468927202948,0.5808224120936951
BRAr107,Tocantins,Brazil,Y2019,0.678,0.868,0.726,0.753,1561.8,Tocantins (BRA),0.28096323869893064,0.6183761281832681
BRAr108,Maranhao,Brazil,Y2013,0.611,0.809,0.69,0.698,6861.4,Maranhao (BRA),-1.1624694760799854,0.43838331600521396
BRAr108,Maranhao,Brazil,Y2019,0.632,0.83,0.677,0.708,7203.1,Maranhao (BRA),-0.8821103079637391,0.4733434735328007
BRAr109,Piaui,Brazil,Y2013,0.631,0.788,0.713,0.708,3202.5,Piaui (BRA),-1.0758069922380546,0.4491899327718525
BRAr109,Piaui,Brazil,Y2019,0.653,0.809,0.7,0.718,3362.0,Piaui (BRA),-0.7885149041702368,0.4850146098201013
BRAr110,Ceara,Brazil,Y2013,0.623,0.835,0.736,0.726,9096.9,Ceara (BRA),-0.3984447098168011,0.5336554854976826
BRAr110,Ceara,Brazil,Y2019,0.645,0.857,0.723,0.737,9550.0,Ceara (BRA),-0.0996111282604051,0.5709193608185451
BRAr111,Rio Grande do Norte,Brazil,Y2013,0.655,0.825,0.759,0.743,3309.1,Rio Grande do Norte (BRA),-0.10163075818165684,0.5706675175110164
BRAr111,Rio Grande do Norte,Brazil,Y2019,0.68,0.846,0.746,0.754,3473.9,Rio Grande do Norte (BRA),0.20646008974087443,0.6090857531212515
BRAr112,Paraiba,Brazil,Y2013,0.632,0.824,0.744,0.729,3990.6,Paraiba (BRA),-0.39678731147201235,0.5338621593425549
BRAr112,Paraiba,Brazil,Y2019,0.654,0.845,0.731,0.739,4189.3,Paraiba (BRA),-0.1094952234041944,0.5696868363908038
BRAr113,Pernambuco,Brazil,Y2013,0.636,0.821,0.743,0.729,9340.1,Pernambuco (BRA),-0.41195730552583837,0.5319704952126542
BRAr113,Pernambuco,Brazil,Y2019,0.659,0.843,0.73,0.74,9805.4,Pernambuco (BRA),-0.10619080401787115,0.5700988900541788
BRAr114,Alagoas,Brazil,Y2013,0.611,0.808,0.731,0.712,3184.4,Alagoas (BRA),-0.8346460403991447,0.47926216091562857
BRAr114,Alagoas,Brazil,Y2019,0.632,0.829,0.718,0.722,3343.0,Alagoas (BRA),-0.5542868722828992,0.5142223184432151
BRAr115,Sergipe,Brazil,Y2013,0.65,0.827,0.752,0.739,2183.2,Sergipe (BRA),-0.17115272472298873,0.5619982846899774
BRAr115,Sergipe,Brazil,Y2019,0.673,0.849,0.739,0.75,2292.0,Sergipe (BRA),0.1346137767849785,0.6001266795315019
BRAr116,Bahia,Brazil,Y2013,0.639,0.822,0.735,0.728,14782.2,Bahia (BRA),-0.44583459933755537,0.5277460728895901
BRAr116,Bahia,Brazil,Y2019,0.662,0.843,0.721,0.739,15518.5,Bahia (BRA),-0.1598867847125424,0.563403122063793
BRAr117,Minas Gerais,Brazil,Y2013,0.655,0.846,0.773,0.754,20479.5,Minas Gerais (BRA),0.25662131259974985,0.6153407447618157
BRAr117,Minas Gerais,Brazil,Y2019,0.68,0.868,0.759,0.765,21499.6,Minas Gerais (BRA),0.5679764606164833,0.6541660312499565
BRAr118,Espirito Santo,Brazil,Y2013,0.667,0.836,0.774,0.756,3676.9,Espirito Santo (BRA),0.2326786105271978,0.6123551436783319
BRAr118,Espirito Santo,Brazil,Y2019,0.693,0.857,0.761,0.767,3860.1,Espirito Santo (BRA),0.5477023784012995,0.651637898809229
BRAr119,Rio de Janeiro,Brazil,Y2013,0.713,0.865,0.775,0.782,17084.0,Rio de Janeiro (BRA),0.8945734328626128,0.6948919389292919
BRAr119,Rio de Janeiro,Brazil,Y2019,0.742,0.887,0.762,0.794,17935.0,Rio de Janeiro (BRA),1.2419374540800068,0.738207450894789
BRAr120,Sao Paulo,Brazil,Y2013,0.696,0.858,0.79,0.779,43439.8,Sao Paulo (BRA),0.8200812401814971,0.685602930090361
BRAr120,Sao Paulo,Brazil,Y2019,0.724,0.88,0.777,0.791,45603.6,Sao Paulo (BRA),1.1605123414473202,0.728053922535196
BRAr121,Parana,Brazil,Y2013,0.675,0.843,0.779,0.763,11091.2,Parana (BRA),0.4103183915316946,0.6345064247254643
BRAr121,Parana,Brazil,Y2019,0.701,0.865,0.765,0.774,11643.6,Parana (BRA),0.7286064594999984,0.6741962307342669
BRAr122,Santa Catarina,Brazil,Y2013,0.678,0.853,0.782,0.768,6571.9,Santa Catarina (BRA),0.571363666455318,0.6545884081977114
BRAr122,Santa Catarina,Brazil,Y2019,0.704,0.875,0.769,0.78,6899.2,Santa Catarina (BRA),0.8979289278179978,0.6953103616012221
BRAr123,Rio Grande do Sul,Brazil,Y2013,0.683,0.853,0.778,0.768,11280.1,Rio Grande do Sul (BRA),0.5729194926356694,0.6547824162221897
BRAr123,Rio Grande do Sul,Brazil,Y2019,0.71,0.875,0.764,0.78,11842.0,Rio Grande do Sul (BRA),0.8981404805555444,0.6953367417516545
BRAr124,Mato Grosso do Sul,Brazil,Y2013,0.671,0.84,0.767,0.756,2595.4,Mato Grosso do Sul (BRA),0.24863591052716266,0.6143449830884788
BRAr124,Mato Grosso do Sul,Brazil,Y2019,0.697,0.862,0.754,0.768,2724.6,Mato Grosso do Sul (BRA),0.5752011718898425,0.6550669364919895
BRAr125,Mato Grosso,Brazil,Y2013,0.658,0.847,0.758,0.75,3138.2,Mato Grosso (BRA),0.16480366502740038,0.6038912906757955
BRAr125,Mato Grosso,Brazil,Y2019,0.683,0.869,0.744,0.762,3294.5,Mato Grosso (BRA),0.4761588130441338,0.6427165771639364
BRAr126,Goias,Brazil,Y2013,0.671,0.847,0.774,0.761,6234.1,Goias (BRA),0.38736671870784234,0.6316444027597307
BRAr126,Goias,Brazil,Y2019,0.697,0.869,0.76,0.772,6544.6,Goias (BRA),0.7056547866761462,0.6713342087685334
BRAr127,Distrito Federal,Brazil,Y2013,0.775,0.877,0.795,0.814,2774.3,Distrito Federal (BRA),1.628456259610483,0.786405476375865
BRAr127,Distrito Federal,Brazil,Y2019,0.807,0.899,0.781,0.827,2912.5,Distrito Federal (BRA),1.9883418472882142,0.8312823995086401
CHLr101,Tarapaca (incl Arica and Parinacota),Chile,Y2013,0.832,0.923,0.815,0.855,502.7,Tarapaca (incl Arica and (CHL),2.7200852652121537,0.9225291574879924
CHLr101,Tarapaca (incl Arica and Parinacota),Chile,Y2019,0.888,0.937,0.823,0.882,542.2,Tarapaca (incl Arica and (CHL),3.3361272384952403,0.9993482056193242
CHLr102,Antofagasta,Chile,Y2013,0.844,0.883,0.83,0.852,574.9,Antofagasta (CHL),2.465778466003521,0.8908176717520102
CHLr102,Antofagasta,Chile,Y2019,0.894,0.896,0.838,0.875,620.1,Antofagasta (CHL),3.028681426088603,0.961010404486756
CHLr103,Atacama,Chile,Y2013,0.751,0.939,0.809,0.83,295.2,Atacama (CHL),2.293519484585886,0.869337364307935
CHLr103,Atacama,Chile,Y2019,0.802,0.953,0.817,0.855,318.4,Atacama (CHL),2.874896858111116,0.9418338148359563
CHLr104,Coquimbo,Chile,Y2013,0.712,0.924,0.793,0.805,704.3,Coquimbo (CHL),1.7175781098359233,0.7975187705975809
CHLr104,Coquimbo,Chile,Y2019,0.761,0.938,0.801,0.83,759.6,Coquimbo (CHL),2.2850896434580106,0.868286182084278
CHLr105,Valparaiso (former Aconcagua),Chile,Y2013,0.789,0.917,0.823,0.841,1787.4,Valparaiso (former Aconca (CHL),2.418938293518135,0.8849768076215051
