rho,att
0.0,-15.681634460715276
0.02,-15.74460896666841
0.04,-15.808293963370103
0.06,-15.872751075148953
0.08,-15.93804582542563
0.1,-16.004248061369626
0.12,-16.071432430367317
0.14,-16.13967891631132
0.16,-16.209073445163074
0.18,-16.279708570984617
0.2,-16.35168425575858
0.22,-16.42510875890687
0.24,-16.500099655601932
0.26,-16.57678500689093
0.28,-16.655304709526156
0.3,-16.735812059473425
0.32,-16.81847557070108
0.34,-16.903481100492037
0.36,-16.991034344779543
0.38,-17.081363782709193
0.4,-17.174724169893516
0.42,-17.271400706188512
0.44,-17.37171403841394
0.46,-17.476026304247394
0.48,-17.584748484779823
0.5,-17.698349415999424
0.52,-17.817366922603632
0.54,-17.94242169404665
0.56,-18.074234742105382
0.58,-18.213649591159605
0.6,-18.361660802803097
