g,mean_iid,mean_mcmc,se_iid,se_mcmc,z,pval,kernel,m,z_crit,passed
rho,-0.00459512635581903,0.06044314669142161,0.0030458003674687954,0.03144147477133442,-2.0589122718560042,0.03950264327264499,simple,20000,2.7343687865331767,False
log_sigma2,0.5747330770282015,0.4690074521566361,0.009124708409888202,0.04675324021570865,2.219478672905586,0.026454176578074726,simple,20000,2.7343687865331767,False
yc_mean,0.009045871730287045,0.011902276449100418,0.010643255213556687,0.012556749105919382,-0.17352997302993528,0.8622348701770413,simple,20000,2.7343687865331767,False
log_yc_var,1.781981270671213,1.5655125555514333,0.010711665566980553,0.061346641873204176,3.476024461657885,0.0005089058655823725,simple,20000,2.7343687865331767,False
spatial_quadratic,-20.599965571152364,-5.6644801881657525,5.097379347743412,3.1656236484078084,-2.4890937530242905,0.012806918873755764,simple,20000,2.7343687865331767,False
corr_y0_wyc,0.0010840340997835675,0.009279178000097473,0.004076124379484209,0.0069270717959293866,-1.0196316419453573,0.3079031924941039,simple,20000,2.7343687865331767,False
Eta_mean,0.004697525342602393,-0.012087328859618194,0.0035535343792004563,0.008824423372873187,1.7644036675213608,0.07766404114906773,simple,20000,2.7343687865331767,False
Gamma_mean,0.005793216928036208,0.00016226558793971648,0.0035353205305967937,0.00930237060497777,0.5658387757942133,0.571503384339145,simple,20000,2.7343687865331767,False
rho,-0.00016330227296592175,0.010619955560102562,0.0009623622181809737,0.016124047973302105,-0.6675806522770036,0.5044013112831738,simple,200000,2.7343687865331767,True
log_sigma2,0.5794140804476277,0.6135130804630453,0.0028805101996290773,0.01754827564752925,-1.9174926647850035,0.05517537197312742,simple,200000,2.7343687865331767,True
yc_mean,0.004399732886016217,-0.010002849714467455,0.003568788983391196,0.004525654946759335,2.498934613327902,0.012456729262811361,simple,200000,2.7343687865331767,True
log_yc_var,1.7717619370103939,1.8229201642283477,0.0033624920021745114,0.029926171197794397,-1.69879149303691,0.08935847705943162,simple,200000,2.7343687865331767,True
spatial_quadratic,-21.76549427668108,-24.61351871506219,2.397410117852423,9.891022490938523,0.27983753422768437,0.7796021535080342,simple,200000,2.7343687865331767,True
corr_y0_wyc,0.0009239036449909914,0.003507486565668398,0.0012903248634272956,0.0021646406078230534,-1.0252145914359785,0.3052619448162336,simple,200000,2.7343687865331767,True
Eta_mean,0.0006871211210837747,0.0010961744728816623,0.001117702792481588,0.0028291683281203234,-0.13447081740667033,0.8930302858153218,simple,200000,2.7343687865331767,True
Gamma_mean,0.0015913422657709987,0.0025131340995653757,0.0011165936723313103,0.0026634145493513927,-0.31917972058135435,0.7495902339808677,simple,200000,2.7343687865331767,True
