N,T0,T1,rho,method,bias_point,rmse_point,cover95_point
16,20,10,-0.6,SCM,-0.08480868165821602,0.4111256886640554,
16,20,10,-0.6,BSCM,-0.13564744343402285,0.18957183723950674,0.0016666666666666668
16,20,10,-0.6,SCSPILL,-0.0002564664396246995,0.004138071948097116,0.9833333333333333
16,20,10,-0.3,SCM,-0.08769459339055895,0.3689839850431925,
16,20,10,-0.3,BSCM,-0.07050379483651775,0.09947899626396332,0.0033333333333333335
16,20,10,-0.3,SCSPILL,-0.001158283284876962,0.006932084481251375,0.9833333333333333
16,20,10,-0.1,SCM,-0.007959432578937909,0.3353263898822583,
16,20,10,-0.1,BSCM,-0.025950174833586092,0.036291599864519165,0.005000000000000001
16,20,10,-0.1,SCSPILL,-0.0028741292749672295,0.009270098515941546,0.95
16,20,10,0.0,SCM,0.006947918128704687,0.32681355766848846,
16,20,10,0.0,BSCM,-3.5473568847360835e-07,6.189794522782604e-06,1.0
16,20,10,0.0,SCSPILL,0.0004765772708862097,0.008342621455935144,1.0
16,20,10,0.1,SCM,0.014675036596469562,0.30570300924045885,
16,20,10,0.1,BSCM,0.02846553637562126,0.04032047165686996,0.006666666666666667
16,20,10,0.1,SCSPILL,-1.2507821082223275e-05,0.01134898480629726,0.9516666666666667
16,20,10,0.3,SCM,0.07873211949279862,0.3120789083312513,
16,20,10,0.3,BSCM,0.09781775118069437,0.1443144971574344,0.0016666666666666668
16,20,10,0.3,SCSPILL,-0.0015434402586002357,0.017048739571232374,0.9033333333333334
16,20,10,0.6,SCM,0.23919603037959192,0.47088516523147805,
16,20,10,0.6,BSCM,0.28796548546385686,0.40412301380550464,0.0
16,20,10,0.6,SCSPILL,0.0032595625505566716,0.026317692303959705,0.9666666666666667
