grid_row,step_rho,rho_hi,rho_lo,b0,a0,parameter,mean,sd,q025,q975
0,0.05,0.99,-0.99,1.0,1.0,rho,0.852619982014925,0.007276062154280835,0.8387465571512314,0.8671966724510943
0,0.05,0.99,-0.99,1.0,1.0,sigma2,108.60713194494355,5.231654517104568,98.85949237817978,119.28961276915268
0,0.05,0.99,-0.99,1.0,1.0,beta[1],0.03435407013816411,0.004144909132868364,0.026290306392795018,0.042584533472158195
1,0.05,0.99,-0.99,1.0,3.0,rho,0.7824685017357238,0.010278383655301884,0.7620106467625193,0.802491611469199
1,0.05,0.99,-0.99,1.0,3.0,sigma2,1173.1926051416374,52.284720699359404,1072.370951955481,1277.7251754693034
1,0.05,0.99,-0.99,1.0,3.0,beta[1],0.13321763043807067,0.011435918612966445,0.11090350714184675,0.15571640540145124
2,0.05,0.99,-0.99,0.1,0.1,rho,0.7826840242686038,0.010700955447261094,0.7618720041270147,0.8039861337504135
2,0.05,0.99,-0.99,0.1,0.1,sigma2,1179.6280310702505,53.27058235525643,1077.8760928560077,1287.323183087732
2,0.05,0.99,-0.99,0.1,0.1,beta[1],0.13312254110670343,0.011672236873914072,0.11026371276530526,0.15559790814922211
3,0.05,0.5,-0.5,1.0,1.0,rho,0.4989912831536465,0.0009586022809331447,0.4964467807974163,0.4999626821938022
3,0.05,0.5,-0.5,1.0,1.0,sigma2,2113.272921226421,87.16784605478067,1948.4669245037783,2292.025140347138
3,0.05,0.5,-0.5,1.0,1.0,beta[1],0.35828145369035547,0.010679281729701133,0.3373420312105226,0.3791311493641701
4,0.01,0.99,-0.99,1.0,1.0,rho,0.8424829348084458,0.023245473522969226,0.7740468576152784,0.863835808503285
4,0.01,0.99,-0.99,1.0,1.0,sigma2,233.05954415979107,342.7027303881207,99.4037315666877,1218.675598128904
4,0.01,0.99,-0.99,1.0,1.0,beta[1],0.04659339910659311,0.031998656721039895,0.027492241342850353,0.1423395855747568
5,0.05,0.99,-0.99,2.0,5.0,rho,0.8440760812806238,0.023949966899790467,0.7749078625858465,0.8661969414566616
5,0.05,0.99,-0.99,2.0,5.0,sigma2,232.95068956468012,342.9330373394636,98.27712058487874,1210.7354822818543
5,0.05,0.99,-0.99,2.0,5.0,beta[1],0.0460991889708804,0.03251016757897915,0.026782229277096215,0.14229134047757125
