state,degree,w_california,neighbours
Alabama,3.0,0.0,"Georgia, Mississippi, Tennessee"
Arkansas,6.0,0.0,"Louisiana, Mississippi, Missouri, Oklahoma, Tennessee, Texas"
Colorado,6.0,0.0,"Kansas, Nebraska, New Mexico, Oklahoma, Utah, Wyoming"
Connecticut,1.0,0.0,Rhode Island
Delaware,1.0,0.0,Pennsylvania
Georgia,4.0,0.0,"Alabama, North Carolina, South Carolina, Tennessee"
Idaho,4.0,0.0,"Montana, Nevada, Utah, Wyoming"
Illinois,5.0,0.0,"Indiana, Iowa, Kentucky, Missouri, Wisconsin"
Indiana,3.0,0.0,"Illinois, Kentucky, Ohio"
Iowa,6.0,0.0,"Illinois, Minnesota, Missouri, Nebraska, South Dakota, Wisconsin"
Kansas,4.0,0.0,"Colorado, Missouri, Nebraska, Oklahoma"
Kentucky,7.0,0.0,"Illinois, Indiana, Missouri, Ohio, Tennessee, Virginia, West Virginia"
Louisiana,3.0,0.0,"Arkansas, Mississippi, Texas"
Maine,1.0,0.0,New Hampshire
Minnesota,4.0,0.0,"Iowa, North Dakota, South Dakota, Wisconsin"
Mississippi,4.0,0.0,"Alabama, Arkansas, Louisiana, Tennessee"
Missouri,8.0,0.0,"Arkansas, Illinois, Iowa, Kansas, Kentucky, Nebraska, Oklahoma, Tennessee"
Montana,4.0,0.0,"Idaho, North Dakota, South Dakota, Wyoming"
Nebraska,6.0,0.0,"Colorado, Iowa, Kansas, Missouri, South Dakota, Wyoming"
Nevada,2.0,1.0,"Idaho, Utah"
New Hampshire,2.0,0.0,"Maine, Vermont"
New Mexico,3.0,0.0,"Colorado, Oklahoma, Texas"
North Carolina,4.0,0.0,"Georgia, South Carolina, Tennessee, Virginia"
North Dakota,3.0,0.0,"Minnesota, Montana, South Dakota"
Ohio,4.0,0.0,"Indiana, Kentucky, Pennsylvania, West Virginia"
Oklahoma,6.0,0.0,"Arkansas, Colorado, Kansas, Missouri, New Mexico, Texas"
Pennsylvania,3.0,0.0,"Delaware, Ohio, West Virginia"
Rhode Island,1.0,0.0,Connecticut
South Carolina,2.0,0.0,"Georgia, North Carolina"
South Dakota,6.0,0.0,"Iowa, Minnesota, Montana, Nebraska, North Dakota, Wyoming"
Tennessee,8.0,0.0,"Alabama, Arkansas, Georgia, Kentucky, Mississippi, Missouri, North Carolina, Virginia"
Texas,4.0,0.0,"Arkansas, Louisiana, New Mexico, Oklahoma"
Utah,4.0,0.0,"Colorado, Idaho, Nevada, Wyoming"
Vermont,1.0,0.0,New Hampshire
Virginia,4.0,0.0,"Kentucky, North Carolina, Tennessee, West Virginia"
West Virginia,4.0,0.0,"Kentucky, Ohio, Pennsylvania, Virginia"
Wisconsin,3.0,0.0,"Illinois, Iowa, Minnesota"
Wyoming,6.0,0.0,"Colorado, Idaho, Montana, Nebraska, South Dakota, Utah"
