year,observed,synthetic,gap,period
1970,123.0,118.004958425561,4.995041574439,pre
1971,121.0,119.94909984774353,1.0509001522564745,pre
1972,123.5,124.09767442623058,-0.5976744262305829,pre
1973,124.400001525879,124.22907335518804,0.17092817069097066,pre
1974,126.699996948242,126.8276165481155,-0.1276195998734977,pre
1975,127.099998474121,127.14475915655012,-0.04476068242912845,pre
1976,128.0,128.0242414520468,-0.02424145204679462,pre
1977,126.400001525879,126.4240896500419,-0.02408812416290118,pre
1978,126.099998474121,125.99964212860516,0.10035634551583428,pre
1979,121.900001525879,122.94496082455012,-1.0449592986711167,pre
1980,120.199996948242,120.53490826818421,-0.3349113199422078,pre
1981,118.599998474121,119.59313883137492,-0.993140357253921,pre
1982,115.400001525879,116.57550593079088,-1.1755044049118766,pre
1983,110.800003051758,111.16691405319801,-0.3669110014400161,pre
1984,104.800003051758,103.35829766013008,1.44170539162792,pre
1985,102.800003051758,103.80010030287801,-1.0000972511200104,pre
1986,99.6999969482422,100.17091798050646,-0.47092103226425763,pre
1987,97.5,101.04788311033337,-3.5478831103333732,pre
1988,90.0999984741211,93.29121709927652,-3.191218625155429,post
1989,82.4000015258789,92.05884468131754,-9.658843155438632,post
1990,77.8000030517578,88.67530984837862,-10.87530679662082,post
1991,68.6999969482422,82.15971083791585,-13.459713889673651,post
1992,67.5,81.80083861376986,-14.300838613769855,post
1993,63.4000015258789,81.03303550106534,-17.633033975186443,post
1994,58.5999984741211,80.4591421733214,-21.859143699200295,post
1995,56.4000015258789,79.16001115788436,-22.760009632005456,post
1996,54.5,78.08321137556706,-23.58321137556706,post
1997,53.7999992370605,78.91722366428641,-25.117224427225914,post
1998,52.2999992370605,75.50622564932215,-23.20622641226165,post
1999,47.2000007629395,74.42818942810123,-27.22818866516173,post
2000,41.5999984741211,68.28776799049729,-26.687769516376186,post
