year,observed,cf_mean,cf_lower,cf_upper,cf_rho0,gap,period
1970,123.0,122.73641994318459,121.2322203548713,123.75707204522568,122.75992758612885,0.26358005681541385,pre
1971,121.0,121.24252120346608,120.31978359360625,122.43742147422581,121.22481126186761,-0.24252120346608308,pre
1972,123.5,123.6413553521216,122.64388439928325,124.95974231663041,123.62463595538719,-0.14135535212159311,pre
1973,124.400001525879,124.18767571689725,122.98767988402213,125.1189366433097,124.1945156290476,0.21232580898175968,pre
1974,126.699996948242,126.73435053661483,125.81101791243914,127.68200079254146,126.7263665764761,-0.03435358837282365,pre
1975,127.099998474121,127.0719045823619,126.12164175520579,128.0768916077142,127.06542703519798,0.02809389175909871,pre
1976,128.0,128.08428282156422,127.19179411588092,129.1346529432518,128.07803215687554,-0.08428282156421574,pre
1977,126.400001525879,126.6151994660903,125.59905089206651,127.68691110819033,126.59552917402311,-0.21519794021129712,pre
1978,126.099998474121,125.62765507408334,124.30351435591749,126.4459258783193,125.66202083475046,0.4723434000376585,pre
1979,121.900001525879,121.87220658298781,120.97699944073551,122.82719173421965,121.88181129412114,0.027794942891191,pre
1980,120.199996948242,120.26759689884172,119.38996462428082,121.10010466298837,120.26336516844823,-0.06759995059971402,pre
1981,118.599998474121,118.70242004931642,117.77867915946123,119.80659716854711,118.69696098199843,-0.10242157519542161,pre
1982,115.400001525879,115.43967041125293,114.45766954802907,116.56101080523389,115.44503254717097,-0.039668885373927765,pre
1983,110.800003051758,110.99868293450172,110.0591669663579,112.21188616557947,110.97792155102245,-0.1986798827437184,pre
1984,104.800003051758,104.52276778716039,103.13703177889832,105.50290661030142,104.55755812835378,0.27723526459760706,pre
1985,102.800003051758,102.8673846594756,102.04317626486811,103.83961351545531,102.8556694562044,-0.06738160771760704,pre
1986,99.6999969482422,99.69912538605516,98.54195321501338,100.78947392684026,99.7040274023757,0.0008715621870436507,pre
1987,97.5,97.6078859975233,96.50563203099601,98.96868684463139,97.57802742532847,-0.1078859975232973,pre
1988,90.0999984741211,95.56507057456399,91.37064348236257,99.20693268112497,95.15919856445738,-5.465072100442896,post
1989,82.4000015258789,91.2650388461717,87.15070036416216,95.16605923135266,90.61632922071038,-8.8650373202928,post
1990,77.8000030517578,87.56228803590905,82.23561863815242,92.65193651645329,86.83049145852632,-9.76228498415125,post
1991,68.6999969482422,81.58084027046357,75.29228661261928,87.68861936110133,80.65933572610892,-12.880843322221367,post
1992,67.5,79.48104381780966,72.34700748527361,86.22592385939384,78.61728578006442,-11.981043817809663,post
1993,63.4000015258789,79.06627991028205,70.98960609903834,86.32446922785596,77.97577121904183,-15.66627838440315,post
1994,58.5999984741211,76.2820928198201,68.89982154515553,83.09701739945781,75.03336807471008,-17.682094345698992,post
1995,56.4000015258789,76.04600394920712,67.68267071876912,84.67061734820213,74.67099471084673,-19.64600242332822,post
1996,54.5,74.89274273996895,66.0120056609117,83.86095974705478,73.47324423622547,-20.392742739968952,post
1997,53.7999992370605,74.89431392790718,66.73193529972777,82.90159403026418,73.43225446247698,-21.09431469084668,post
1998,52.2999992370605,74.92438829743591,65.84134766832612,83.57227530467024,73.35036290357286,-22.624389060375414,post
1999,47.2000007629395,72.97408776596765,63.40574103546471,82.45049483164888,71.18565700385267,-25.77408700302815,post
2000,41.5999984741211,69.04958121505304,59.659508955260485,78.25181835191458,67.15695386576503,-27.449582740931938,post
