state,avg_spillover,lo95,hi95,degree,w_california,abs_rank
Alabama,-8.177068075369658e-06,,,3.0,0.0,25.0
Arkansas,-0.00019753317792153602,,,6.0,0.0,18.0
Colorado,-0.03111393846257861,,,6.0,0.0,6.0
Connecticut,-8.017939133144234e-14,,,1.0,0.0,37.0
Delaware,-4.486495191945148e-07,,,1.0,0.0,33.0
Georgia,-4.426943304314189e-06,,,4.0,0.0,28.0
Idaho,-0.4929015689599692,,,4.0,0.0,2.0
Illinois,-0.00011546452006400199,,,5.0,0.0,19.0
Indiana,-1.8472086114854846e-05,,,3.0,0.0,24.0
Iowa,-0.0008243318219213958,,,6.0,0.0,14.0
Kansas,-0.003329896553341966,,,4.0,0.0,11.0
Kentucky,-3.586677055760062e-05,,,7.0,0.0,21.0
Louisiana,-8.874527685659556e-05,,,3.0,0.0,20.0
Maine,-1.422207035900031e-13,,,1.0,0.0,34.0
Minnesota,-0.0011852523034826476,,,4.0,0.0,13.0
Mississippi,-2.897103251338644e-05,,,4.0,0.0,23.0
Missouri,-0.0005324009949074521,,,8.0,0.0,16.0
Montana,-0.0465813731203045,,,4.0,0.0,5.0
Nebraska,-0.005684880610250958,,,6.0,0.0,9.0
Nevada,-5.499515586414859,,,2.0,1.0,1.0
New Hampshire,-1.1644024547981994e-13,,,2.0,0.0,35.0
New Mexico,-0.0037939142034661036,,,3.0,0.0,10.0
North Carolina,-4.339263647740338e-06,,,4.0,0.0,30.0
North Dakota,-0.0061053347538973825,,,3.0,0.0,8.0
Ohio,-5.33995870435761e-06,,,4.0,0.0,27.0
Oklahoma,-0.0022183974092494243,,,6.0,0.0,12.0
Pennsylvania,-1.227336504831118e-06,,,3.0,0.0,32.0
Rhode Island,-3.392131020518718e-14,,,1.0,0.0,38.0
South Carolina,-1.5788469112405979e-06,,,2.0,0.0,31.0
South Dakota,-0.006687739985300736,,,6.0,0.0,7.0
Tennessee,-3.570237385817559e-05,,,8.0,0.0,22.0
Texas,-0.0005385523858955286,,,4.0,0.0,15.0
Utah,-0.4917065586069845,,,4.0,0.0,3.0
Vermont,-9.131917102842215e-14,,,1.0,0.0,36.0
Virginia,-7.120277601741411e-06,,,4.0,0.0,26.0
West Virginia,-4.40864136833651e-06,,,4.0,0.0,29.0
Wisconsin,-0.0002461471052435633,,,3.0,0.0,17.0
Wyoming,-0.05903778575145372,,,6.0,0.0,4.0
