year,state,spillover
1970,Alabama,1.1980530403548073e-07
1971,Alabama,-1.107077109935517e-07
1972,Alabama,-6.470445293587091e-08
1973,Alabama,9.718510568461625e-08
1974,Alabama,-1.744122406535098e-08
1975,Alabama,1.444423121768068e-08
1976,Alabama,-3.158062395982597e-08
1977,Alabama,-1.0582989935130627e-07
1978,Alabama,2.3193816374202924e-07
1979,Alabama,1.2192554819989709e-08
1980,Alabama,-3.839245743506581e-08
1981,Alabama,-5.008649959847844e-08
1982,Alabama,-1.9762037396731102e-08
1983,Alabama,-9.214323708306437e-08
1984,Alabama,1.3169735250357916e-07
1985,Alabama,-3.0621803168173754e-08
1986,Alabama,5.499071198755701e-09
1987,Alabama,-5.532192155612847e-08
1988,Alabama,-2.6768668067916224e-06
1989,Alabama,-4.3079013122763856e-06
1990,Alabama,-4.746659923551988e-06
1991,Alabama,-6.232145370032072e-06
1992,Alabama,-5.799022668827547e-06
1993,Alabama,-7.562434931941198e-06
1994,Alabama,-8.564431850678034e-06
1995,Alabama,-9.51719253697263e-06
1996,Alabama,-9.880877316868464e-06
1997,Alabama,-1.0228634983212715e-05
1998,Alabama,-1.0981923097122604e-05
1999,Alabama,-1.2492628465454914e-05
2000,Alabama,-1.3311165716075379e-05
1970,Arkansas,2.94146326181135e-06
1971,Arkansas,-2.715337100812576e-06
1972,Arkansas,-1.6033411743364923e-06
1973,Arkansas,2.393218126124452e-06
1974,Arkansas,-4.104468585012455e-07
1975,Arkansas,3.366166501479029e-07
1976,Arkansas,-8.453452557517948e-07
1977,Arkansas,-2.557895026737356e-06
1978,Arkansas,5.583568547049822e-06
1979,Arkansas,3.0375451252950826e-07
1980,Arkansas,-8.925170193720078e-07
1981,Arkansas,-1.2139151449446218e-06
1982,Arkansas,-4.588413024151805e-07
1983,Arkansas,-2.2565054131632677e-06
1984,Arkansas,3.1968752820944244e-06
1985,Arkansas,-7.452458760496938e-07
1986,Arkansas,7.898777712114225e-08
1987,Arkansas,-1.3143029927420003e-06
1988,Arkansas,-6.446852939892552e-05
1989,Arkansas,-0.00010399711651213863
1990,Arkansas,-0.00011457354727644713
1991,Arkansas,-0.00015069399975839134
1992,Arkansas,-0.00014023766743900693
1993,Arkansas,-0.00018298545082993202
1994,Arkansas,-0.0002069444054066764
1995,Arkansas,-0.0002299217905377816
1996,Arkansas,-0.00023871681299731051
1997,Arkansas,-0.00024703450396633853
1998,Arkansas,-0.0002651138905232557
1999,Arkansas,-0.00030175088483175896
2000,Arkansas,-0.0003214927135020048
1970,Colorado,0.000473207314865985
1971,Colorado,-0.000435789585785119
1972,Colorado,-0.0002580178697051849
1973,Colorado,0.00038448818050190427
1974,Colorado,-6.379245620268534e-05
1975,Colorado,5.140594898766153e-05
1976,Colorado,-0.00014599509658414148
1977,Colorado,-0.00040151705588500024
1978,Colorado,0.0008763481446434014
1979,Colorado,4.9298717096297654e-05
1980,Colorado,-0.00013364329797263395
1981,Colorado,-0.0001905516422103858
1982,Colorado,-7.092310495613105e-05
1983,Colorado,-0.0003611657582423362
1984,Colorado,0.0005066867152089572
1985,Colorado,-0.00012011351312497425
1986,Colorado,5.259655212844905e-06
1987,Colorado,-0.00020326440692358574
1988,Colorado,-0.01012072391006877
1989,Colorado,-0.01636897431908316
1990,Colorado,-0.0180297098790539
1991,Colorado,-0.023753989568145634
1992,Colorado,-0.022103791372584183
1993,Colorado,-0.02886563091748427
1994,Colorado,-0.032606000889611235
1995,Colorado,-0.036222434360409894
1996,Colorado,-0.037606151983455405
1997,Colorado,-0.03890518839851676
1998,Colorado,-0.0417366406215381
1999,Colorado,-0.04752956099453602
2000,Colorado,-0.0506324027990346
1970,Connecticut,-1.0761596058728173e-13
1971,Connecticut,-1.3073986337985842e-13
1972,Connecticut,-1.1822578471765155e-13
1973,Connecticut,-1.2908856206195196e-13
1974,Connecticut,-1.472130861657206e-13
1975,Connecticut,-1.0544738415774191e-13
1976,Connecticut,-7.987353001226438e-14
1977,Connecticut,-1.998898824240314e-14
1978,Connecticut,-1.2037446595059008e-13
1979,Connecticut,-9.625296115700621e-14
1980,Connecticut,-1.0633129932102747e-13
1981,Connecticut,-4.772005013364833e-14
1982,Connecticut,-1.408608341080253e-13
1983,Connecticut,-1.0011262929765508e-13
1984,Connecticut,-7.648282007721718e-14
1985,Connecticut,-1.3358487649384187e-13
1986,Connecticut,-4.767741756950272e-14
1987,Connecticut,-8.959943897934863e-14
1988,Connecticut,-1.1157226253999398e-13
1989,Connecticut,-1.3760654837824403e-13
1990,Connecticut,-1.130871396526345e-13
1991,Connecticut,-8.733422873774543e-14
1992,Connecticut,-7.859171091695316e-14
1993,Connecticut,-6.675122676824685e-14
1994,Connecticut,-5.617550868919352e-14
1995,Connecticut,-5.364029220800148e-14
1996,Connecticut,-9.472671536059352e-14
1997,Connecticut,-8.407710083702114e-14
1998,Connecticut,-4.94907226311625e-14
1999,Connecticut,-5.902052180317696e-14
2000,Connecticut,-5.0258108785783406e-14
1970,Delaware,6.467050769742855e-09
1971,Delaware,-5.9680773006220984e-09
1972,Delaware,-3.4247177097768143e-09
1973,Delaware,5.2037484579159355e-09
1974,Delaware,-1.006332138331345e-09
1975,Delaware,8.288141884804645e-10
1976,Delaware,-1.5046259704831755e-09
1977,Delaware,-5.7894987094186944e-09
1978,Delaware,1.2785951730620582e-08
1979,Delaware,6.354435754474252e-10
1980,Delaware,-2.19481389081011e-09
1981,Delaware,-2.713325181957771e-09
1982,Delaware,-1.1474720054138743e-09
1983,Delaware,-4.9845107355395156e-09
1984,Delaware,7.182690416129844e-09
1985,Delaware,-1.690948221266808e-09
1986,Delaware,4.698818031556585e-10
1987,Delaware,-3.092461014375658e-09
1988,Delaware,-1.4741157474986722e-07
1989,Delaware,-2.3655206627495318e-07
1990,Delaware,-2.6068258156328736e-07
1991,Delaware,-3.4148836524252604e-07
1992,Delaware,-3.176572127927102e-07
1993,Delaware,-4.140351609464687e-07
1994,Delaware,-4.697816330832438e-07
1995,Delaware,-5.221701680056867e-07
1996,Delaware,-5.42067968927995e-07
1997,Delaware,-5.614012049647954e-07
1998,Delaware,-6.030887978397459e-07
1999,Delaware,-6.85564009228301e-07
2000,Delaware,-7.305430059091123e-07
