year,CO2_reductions_simulation,CO2_reductions_synth,CarbonTaxandVAT,NoCarbonTaxWithVAT,NoCarbonTaxNoVAT
1970,4.534933690791831e-06,0.05756197499664606,1.811369283918693,1.8113647489850022,1.8113647489850022
1971,-1.943711126717318e-06,-0.010475698722230975,1.7671331419153098,1.7671350856264365,1.7671350856264365
1972,-1.0082438612890599e-06,-0.07189579781588917,1.8051011604282767,1.805102168672138,1.805102168672138
1973,-1.0399505705471768e-06,-0.01876676476319994,1.8614558438741167,1.8614568838246872,1.8614568838246872
1974,1.5750642148315563e-06,-0.0071205502254607644,1.9237107854561368,1.923709210391922,1.923709210391922
1975,1.629511269030104e-06,-0.03596382597498171,1.8755888257720728,1.8755871962608037,1.8755871962608037
1976,5.714929130595792e-06,0.02046398417106854,1.9461870960235428,1.9461813810944122,1.9461813810944122
1977,-3.0752409361234356e-06,0.04239712082108271,2.07985932914563,2.0798624043865663,2.0798624043865663
1978,-3.350533990698068e-06,0.049497270232281565,2.098613156682783,2.0986165072167737,2.0986165072167737
1979,6.743782534623932e-06,0.00748190938929616,2.029504939967683,2.0294981961851484,2.0294981961851484
1980,3.860492102214508e-06,-0.028049619487009902,1.950037730455145,1.9500338699630428,1.9500338699630428
1981,-2.8103141058721803e-07,-0.03442356824425152,1.934689314634794,1.9346895956662047,1.9346895956662047
1982,-6.32154499125015e-06,-0.029656446278033544,1.932349533614453,1.9323558551594442,1.9323558551594442
1983,-7.212052442362449e-06,-0.006364984930664175,1.9624749631065217,1.962482175158964,1.962482175158964
1984,-5.2973332085315405e-06,0.01586215420485937,2.0714835094757187,2.071488806808927,2.071488806808927
1985,4.330278888353689e-06,-0.04552778337193075,2.1528021948495732,2.152797864570685,2.152797864570685
1986,-1.2888421632162306e-06,0.002282653769031917,2.348003076503029,2.3480043653451923,2.3480043653451923
1987,-6.349022710239183e-06,0.011776430328214182,2.3765937757409046,2.376600124763615,2.376600124763615
1988,-6.961682560202576e-06,0.04085131405398634,2.469015990865769,2.4690229525483294,2.4690229525483294
1989,-1.7439504440552867e-06,0.02793746187738444,2.484614563096881,2.484616307047325,2.484616307047325
1990,-0.1757505909102295,-0.07724918851747953,2.2922687023356216,2.2922688253423,2.468019293245851
1991,-0.276792755697608,-0.14937115741452578,2.2883886431332963,2.404483472735516,2.5651813988309042
1992,-0.2668079244617765,-0.11741264716262556,2.377733807741383,2.4898336984594875,2.6445417322031597
1993,-0.31845177555601945,-0.26278400689895953,2.1747930844023586,2.3306705225402826,2.493244859958378
1994,-0.3289582889971876,-0.268417095936051,2.264771916537931,2.436349946538403,2.5937302055351186
1995,-0.3262274939390868,-0.2900152824616775,2.2851742585786115,2.453025585832305,2.6114017525176982
1996,-0.3527162799876664,-0.34666267083331537,2.2389853678358587,2.4306473494683094,2.591701647823525
1997,-0.35182606641381,-0.3342746721879184,2.25565319919063,2.441288914323017,2.60747926560444
1998,-0.362761539982587,-0.3318248943775002,2.3904410828135885,2.5841810608745117,2.7532026227961754
1999,-0.3704223858608793,-0.2986266926808847,2.446756066391481,2.6402657909264597,2.81717845225236
2000,-0.3653463911968653,-0.3101433368656763,2.3986470297374214,2.57471670917788,2.7639934209342867
2001,-0.5108385317241373,-0.33203654787566483,2.403940446588835,2.7258816060954048,2.9147789783129725
2002,-0.5967116349402697,-0.3320023454732226,2.404303952079377,2.8174713710117643,3.001015587019647
2003,-0.6963882720884365,-0.38156120663302984,2.3893028690065226,2.9077641326580626,3.085691141094959
2004,-0.7851824731707024,-0.3829397141593218,2.312863531598625,2.9219499334861996,3.0980460047693272
2005,-0.7571364647850882,-0.3546280142044389,2.2923348735271953,2.8601144677276182,3.0494713383122836
