"country","year","quarter","quarter_label","date_dec","t","unit_id","log_rgdp","cons_share","inv_share","exp_share","imp_share","labprod_growth","emp_pop","is_treated_unit","treated"
"Australia",1995,1,"1995Q1",1995,1,1,-0.01485944535,0.5486163539,0.198126727,0.1467348539,0.115126985,-0.78972729,0.6145277486,0,0
"Australia",1995,2,"1995Q2",1995.25,2,1,-0.01058485028,0.5531919694,0.1964974576,0.1449857234,0.1135106058,-0.9360185675,0.6212004251,0,0
"Australia",1995,3,"1995Q3",1995.5,3,1,0.01203703345,0.5422988635,0.1911055558,0.1489345,0.11130507,1.844881792,0.6220371184,0,0
"Australia",1995,4,"1995Q4",1995.75,4,1,0.01308289095,0.5477636652,0.1936801186,0.1489964591,0.1131953461,-0.4362896279,0.6236500639,0,0
"Australia",1996,1,"1996Q1",1996,5,1,0.02923604812,0.5437223646,0.1947094292,0.1546877304,0.1148134462,1.448343204,0.62287122,0,0
"Australia",1996,2,"1996Q2",1996.25,6,1,0.03562452515,0.5437419961,0.197802547,0.1573319488,0.1175587028,0.5074493758,0.621877368,0,0
"Australia",1996,3,"1996Q3",1996.5,7,1,0.04304285068,0.5410265142,0.2004112263,0.1544638887,0.117030129,0.452182774,0.6218736933,0,0
"Australia",1996,4,"1996Q4",1996.75,8,1,0.05043537565,0.541260072,0.2049323784,0.1586054984,0.1212605173,0.8459761884,0.6194151724,0,0
"Australia",1997,1,"1997Q1",1997,9,1,0.05472830643,0.5442210534,0.211311029,0.1634461329,0.1223151525,-0.06733628124,0.6208127623,0,0
"Australia",1997,2,"1997Q2",1997.25,10,1,0.08289082045,0.5375408807,0.2125782783,0.1773580757,0.1250154572,2.880492907,0.6187379999,0,0
"Australia",1997,3,"1997Q3",1997.5,11,1,0.0842196667,0.5444207601,0.2175454083,0.1691647828,0.12709605,-0.003482850104,0.6179130186,0,0
"Australia",1997,4,"1997Q4",1997.75,12,1,0.09887324335,0.5438036166,0.2178670207,0.1634799949,0.1250169793,0.671648731,0.6211633904,0,0
"Australia",1998,1,"1998Q1",1998,13,1,0.1083498363,0.540392819,0.2151480055,0.1595316915,0.1296315461,0.4911896351,0.6224015105,0,0
"Australia",1998,2,"1998Q2",1998.25,14,1,0.1185942498,0.5436046329,0.2155380657,0.1629978065,0.12877395,0.5193651427,0.6239494246,0,0
"Australia",1998,3,"1998Q3",1998.5,15,1,0.1373630554,0.5444181663,0.2152278527,0.1594081815,0.1265505215,1.463262616,0.6249334844,0,0
"Australia",1998,4,"1998Q4",1998.75,16,1,0.1514047176,0.5422704886,0.2135558161,0.1603153279,0.1252160025,1.020185487,0.6257377098,0,0
"Australia",1999,1,"1999Q1",1999,17,1,0.1570236667,0.5492443923,0.2158394907,0.1568636319,0.1287445215,0.1322046609,0.6266699614,0,0
"Australia",1999,2,"1999Q2",1999.25,18,1,0.1599187648,0.5513641096,0.2163392104,0.1581589491,0.1309487483,-0.07257217038,0.6271843654,0,0
"Australia",1999,3,"1999Q3",1999.5,19,1,0.1712048186,0.5513938816,0.2166432515,0.1626549841,0.1359470685,0.6352100979,0.6285289005,0,0
"Australia",1999,4,"1999Q4",1999.75,20,1,0.1888374927,0.5491232959,0.2165908622,0.1676115988,0.135356365,0.8212086961,0.632713612,0,0
"Australia",2000,1,"2000Q1",2000,21,1,0.1945991781,0.5474017992,0.2168917281,0.1694148997,0.139652439,0.2526599732,0.6329209204,0,0
"Australia",2000,2,"2000Q2",2000.25,22,1,0.205226464,0.5459667744,0.215362331,0.171277913,0.1391727889,-0.02579794246,0.637995794,0,0
"Australia",2000,3,"2000Q3",2000.5,23,1,0.207608127,0.549965774,0.2139341387,0.1802725322,0.1388789796,-0.8531986826,0.6431350031,0,0
"Australia",2000,4,"2000Q4",2000.75,24,1,0.2039793321,0.5554163898,0.2108881376,0.1757651016,0.1352081054,0.1283622508,0.6381414035,0,0
"Australia",2001,1,"2001Q1",2001,25,1,0.2138112065,0.5549504439,0.2037427088,0.1780542445,0.1309607516,0.8004013905,0.637111326,0,0
"Australia",2001,2,"2001Q2",2001.25,26,1,0.2218864578,0.5542402159,0.2003949071,0.178914341,0.1283281155,0.1665303578,0.6390117368,0,0
"Australia",2001,3,"2001Q3",2001.5,27,1,0.2334972981,0.5497693509,0.1993381875,0.1745434933,0.1271356965,0.9933421843,0.6378993056,0,0
"Australia",2001,4,"2001Q4",2001.75,28,1,0.245157411,0.5478070673,0.2030578207,0.1677835168,0.1275092797,0.8849192592,0.6375184519,0,0
"Australia",2002,1,"2002Q1",2002,29,1,0.2521846539,0.5507541557,0.212597384,0.1711290328,0.1326652539,-0.05156690396,0.6403502259,0,0
"Australia",2002,2,"2002Q2",2002.25,30,1,0.2694396242,0.5497665476,0.2195448422,0.169711645,0.1348091994,1.517483732,0.6396966995,0,0
"Australia",2002,3,"2002Q3",2002.5,31,1,0.2732902004,0.5548469249,0.2273598309,0.1682950238,0.1361395141,-0.3061317209,0.6421451752,0,0
"Australia",2002,4,"2002Q4",2002.75,32,1,0.2804659987,0.5529089054,0.230353859,0.1683720214,0.1447907469,-0.1342634744,0.6456455873,0,0
"Australia",2003,1,"2003Q1",2003,33,1,0.2813179545,0.5551954322,0.2335435502,0.1682118874,0.1453162374,-0.9788310432,0.6504757138,0,0
