country,rmspe_pre,rmspe_post,ratio,rank
United Kingdom,0.005589460308415354,0.03269157113531265,5.848788493245587,1
Belgium,0.004281421860627303,0.015083743662056,3.523068773196288,2
Finland,0.020246259426041725,0.06661944316170343,3.2904568572313293,3
New Zealand,0.013356228139833344,0.03965814115159387,2.9692620353884367,4
Hungary,0.021048785240151857,0.05934206844529279,2.8192633336433177,5
Austria,0.0042272136303209955,0.011127628986308643,2.6323791413077133,6
Italy,0.0360142418471303,0.0881553687256924,2.447791879109537,7
France,0.0036010804101736537,0.008424230467689673,2.3393619436794064,8
Ireland,0.15119588716359206,0.32676442288889335,2.161199150446059,9
Luxembourg,0.01766277907592731,0.0345233589738194,1.9545825051320185,10
Germany,0.013402764495677294,0.022905322524220582,1.7089998508597302,11
Norway,0.011718894233541293,0.01997047348623908,1.704126096562975,12
Sweden,0.008210642315030756,0.013116743744596903,1.5975295526617725,13
Korea,0.041670345618586443,0.058843359143132865,1.4121159368759026,14
Iceland,0.024814650107643842,0.02787077379892739,1.1231580408358104,15
Spain,0.018358818892137578,0.018276605061543584,0.9955218344340657,16
United States,0.00663087435222147,0.006558330362621294,0.9890596645711026,17
Switzerland,0.012407140178591191,0.01202005551651628,0.968801459764045,18
Australia,0.015269626386717918,0.012280396453896517,0.8042368649293513,19
Slovak Republic,0.04685284013449733,0.034457813607143055,0.7354477019584577,20
Canada,0.008117086833146629,0.004259861574416632,0.5248017745752358,21
Netherlands,0.007422016180864617,0.003871505052464948,0.5216244424859153,22
Portugal,0.024482231478435784,0.007819726004719006,0.3194041364900379,23
Japan,0.033358186920138345,0.007506531657561382,0.22502816701436754,24
