k,last_pre,horizon,SC,DSC,SDID (i),SDID (ii),SDID (iii),MASC,ASCM
61,2010Q1,1,-0.0032324325706818424,-0.0029886172413126078,0.0013217293266820133,0.0014510670253449222,0.0014448390875147158,-0.0032324319631519827,-0.003209485634556253
62,2010Q2,1,0.0010903166391864616,0.0013200532196791515,0.0034897660387857273,0.003528407066863576,0.0035120867145930768,0.0010903161472364253,0.0011136694683992476
63,2010Q3,1,0.0012975203842087168,0.0012832642345814715,0.0019917223790874997,0.0016802519301958017,0.001978975588930035,0.0012975204550935149,0.001320315381599435
64,2010Q4,1,0.005961834701107727,0.005857788212642878,0.005520348576603877,0.005419600617101175,0.005531605886993837,0.005961837290063776,0.005984437052816205
65,2011Q1,1,0.005603792880548353,0.0053385523004320645,0.000881018075864437,0.0017013765304667878,0.00241756917872632,0.005603792887054038,0.005626933438453774
66,2011Q2,1,0.001468369969892469,0.001660956829144411,-0.001147013894523815,-0.0020903313067523466,-0.0020903313067523466,0.0014683699748963552,0.0014917758009965199
67,2011Q3,1,0.0015042855128200028,0.0015630226142508419,0.0002724955568790266,0.0002724955568790266,0.0002724955568790266,0.0013730076063989127,0.001528226889796147
68,2011Q4,1,0.010025494567776572,0.01060471907486854,0.009430614895352667,0.0094015212671138,0.0094015212671138,0.009748029913992484,0.010049344412193073
69,2012Q1,1,0.008872431558720806,0.009132147970692395,0.001709445759716155,0.001709445759716155,0.001709445759716155,0.007684051254496449,0.008904178960868925
70,2012Q2,1,0.019849287276698713,0.019785393270318863,0.014288850120143248,0.013743339487738926,0.013743339487738926,0.019433570917807397,0.019886235984839462
71,2012Q3,1,0.01120923843407634,0.011233598068124795,-0.003132577491768429,-0.003132577491768429,-0.003132577491768429,0.009264163417036397,0.011254327921023322
72,2012Q4,1,0.012271849388636291,0.012286281679072919,0.0036136905733404334,0.0036136905733404334,0.0036136905733404334,0.011124849379570256,0.012322209033413023
73,2013Q1,1,0.00761238833245359,0.007617406914966984,-0.0003137398411763269,-0.0010782896219044356,-0.0005934253515343605,0.006461204237214857,0.007667492827636402
74,2013Q2,1,0.004740529059551468,0.004813060918765988,-0.00038241022130119847,-0.0003847100571242601,-0.0003847100571242601,0.003827805173983956,0.004795784604051834
75,2013Q3,1,0.0048013907784595355,0.00474902093405305,-0.00012659070473109747,0.0011281686020954695,0.0011281686020954695,0.003779231100108138,0.0048573959865132466
76,2013Q4,1,0.0034085228527813705,0.003474368652901627,0.0007686504585687204,0.0007686504585687204,0.0007686504585687204,0.0028581907710054644,0.003464080496277
77,2014Q1,1,0.004942969395162478,0.00501383646771747,0.0022441149531308158,0.0022441149531308158,0.002263640531252925,0.004309366089030653,0.004995595537491737
78,2014Q2,1,0.005207081491579835,0.005251642313515381,0.0015759299092123864,0.0011149738516849084,0.0011149738516849084,0.004725622576761179,0.005261593612138404
79,2014Q3,1,0.004343015425760988,0.004415114097107931,0.00017489360122239107,1.1889116846935943e-05,8.70009651166015e-06,0.003820793098762043,0.0043994727959552615
80,2014Q4,1,-0.018896106182364814,-0.018504000148871436,-0.022314303520883604,-0.022359988174375563,-0.02235497565575384,-0.01749913614451115,-0.018850702036442346
61,2010Q1,4,0.005760655698671846,0.005754905570721336,0.010064934944074901,0.010194272642737806,0.010188044704907601,0.005760657463095176,0.005787064747293347
62,2010Q2,4,0.008267482625875067,0.008047966901258197,0.010216515088836833,0.010255156116914682,0.010238835764644183,0.008267481854418224,0.008293579902872217
63,2010Q3,4,0.005029885602249318,0.004988519549422088,0.0056977303914847325,0.005386259942593033,0.005684983601327268,0.005029885840129145,0.005053999809786325
64,2010Q4,4,0.005216432887510614,0.005205561891663102,0.004868047457037665,0.004767299497534963,0.004879304767427624,0.00521643753770118,0.005239591384786191
65,2011Q1,4,0.012566108737769976,0.0130899361375445,0.008631994039222213,0.009452352493824564,0.010168545142084096,0.012566108759817507,0.012589575892842875
66,2011Q2,4,0.013202731852685612,0.013929699081395686,0.011121333977789699,0.010178016565561165,0.010178016565561165,0.013202731863286299,0.013226870537104696
67,2011Q3,4,0.026732504170122517,0.02712340355730547,0.02583288424792812,0.02583288424792812,0.02583288424792812,0.026559922612565845,0.026758300484588493
68,2011Q4,4,0.024599814055388636,0.02508988971907239,0.023915840649651892,0.023886747021413024,0.023886747021413024,0.02429702405193962,0.024626570223565347
69,2012Q1,4,0.02463450293569386,0.0248637760202991,0.01744124773424588,0.01744124773424588,0.01744124773424588,0.023399700274254476,0.024670195785062188
70,2012Q2,4,0.02034036213375262,0.02034056580932503,0.014843962741455663,0.01429845210905134,0.01429845210905134,0.020169412625753447,0.020379189100657502
71,2012Q3,4,0.013420830084923452,0.013567794537445443,-0.0007984390834669952,-0.0007984390834669952,-0.0007984390834669952,0.011593251976414143,0.01346718982025491
72,2012Q4,4,0.011990907051821043,0.0119598899630034,0.003287343882479088,0.003287343882479088,0.003287343882479088,0.010999024394280354,0.012041298504146813
73,2013Q1,4,0.008558612949372213,0.008590693578835129,0.0006595684574358697,-0.00010498132329223898,0.0003798829470778361,0.007682784337858628,0.008613525473859074
74,2013Q2,4,0.007855496973591558,0.007924565746098566,0.0027290683655207273,0.002726768529697665,0.002726768529697665,0.0070322659009509625,0.007909536408031603
75,2013Q3,4,0.0076757354800493505,0.007722883633731803,0.002847099116416887,0.004101858423243454,0.004101858423243454,0.007024276788608341,0.0077299795654321435
76,2013Q4,4,0.007055112328924473,0.007195611281828607,0.004489620077777978,0.004489620077777978,0.004489620077777978,0.006336392738023888,0.0071096762215384635
77,2014Q1,4,-0.01677020767948334,-0.01625192529825087,-0.019021548267410482,-0.019021548267410482,-0.019002022689288373,-0.01559112807004881,-0.016726637962334756
78,2014Q2,4,-0.013500564692847161,-0.013039699077487532,-0.016712975598384822,-0.0171739316559123,-0.0171739316559123,-0.012444537686210622,-0.013454481443454569
79,2014Q3,4,-0.01600390550285219,-0.015577170273612495,-0.019817382201648217,-0.01998038668602367,-0.019983575706358947,-0.015055155821399158,-0.015955721441545556
80,2014Q4,4,-0.010816510839133264,-0.01047227988744398,-0.014282457679686954,-0.014328142333178912,-0.01432312981455719,-0.00991827508807358,-0.010766814417176862
