quarter,t,lambda_i,lambda_ii,lambda_iii
1995Q1,1,0.0,0.0,0.0
1995Q2,2,0.0,0.0,0.0
1995Q3,3,0.0,0.0,0.0
1995Q4,4,0.0,0.0,0.0
1996Q1,5,0.0,0.0,0.0
1996Q2,6,0.0,0.0,0.0
1996Q3,7,0.0,0.0,0.0
1996Q4,8,0.0,0.0,0.0
1997Q1,9,0.0,0.0,0.0
1997Q2,10,0.0,0.0,0.0
1997Q3,11,0.0,0.0,0.0
1997Q4,12,0.0,0.0,0.0
1998Q1,13,0.0,0.0,0.0
1998Q2,14,0.0,0.0,0.0
1998Q3,15,0.0,0.0,0.0
1998Q4,16,0.0,0.0,0.0
1999Q1,17,0.0,0.0,0.0
1999Q2,18,0.0,0.0,0.0
1999Q3,19,0.0,0.0,0.0
1999Q4,20,0.0,0.0,0.0
2000Q1,21,0.0,0.0,0.0
2000Q2,22,0.0,0.0,0.0
2000Q3,23,0.0,0.0,0.0
2000Q4,24,0.0,0.0,0.0
2001Q1,25,0.0,0.0,0.0
2001Q2,26,0.0,0.0,0.0
2001Q3,27,0.0,0.0,0.0
2001Q4,28,0.0,0.0,0.0
2002Q1,29,0.0,0.0,0.0
2002Q2,30,0.0,0.0,0.0
2002Q3,31,0.0,0.0,0.0
2002Q4,32,0.0,0.0,0.0
2003Q1,33,0.0,0.0,0.0
2003Q2,34,0.0,0.0,0.0
2003Q3,35,0.0,0.0,0.0
2003Q4,36,0.0,0.0,0.0
2004Q1,37,0.0,0.0,0.0
2004Q2,38,0.0,0.0,0.0
2004Q3,39,0.0,0.0,0.0
2004Q4,40,0.0,0.0,0.0
2005Q1,41,0.0,0.0,0.0
2005Q2,42,0.0,0.0,0.0
2005Q3,43,0.0,0.0,0.0
2005Q4,44,0.0,0.0,0.0
2006Q1,45,0.0,0.0,0.0
2006Q2,46,0.0,0.0,0.0
2006Q3,47,0.0,0.0,0.0
2006Q4,48,0.0,0.0,0.0
2007Q1,49,0.0,0.0,0.0
2007Q2,50,0.0,0.0,0.0
2007Q3,51,0.0,0.0,0.0
2007Q4,52,0.0,0.0,0.0
2008Q1,53,0.0,0.0,0.0
2008Q2,54,0.0,0.0,0.0
2008Q3,55,0.0,0.0,0.0
2008Q4,56,0.038634,0.0,0.0
2009Q1,57,0.0,0.0,0.0
2009Q2,58,0.0,0.0,0.0
2009Q3,59,0.0,0.0,0.0
2009Q4,60,0.0,0.0,0.0
2010Q1,61,0.0,0.0,0.0
2010Q2,62,0.0,0.0,0.0
2010Q3,63,0.0,0.0,0.0
2010Q4,64,0.0,0.0,0.0
2011Q1,65,0.0,0.0,0.0
2011Q2,66,0.0,0.0,0.0
2011Q3,67,0.0,0.0,0.0
2011Q4,68,0.0,0.0,0.0
2012Q1,69,0.0,0.0,0.0
2012Q2,70,0.0,0.0,0.0
2012Q3,71,0.0,0.0,0.0
2012Q4,72,0.0,0.0,0.0
2013Q1,73,0.0,0.0,0.0
2013Q2,74,0.0,0.0,0.0
2013Q3,75,0.0,0.0,0.0
2013Q4,76,0.0,0.0,0.0
2014Q1,77,0.0,0.0,0.0
2014Q2,78,0.0,0.0,0.0
2014Q3,79,0.002892,0.0,0.0
2014Q4,80,0.0,0.0,0.0
2015Q1,81,0.0,0.0,0.0
2015Q2,82,0.0,0.0,0.0
2015Q3,83,0.0,0.0,0.0
2015Q4,84,0.0,0.0,0.0
2016Q1,85,0.0,0.0,0.0
2016Q2,86,0.958474,1.0,1.0
