year,actual_gdp,synthetic_gdp,gap
1955,3.853184630005267,3.7029656732000964,0.1502189568051704
1956,3.9456582961508766,3.853994460358325,0.09166383579255166
1957,4.033561734872626,3.996414123332529,0.03714761154009638
1958,4.023421896896646,4.029425475085462,-0.006003578188816583
1959,4.013781968405232,4.059694469434831,-0.04591250102959865
1960,4.285918396222732,4.378946660907668,-0.09302826468493652
1961,4.574336095797406,4.733077363640922,-0.1587412678435154
1962,4.898957353563045,4.987659155223403,-0.08870180166035802
1963,5.197014981629133,5.222050590680592,-0.025035609051458962
1964,5.3389029787527225,5.298526763201749,0.040376215550973704
1965,5.465153005251848,5.362161706623281,0.1029912986285666
1966,5.545915627064143,5.448550212828074,0.09736541423606848
1967,5.614895726639487,5.523127763811333,0.09176796282815403
1968,5.8521849330715785,5.760727638132201,0.09145729493937793
1969,6.0814054173695915,5.993115079377392,0.08829033799219932
1970,6.17009424134957,6.137930080400623,0.03216416094894736
1971,6.283633404546246,6.294351888731416,-0.010718484185169963
1972,6.5555553986528405,6.620795683813648,-0.06524028516080715
1973,6.810768561103078,6.93301747814291,-0.12224891703983154
1974,7.105184302810804,7.087069640977266,0.018114661833537937
1975,7.377891682175629,7.228053733947185,0.14983794822844398
1976,7.232933621922754,7.220683872090797,0.012249749831957146
1977,7.089831372119127,7.211142797201587,-0.12131142508246029
1978,6.786703607144611,7.074654679654915,-0.28795107251030405
1979,6.6398173868571035,7.0573186726293455,-0.417501285772242
1980,6.562839171369564,7.129311336612547,-0.5664721652429829
1981,6.50078545499277,7.234436219415511,-0.733650764422741
1982,6.545058606999563,7.325342833447712,-0.7802842264481491
1983,6.595329801139407,7.421855441404838,-0.8265256402654311
1984,6.761496750091492,7.5163562737388485,-0.7548595236473563
1985,6.937160671727721,7.6101433475172735,-0.6729826757895525
1986,7.332191151300521,8.117961486700091,-0.7857703353995698
1987,7.742788123594152,8.623606092112645,-0.8808179685184934
1988,8.12053664075889,9.086814371582925,-0.966277730824034
1989,8.509711162324157,9.54555639869412,-1.0358452363699637
1990,8.776777889074104,9.788254428005498,-1.0114765389313938
1991,9.02527866619582,10.03769816685848,-1.0124195006626593
1992,8.873892824706335,9.83821919601953,-0.9643263713131951
1993,8.718223539089278,9.6390606427456,-0.9208371036563214
1994,9.018137849286365,9.98788520251033,-0.9697473532239655
1995,9.440873861653367,10.303888080066272,-0.8630142184129053
1996,9.68651813767495,10.538437724362007,-0.8519195866870568
1997,10.170665872808662,10.998746736687684,-0.8280808638790216
