regionno,region,pre_mspe,post_mspe,ratio,rank,rank_trimmed
2,Andalucia,2.8010573596940304e-4,0.25322834630180324,904.0455577441809,1,NA
4,Principado De Asturias,0.0010474803455852897,0.5753351103919375,549.2562345601468,2,NA
16,Navarra (Comunidad Foral De),2.84110889085183e-4,0.1103459071758517,388.39027793393535,3,NA
7,Cantabria,9.501204175244108e-4,0.13879973880098015,146.08647097873157,4,NA
18,Rioja (La),8.982289184884743e-4,0.06093982681158947,67.84442758104255,5,NA
10,Cataluna,0.0060428856855806925,0.391046477668124,64.71187740672052,6,1
17,Basque Country (Pais Vasco),0.008209215256858329,0.4932727364276312,60.087684509859834,7,2
9,Castilla-La Mancha,0.003579796984561515,0.1685388719696603,47.08056705352648,8,3
3,Aragon,0.001557543218118959,0.05341221076792551,34.292602700573084,9,NA
5,Baleares (Islas),0.13883361680683132,2.525731622253283,18.192507552169484,10,NA
6,Canarias,0.007277548575686303,0.07353168074916165,10.10390792784606,11,4
12,Extremadura,0.0790313602042669,0.7407425665407001,9.372767527044378,12,NA
15,Murcia (Region de),0.012916858084671712,0.10862436870178162,8.409503920360084,13,5
8,Castilla Y Leon,0.0030381421116983613,0.016643099654520887,5.4780517311671035,14,6
13,Galicia,0.0018267498538617776,0.00711965444160806,3.897443553400045,15,7
11,Comunidad Valenciana,0.007745208973589996,0.01094733337292058,1.413432924824798,16,8
14,Madrid (Comunidad De),0.5934938911580216,0.6739083410775564,1.135493306868973,17,NA
