year,cigsale,prepost,year0
1970,123,Pre,-19
1971,121,Pre,-18
1972,123.5,Pre,-17
1973,124.4000015258789,Pre,-16
1974,126.69999694824219,Pre,-15
1975,127.0999984741211,Pre,-14
1976,128,Pre,-13
1977,126.4000015258789,Pre,-12
1978,126.0999984741211,Pre,-11
1979,121.9000015258789,Pre,-10
1980,120.19999694824219,Pre,-9
1981,118.5999984741211,Pre,-8
1982,115.4000015258789,Pre,-7
1983,110.80000305175781,Pre,-6
1984,104.80000305175781,Pre,-5
1985,102.80000305175781,Pre,-4
1986,99.69999694824219,Pre,-3
1987,97.5,Pre,-2
1988,90.0999984741211,Pre,-1
1989,82.4000015258789,Post,0
1990,77.80000305175781,Post,1
1991,68.69999694824219,Post,2
1992,67.5,Post,3
1993,63.400001525878906,Post,4
1994,58.599998474121094,Post,5
1995,56.400001525878906,Post,6
1996,54.5,Post,7
1997,53.79999923706055,Post,8
1998,52.29999923706055,Post,9
1999,47.20000076293945,Post,10
2000,41.599998474121094,Post,11
