id,time,growth,ln_y_initial,log_s_k,log_n_gd,log_hcap,gov_cons,growth_dm,ln_y_initial_dm,log_s_k_dm,log_n_gd_dm,log_hcap_dm,gov_cons_dm
1,1,-0.178646762670047,8.24832393325862,-1.65214046580402,-2.70642566039759,0.631672771768663,0.128448000932153,0.01339834375389172,-0.06716396556600124,-0.02085019428796686,-0.03023447778202426,0.01289575402633325,-0.014539294984750067
1,2,-0.151410153406236,7.35509011990838,-1.55787258437049,-2.71209819388511,0.640466755297468,0.132731423376946,0.016744987475112175,-0.012911217111147621,0.060102047132816194,-0.03308865180843723,0.017060523994799515,-0.010193419426724443
1,3,-0.12618165185175,6.5980393528772,-1.58549956274674,-2.66224203438528,0.588620422086017,0.15498454943992,0.016132146690671714,0.058074749949813764,0.0239430916557144,0.012724693752164562,-0.0352088658675489,0.010960649772218
1,4,-0.127530715425426,5.96713109361846,-1.60201631754296,-2.69420238168617,0.60945001128483,0.156086556994019,0.0017272414401296038,0.12599651308858117,0.003996170367541296,-0.019422608609481085,-0.01982422836468356,0.012439403654819492
1,5,-0.118094281260155,5.32947751649132,-1.59652204307898,-2.69134993602366,0.619468198143228,0.154595487992745,-0.00510817069839839,0.12189374997461933,0.0185157353395784,-0.013608865088417854,-0.01014107062489511,0.010941938508971627
1,6,-0.138528767429265,4.73900611019055,-1.68426823824755,-2.65222420623707,0.632840461267139,0.139980208501602,-0.034769251217919864,0.08361392616803265,-0.07041744543616346,0.021694941653571664,0.0025556017847778723,-0.0025768271983180324
1,7,-0.106632786009188,4.04636227304422,-1.65386161063019,-2.65504057688968,0.636117546483289,0.124257162385604,-0.01816443714337715,-0.10297130023617207,-0.04538739089734367,0.020885702247945392,0.008704678767000873,-0.016791901258404185
1,8,-0.0682666672265954,3.51319834299828,-1.57902189276471,-2.63589330703704,0.647668293864269,0.150561801044068,0.010039139699889607,-0.2065324562676576,0.030097986125811937,0.04104926563468991,0.023957606284216726,0.009759450932188996
2,1,-0.190132131767784,7.13304626010767,-1.67763198384096,-2.42699916739584,0.0540201109062577,0.0754557482765566,-0.018930636231751133,-0.2575225236220655,0.1988183347778758,0.09791716029470043,-0.10916651679601763,-0.01386404118197987
2,2,-0.120010840093749,6.18238560126875,-1.81736091788639,-2.47788396443626,0.0933712473532925,0.0713987837583207,0.02730068989969335,-0.2606966206558914,0.04577376071969863,0.04985072271538771,-0.07444459390932157,-0.01785855258698313
2,3,-0.139071234819893,5.58233140080001,-1.84437295622601,-2.50131252504658,0.155231256610105,0.083422555437851,-0.017601047165377123,-0.0327140870324909,0.010229745279227043,0.02237934816583964,-0.01300764130340637,-0.006933837771484375
2,4,-0.129157893164999,4.88697522670054,-1.76430684105073,-2.52134842471843,0.129726443396177,0.0960182280654275,-0.020743547187349262,-0.02924023873445325,0.08686569396255384,0.002156493433234097,-0.043957406213282146,0.006038581184594605
