Notes,State,State Code,County,County Code,Year,Year Code,Deaths,Population,Crude Rate
,Alabama,1,"Autauga County, AL",1001,2009,2009,129,31271,412.5
,Alabama,1,"Autauga County, AL",1001,2010,2010,135,31875,423.5
,Alabama,1,"Autauga County, AL",1001,2011,2011,157,32538,482.5
,Alabama,1,"Autauga County, AL",1001,2012,2012,131,32324,405.3
,Alabama,1,"Autauga County, AL",1001,2013,2013,170,32315,526.1
,Alabama,1,"Autauga County, AL",1001,2014,2014,156,32448,480.8
,Alabama,1,"Autauga County, AL",1001,2015,2015,155,32451,477.6
,Alabama,1,"Autauga County, AL",1001,2016,2016,150,32464,462.1
,Alabama,1,"Autauga County, AL",1001,2017,2017,144,32537,442.6
,Alabama,1,"Autauga County, AL",1001,2018,2018,132,32524,405.9
,Alabama,1,"Autauga County, AL",1001,2019,2019,124,32693,379.3
,Alabama,1,"Baldwin County, AL",1003,2009,2009,417,103603,402.5
,Alabama,1,"Baldwin County, AL",1003,2010,2010,449,105414,425.9
,Alabama,1,"Baldwin County, AL",1003,2011,2011,465,108057,430.3
,Alabama,1,"Baldwin County, AL",1003,2012,2012,451,109714,411.1
,Alabama,1,"Baldwin County, AL",1003,2013,2013,446,111966,398.3
,Alabama,1,"Baldwin County, AL",1003,2014,2014,506,114123,443.4
,Alabama,1,"Baldwin County, AL",1003,2015,2015,505,115587,436.9
,Alabama,1,"Baldwin County, AL",1003,2016,2016,461,117732,391.6
,Alabama,1,"Baldwin County, AL",1003,2017,2017,483,119339,404.7
,Alabama,1,"Baldwin County, AL",1003,2018,2018,532,121781,436.8
,Alabama,1,"Baldwin County, AL",1003,2019,2019,540,124136,435
,Alabama,1,"Barbour County, AL",1005,2009,2009,92,17008,540.9
,Alabama,1,"Barbour County, AL",1005,2010,2010,72,16874,426.7
,Alabama,1,"Barbour County, AL",1005,2011,2011,88,16687,527.4
,Alabama,1,"Barbour County, AL",1005,2012,2012,58,16658,348.2
,Alabama,1,"Barbour County, AL",1005,2013,2013,79,16455,480.1
,Alabama,1,"Barbour County, AL",1005,2014,2014,78,16218,480.9
,Alabama,1,"Barbour County, AL",1005,2015,2015,80,15833,505.3
,Alabama,1,"Barbour County, AL",1005,2016,2016,73,15312,476.8
,Alabama,1,"Barbour County, AL",1005,2017,2017,90,14773,609.2
,Alabama,1,"Barbour County, AL",1005,2018,2018,85,14357,592
,Alabama,1,"Barbour County, AL",1005,2019,2019,91,14230,639.5
,Alabama,1,"Bibb County, AL",1007,2009,2009,70,14187,493.4
,Alabama,1,"Bibb County, AL",1007,2010,2010,77,14243,540.6
,Alabama,1,"Bibb County, AL",1007,2011,2011,77,14237,540.8
,Alabama,1,"Bibb County, AL",1007,2012,2012,70,14073,497.4
,Alabama,1,"Bibb County, AL",1007,2013,2013,84,14002,599.9
,Alabama,1,"Bibb County, AL",1007,2014,2014,80,13994,571.7
,Alabama,1,"Bibb County, AL",1007,2015,2015,72,14046,512.6
,Alabama,1,"Bibb County, AL",1007,2016,2016,74,14009,528.2
,Alabama,1,"Bibb County, AL",1007,2017,2017,97,13907,697.5
,Alabama,1,"Bibb County, AL",1007,2018,2018,83,13658,607.7
,Alabama,1,"Bibb County, AL",1007,2019,2019,78,13669,570.6
,Alabama,1,"Blount County, AL",1009,2009,2009,142,33445,424.6
,Alabama,1,"Blount County, AL",1009,2010,2010,139,33270,417.8
,Alabama,1,"Blount County, AL",1009,2011,2011,164,33590,488.2
,Alabama,1,"Blount County, AL",1009,2012,2012,152,33375,455.4
,Alabama,1,"Blount County, AL",1009,2013,2013,156,33238,469.3
,Alabama,1,"Blount County, AL",1009,2014,2014,194,33015,587.6
,Alabama,1,"Blount County, AL",1009,2015,2015,168,32940,510
,Alabama,1,"Blount County, AL",1009,2016,2016,184,32719,562.4
,Alabama,1,"Blount County, AL",1009,2017,2017,211,32871,641.9
,Alabama,1,"Blount County, AL",1009,2018,2018,177,32627,542.5
,Alabama,1,"Blount County, AL",1009,2019,2019,202,32490,621.7
,Alabama,1,"Bullock County, AL",1011,2009,2009,43,6709,640.9
,Alabama,1,"Bullock County, AL",1011,2010,2010,41,6732,609
,Alabama,1,"Bullock County, AL",1011,2011,2011,26,6621,392.7
,Alabama,1,"Bullock County, AL",1011,2012,2012,28,6484,431.8
,Alabama,1,"Bullock County, AL",1011,2013,2013,37,6603,560.4
,Alabama,1,"Bullock County, AL",1011,2014,2014,42,6612,635.2
,Alabama,1,"Bullock County, AL",1011,2015,2015,33,6619,498.6
,Alabama,1,"Bullock County, AL",1011,2016,2016,33,6250,528
,Alabama,1,"Bullock County, AL",1011,2017,2017,32,6340,504.7
,Alabama,1,"Bullock County, AL",1011,2018,2018,35,6149,569.2
,Alabama,1,"Bullock County, AL",1011,2019,2019,32,6075,526.7
,Alabama,1,"Butler County, AL",1013,2009,2009,84,11823,710.5
,Alabama,1,"Butler County, AL",1013,2010,2010,66,11879,555.6
,Alabama,1,"Butler County, AL",1013,2011,2011,58,11814,490.9
,Alabama,1,"Butler County, AL",1013,2012,2012,81,11700,692.3
,Alabama,1,"Butler County, AL",1013,2013,2013,69,11475,601.3
,Alabama,1,"Butler County, AL",1013,2014,2014,88,11428,770
,Alabama,1,"Butler County, AL",1013,2015,2015,73,11258,648.4
,Alabama,1,"Butler County, AL",1013,2016,2016,88,11049,796.5
,Alabama,1,"Butler County, AL",1013,2017,2017,65,10996,591.1
,Alabama,1,"Butler County, AL",1013,2018,2018,78,10873,717.4
,Alabama,1,"Butler County, AL",1013,2019,2019,62,10707,579.1
,Alabama,1,"Calhoun County, AL",1015,2009,2009,405,70443,574.9
,Alabama,1,"Calhoun County, AL",1015,2010,2010,423,70531,599.7
,Alabama,1,"Calhoun County, AL",1015,2011,2011,400,70480,567.5
,Alabama,1,"Calhoun County, AL",1015,2012,2012,391,69647,561.4
,Alabama,1,"Calhoun County, AL",1015,2013,2013,427,69457,614.8
,Alabama,1,"Calhoun County, AL",1015,2014,2014,426,68767,619.5
,Alabama,1,"Calhoun County, AL",1015,2015,2015,452,68146,663.3
,Alabama,1,"Calhoun County, AL",1015,2016,2016,458,67206,681.5
,Alabama,1,"Calhoun County, AL",1015,2017,2017,452,66791,676.7
,Alabama,1,"Calhoun County, AL",1015,2018,2018,464,66252,700.4
,Alabama,1,"Calhoun County, AL",1015,2019,2019,389,65510,593.8
,Alabama,1,"Chambers County, AL",1017,2009,2009,114,19973,570.8
,Alabama,1,"Chambers County, AL",1017,2010,2010,124,19976,620.7
,Alabama,1,"Chambers County, AL",1017,2011,2011,111,19821,560
,Alabama,1,"Chambers County, AL",1017,2012,2012,159,19823,802.1
,Alabama,1,"Chambers County, AL",1017,2013,2013,143,19954,716.6
,Alabama,1,"Chambers County, AL",1017,2014,2014,113,19785,571.1
,Alabama,1,"Chambers County, AL",1017,2015,2015,130,19783,657.1
,Alabama,1,"Chambers County, AL",1017,2016,2016,130,19521,665.9
,Alabama,1,"Chambers County, AL",1017,2017,2017,115,19468,590.7
,Alabama,1,"Chambers County, AL",1017,2018,2018,111,19372,573
,Alabama,1,"Chambers County, AL",1017,2019,2019,109,18947,575.3
,Alabama,1,"Cherokee County, AL",1019,2009,2009,78,15099,516.6
,Alabama,1,"Cherokee County, AL",1019,2010,2010,82,15124,542.2
,Alabama,1,"Cherokee County, AL",1019,2011,2011,94,15199,618.5
,Alabama,1,"Cherokee County, AL",1019,2012,2012,107,15062,710.4
,Alabama,1,"Cherokee County, AL",1019,2013,2013,112,14977,747.8
,Alabama,1,"Cherokee County, AL",1019,2014,2014,109,14776,737.7
,Alabama,1,"Cherokee County, AL",1019,2015,2015,104,14578,713.4
,Alabama,1,"Cherokee County, AL",1019,2016,2016,107,14466,739.7
,Alabama,1,"Cherokee County, AL",1019,2017,2017,107,14374,744.4
,Alabama,1,"Cherokee County, AL",1019,2018,2018,92,14517,633.7
,Alabama,1,"Cherokee County, AL",1019,2019,2019,106,14533,729.4
,Alabama,1,"Chilton County, AL",1021,2009,2009,148,25579,578.6
,Alabama,1,"Chilton County, AL",1021,2010,2010,143,25670,557.1
,Alabama,1,"Chilton County, AL",1021,2011,2011,139,25794,538.9
,Alabama,1,"Chilton County, AL",1021,2012,2012,162,25622,632.3
,Alabama,1,"Chilton County, AL",1021,2013,2013,151,25800,585.3
,Alabama,1,"Chilton County, AL",1021,2014,2014,133,25644,518.6
,Alabama,1,"Chilton County, AL",1021,2015,2015,163,25495,639.3
,Alabama,1,"Chilton County, AL",1021,2016,2016,142,25419,558.6
,Alabama,1,"Chilton County, AL",1021,2017,2017,151,25423,594
,Alabama,1,"Chilton County, AL",1021,2018,2018,148,25272,585.6
,Alabama,1,"Chilton County, AL",1021,2019,2019,132,25256,522.6
,Alabama,1,"Choctaw County, AL",1023,2009,2009,52,7908,657.6
,Alabama,1,"Choctaw County, AL",1023,2010,2010,48,7869,610
,Alabama,1,"Choctaw County, AL",1023,2011,2011,37,7690,481.1
,Alabama,1,"Choctaw County, AL",1023,2012,2012,51,7656,666.1
,Alabama,1,"Choctaw County, AL",1023,2013,2013,55,7588,724.8
,Alabama,1,"Choctaw County, AL",1023,2014,2014,38,7534,504.4
,Alabama,1,"Choctaw County, AL",1023,2015,2015,46,7395,622
,Alabama,1,"Choctaw County, AL",1023,2016,2016,54,7240,745.9
,Alabama,1,"Choctaw County, AL",1023,2017,2017,52,7126,729.7
,Alabama,1,"Choctaw County, AL",1023,2018,2018,32,7075,452.3
,Alabama,1,"Choctaw County, AL",1023,2019,2019,46,6882,668.4
,Alabama,1,"Clarke County, AL",1025,2009,2009,83,14694,564.9
,Alabama,1,"Clarke County, AL",1025,2010,2010,89,14548,611.8
,Alabama,1,"Clarke County, AL",1025,2011,2011,83,14496,572.6
,Alabama,1,"Clarke County, AL",1025,2012,2012,68,14222,478.1
,Alabama,1,"Clarke County, AL",1025,2013,2013,81,14307,566.2
,Alabama,1,"Clarke County, AL",1025,2014,2014,64,14209,450.4
,Alabama,1,"Clarke County, AL",1025,2015,2015,65,14065,462.1
,Alabama,1,"Clarke County, AL",1025,2016,2016,86,13818,622.4
,Alabama,1,"Clarke County, AL",1025,2017,2017,83,13602,610.2
,Alabama,1,"Clarke County, AL",1025,2018,2018,80,13418,596.2
,Alabama,1,"Clarke County, AL",1025,2019,2019,95,13195,720
,Alabama,1,"Clay County, AL",1027,2009,2009,44,7989,550.8
,Alabama,1,"Clay County, AL",1027,2010,2010,48,7997,600.2
,Alabama,1,"Clay County, AL",1027,2011,2011,64,7890,811.2
,Alabama,1,"Clay County, AL",1027,2012,2012,22,7667,286.9
,Alabama,1,"Clay County, AL",1027,2013,2013,38,7710,492.9
,Alabama,1,"Clay County, AL",1027,2014,2014,54,7706,700.8
,Alabama,1,"Clay County, AL",1027,2015,2015,50,7670,651.9
,Alabama,1,"Clay County, AL",1027,2016,2016,48,7587,632.7
,Alabama,1,"Clay County, AL",1027,2017,2017,44,7594,579.4
,Alabama,1,"Clay County, AL",1027,2018,2018,52,7540,689.7
,Alabama,1,"Clay County, AL",1027,2019,2019,52,7494,693.9
,Alabama,1,"Cleburne County, AL",1029,2009,2009,66,8605,767
,Alabama,1,"Cleburne County, AL",1029,2010,2010,58,8654,670.2
,Alabama,1,"Cleburne County, AL",1029,2011,2011,43,8607,499.6
,Alabama,1,"Cleburne County, AL",1029,2012,2012,58,8494,682.8
,Alabama,1,"Cleburne County, AL",1029,2013,2013,62,8563,724
