Notes,State,State Code,County,County Code,Year,Year Code,Deaths,Population,Crude Rate
,Alabama,1,"Autauga County, AL",1001,2009,2009,412,54135,761.1
,Alabama,1,"Autauga County, AL",1001,2010,2010,433,54571,793.5
,Alabama,1,"Autauga County, AL",1001,2011,2011,456,55267,825.1
,Alabama,1,"Autauga County, AL",1001,2012,2012,514,55514,925.9
,Alabama,1,"Autauga County, AL",1001,2013,2013,535,55246,968.4
,Alabama,1,"Autauga County, AL",1001,2014,2014,482,55395,870.1
,Alabama,1,"Autauga County, AL",1001,2015,2015,523,55347,944.9
,Alabama,1,"Autauga County, AL",1001,2016,2016,520,55416,938.4
,Alabama,1,"Autauga County, AL",1001,2017,2017,528,55504,951.3
,Alabama,1,"Autauga County, AL",1001,2018,2018,536,55601,964
,Alabama,1,"Autauga County, AL",1001,2019,2019,545,55869,975.5
,Alabama,1,"Baldwin County, AL",1003,2009,2009,1708,179406,952
,Alabama,1,"Baldwin County, AL",1003,2010,2010,1798,182265,986.5
,Alabama,1,"Baldwin County, AL",1003,2011,2011,1852,186717,991.9
,Alabama,1,"Baldwin County, AL",1003,2012,2012,1801,190790,944
,Alabama,1,"Baldwin County, AL",1003,2013,2013,1973,195540,1009
,Alabama,1,"Baldwin County, AL",1003,2014,2014,1952,200111,975.5
,Alabama,1,"Baldwin County, AL",1003,2015,2015,2092,203709,1027
,Alabama,1,"Baldwin County, AL",1003,2016,2016,1974,208563,946.5
,Alabama,1,"Baldwin County, AL",1003,2017,2017,2189,212628,1029.5
,Alabama,1,"Baldwin County, AL",1003,2018,2018,2357,218022,1081.1
,Alabama,1,"Baldwin County, AL",1003,2019,2019,2283,223234,1022.7
,Alabama,1,"Barbour County, AL",1005,2009,2009,302,27657,1091.9
,Alabama,1,"Barbour County, AL",1005,2010,2010,283,27457,1030.7
,Alabama,1,"Barbour County, AL",1005,2011,2011,299,27119,1102.5
,Alabama,1,"Barbour County, AL",1005,2012,2012,272,27201,1000
,Alabama,1,"Barbour County, AL",1005,2013,2013,278,27076,1026.7
,Alabama,1,"Barbour County, AL",1005,2014,2014,298,26887,1108.3
,Alabama,1,"Barbour County, AL",1005,2015,2015,295,26489,1113.7
,Alabama,1,"Barbour County, AL",1005,2016,2016,256,25965,985.9
,Alabama,1,"Barbour County, AL",1005,2017,2017,320,25270,1266.3
,Alabama,1,"Barbour County, AL",1005,2018,2018,312,24881,1254
,Alabama,1,"Barbour County, AL",1005,2019,2019,334,24686,1353
,Alabama,1,"Bibb County, AL",1007,2009,2009,214,22941,932.8
,Alabama,1,"Bibb County, AL",1007,2010,2010,225,22915,981.9
,Alabama,1,"Bibb County, AL",1007,2011,2011,247,22766,1085
,Alabama,1,"Bibb County, AL",1007,2012,2012,250,22597,1106.3
,Alabama,1,"Bibb County, AL",1007,2013,2013,242,22512,1075
,Alabama,1,"Bibb County, AL",1007,2014,2014,237,22506,1053.1
,Alabama,1,"Bibb County, AL",1007,2015,2015,238,22583,1053.9
