group,t,est,se,weighting
2014,2009,8.483346678292015,4.184432074710148,Unweighted
2014,2010,1.687567633607749,4.110140693869968,Unweighted
2014,2011,3.8375165819337456,4.443588611588599,Unweighted
2014,2012,7.3311416729338434,5.371332710911372,Unweighted
2014,2013,0,NA,Unweighted
2014,2014,-1.2256473242376458,4.805440724943649,Unweighted
2014,2015,5.364411236519965,4.895520104118734,Unweighted
2014,2016,12.236803019645167,4.632092425645299,Unweighted
2014,2017,13.544404301121153,5.036302524097275,Unweighted
2014,2018,9.689343825949653,5.574341874522116,Unweighted
2014,2019,16.957704981245975,5.017902404032648,Unweighted
2015,2009,0.15409452604775042,7.089737046334161,Unweighted
2015,2010,4.889724782237416,6.758605163417842,Unweighted
2015,2011,6.750930722356667,6.692673611586671,Unweighted
2015,2012,-0.6553409394691698,8.820280498156093,Unweighted
2015,2013,-1.9859842310933393,7.8088607240720656,Unweighted
2015,2014,0,NA,Unweighted
2015,2015,0.2033344893724295,7.106934919948527,Unweighted
2015,2016,6.846813658711466,7.177597130659938,Unweighted
2015,2017,11.119860643867064,7.8938532020049745,Unweighted
2015,2018,-0.3842921627597681,8.439491475742116,Unweighted
2015,2019,6.917516859811444,7.529141060224082,Unweighted
2016,2009,23.123967159434404,14.012781082607495,Unweighted
2016,2010,25.844861237739185,26.098067871169086,Unweighted
2016,2011,12.973327513759532,21.107690997720745,Unweighted
2016,2012,6.6743289815431535,15.364809270955838,Unweighted
2016,2013,10.337335308593246,14.015610918433472,Unweighted
2016,2014,2.336876979317456,11.997436845506188,Unweighted
2016,2015,0,NA,Unweighted
2016,2016,0.5782363924340075,13.04038490417098,Unweighted
2016,2017,-16.754791578976924,12.685983830790114,Unweighted
2016,2018,-34.2161147168457,12.639111583374183,Unweighted
2016,2019,-18.835717395783913,14.745740494704819,Unweighted
2019,2009,-23.543324011985302,10.746733639045605,Unweighted
2019,2010,-25.113816021496035,9.652381613189299,Unweighted
2019,2011,-12.810978952170803,10.886964726977265,Unweighted
2019,2012,-15.928481389372173,9.824181248552675,Unweighted
2019,2013,-21.016395370155838,10.518378568907506,Unweighted
2019,2014,-13.318446617932166,9.449047186815399,Unweighted
2019,2015,-4.657274824384129,9.343579793020885,Unweighted
2019,2016,6.998509240271959,8.700534123287568,Unweighted
2019,2017,5.14575322239903,8.514850144486624,Unweighted
2019,2018,0,NA,Unweighted
2019,2019,3.4765284779546177,8.44192196809746,Unweighted
2014,2009,1.7459965659387582,3.295615954294815,Population-weighted
2014,2010,0.3398635854502374,3.224306396385764,Population-weighted
2014,2011,2.8727887071778317,2.9105194131353653,Population-weighted
2014,2012,1.5112885891992236,4.5693706343809835,Population-weighted
2014,2013,0,NA,Population-weighted
2014,2014,-3.7561045985436974,3.2022914220034786,Population-weighted
2014,2015,-1.3134563016554819,4.538202418886992,Population-weighted
2014,2016,3.2809382595802417,4.085144297732195,Population-weighted
2014,2017,-4.710990755866446,5.1897177144673625,Population-weighted
2014,2018,-0.08449125887541431,5.390512033323643,Population-weighted
2014,2019,2.4772492894452762,5.842521140161183,Population-weighted
2015,2009,5.041504989491605,4.145301009718212,Population-weighted
2015,2010,-1.4060008578520165,3.6332020126468474,Population-weighted
2015,2011,7.858304297413308,5.24231206317499,Population-weighted
2015,2012,3.6496282004265064,3.3969458992608392,Population-weighted
2015,2013,4.044957335918268,3.583369296413228,Population-weighted
2015,2014,0,NA,Population-weighted
2015,2015,3.939584284239465,3.809063056182995,Population-weighted
2015,2016,13.709309184262656,3.5889112937482843,Population-weighted
2015,2017,19.515275790538023,4.16597454415178,Population-weighted
2015,2018,6.033308927486665,3.887167454484082,Population-weighted
2015,2019,7.016006327132033,3.9182742104645603,Population-weighted
2016,2009,11.8781899105916,11.053407078040504,Population-weighted
2016,2010,26.649216593298064,40.445598067130064,Population-weighted
2016,2011,8.749523889360121,26.279714866524568,Population-weighted
2016,2012,4.733911290854686,8.204387382539956,Population-weighted
2016,2013,5.331885256204447,7.093250917528679,Population-weighted
2016,2014,2.4838716035770245,8.327033432329989,Population-weighted
2016,2015,0,NA,Population-weighted
2016,2016,-8.721004760526137,8.182299215956284,Population-weighted
2016,2017,-8.875638018841343,6.7669335764905085,Population-weighted
2016,2018,-18.679224363392123,7.162400599575882,Population-weighted
2016,2019,-13.986773190360621,7.162201182606535,Population-weighted
2019,2009,-15.350319046120777,8.438259629750819,Population-weighted
2019,2010,-25.79180275961189,8.15326734096807,Population-weighted
2019,2011,-17.2584216266139,7.980830001481892,Population-weighted
2019,2012,-12.467255261888697,7.793632967473153,Population-weighted
2019,2013,-15.205223644574552,6.501304646141793,Population-weighted
2019,2014,-13.879141925037272,6.948554704996558,Population-weighted
2019,2015,-5.506909927146811,5.807216107968505,Population-weighted
2019,2016,-1.1005425998579539,4.431154494810872,Population-weighted
2019,2017,3.2013647385578645,4.671646452671049,Population-weighted
2019,2018,0,NA,Population-weighted
2019,2019,3.308993556075082,4.536596849950869,Population-weighted
