e,est,se,weighting,lo95,hi95
-5,8.483346678292015,4.34674114003621,Unweighted,-0.03626595617895667,17.00295931276299
-4,1.687567633607749,4.181408098848973,Unweighted,-6.507992240136238,9.883127507351736
-3,3.8375165819337456,4.299579705339252,Unweighted,-4.589659640531189,12.264692804398681
-2,7.3311416729338434,5.320482928844499,Unweighted,-3.097004867601375,17.759288213469063
-1,0,NA,Unweighted,NA,NA
0,-1.2256473242376458,5.0005650926337095,Unweighted,-11.026754905799715,8.575460257324425
1,5.364411236519965,4.897826358677464,Unweighted,-4.235328426487865,14.964150899527795
2,12.236803019645167,4.7637336865791395,Unweighted,2.899884993950055,21.573721045340278
3,13.544404301121153,5.185319392151014,Unweighted,3.381178292505167,23.70763030973714
4,9.689343825949653,5.647529257760207,Unweighted,-1.3798135192603542,20.758501171159658
5,16.957704981245975,5.168697122374483,Unweighted,6.827058621391988,27.088351341099962
-5,1.7459965659393153,3.3300754745722387,Population-weighted,-4.780951364222272,8.272944496100903
-4,0.3398635854513872,3.2793337329719847,Population-weighted,-6.087630531173703,6.7673577020764775
-3,2.8727887071780827,2.915876609223677,Population-weighted,-2.8423294469003246,8.58790686125649
-2,1.5112885891995858,4.509183411457281,Population-weighted,-7.326710897256685,10.349288075655856
-1,0,NA,Population-weighted,NA,NA
0,-3.7561045985458277,3.139847632880972,Population-weighted,-9.910205958992533,2.3979967619008775
1,-1.3134563016583332,4.778478588885146,Population-weighted,-10.679274335873219,8.052361732556554
2,3.2809382595788175,4.019426345947832,Population-weighted,-4.5971373784789336,11.15901389763657
3,-4.710990755874354,5.408357775035957,Population-weighted,-15.31137199494483,5.889390483196122
4,-0.08449125888452835,5.2947533014266,Population-weighted,-10.462207729680664,10.293225211911608
5,2.47724928943416,5.727002667353126,Population-weighted,-8.747675938577967,13.702174517446288
