e,est,se,weighting,lo95,hi95
-10,-23.543324011985302,10.14979095819088,Unweighted,-43.436914290039425,-3.649733733931175
-9,-25.113816021496035,9.471819893534715,Unweighted,-43.67858301282408,-6.549049030167996
-8,-12.810978952170803,10.576995741452857,Unweighted,-33.5418906054184,7.919932701076796
-7,-0.3410233849128961,8.246688011438202,Unweighted,-16.504531887331773,15.822485117505979
-6,-1.2682502295987823,7.95631407566499,Unweighted,-16.86262581790216,14.326125358704596
-5,6.132266947468397,3.5554716821072314,Unweighted,-0.8364575494617768,13.10099144439857
-4,2.0069062366578176,3.2652150385553864,Unweighted,-4.3929152389107395,8.406727712226374
-3,4.039212296540682,3.343305747377726,Unweighted,-2.5136669683196606,10.592091561401023
-2,5.620830870350742,3.841341912397765,Unweighted,-1.9081992779488761,13.14986101865036
-1,0,NA,Unweighted,NA,NA
0,-0.45110196382903256,3.7210898999867936,Unweighted,-7.744438167803148,6.842234240145082
1,3.9122413108786898,3.9696731595496058,Unweighted,-3.868318081838537,11.692800703595918
2,8.604662523870847,3.848840152400133,Unweighted,1.0609358251665864,16.148389222575105
3,9.202086738209873,4.198252016405927,Unweighted,0.9735127860542558,17.430660690365492
4,9.276826496785478,4.88525377868724,Unweighted,-0.298270909441511,18.85192390301247
5,16.957704981245975,5.311427355619686,Unweighted,6.54730736423139,27.36810259826056
-10,-15.350319046120777,8.27952244124225,Population-weighted,-31.578183030955586,0.8775449387140313
-9,-25.79180275961189,8.185782314256755,Population-weighted,-41.83593609555513,-9.74766942366865
-8,-17.2584216266139,8.32814578918209,Population-weighted,-33.5815873734108,-0.935255879817003
-7,-3.5994009702692704,6.776555608788619,Population-weighted,-16.881449963494966,9.682648022956423
-6,2.869504143622789,7.344072388805105,Population-weighted,-11.524877738435217,17.263886025680794
-5,0.75032610883655,2.9335631516725464,Population-weighted,-4.999457668441641,6.500109886114741
-4,1.0051971760845733,2.735445610925166,Population-weighted,-4.356276221328752,6.366670573497899
-3,2.8191917936315454,2.5201117976241516,Population-weighted,-2.120227329711792,7.758610916974883
-2,1.9211436749708368,3.7327372632777704,Population-weighted,-5.395021361053594,9.237308710995267
-1,0,NA,Population-weighted,NA,NA
0,-2.654781347201758,2.617118016559142,Population-weighted,-7.784332659657676,2.4747699652541604
1,0.22873350924952135,3.8852001036201087,Population-weighted,-7.386258693845892,7.843725712344935
2,4.486848114834675,3.676962077240279,Population-weighted,-2.7199975565562715,11.693693786225623
3,-3.7372201195544776,4.752814619118469,Population-weighted,-13.052736773026677,5.578296533917722
4,0.793160437841388,4.701855325780269,Population-weighted,-8.422476000687938,10.008796876370715
5,2.4772492894452762,5.876907008137407,Population-weighted,-9.04148844650404,13.995987025394594
