lb,ub,method,Delta,Mbar,weighting
2.0126263636995105,14.08838454589663,C-LF,DeltaRM,0,Unweighted
-16.77188636416266,32.872897273758795,C-LF,DeltaRM,0.25,Unweighted
-40.92340272855688,57.02441363815302,C-LF,DeltaRM,0.5,Unweighted
-63.733168183818094,66.41667000208412,C-LF,DeltaRM,0.75,Unweighted
-66.41667000208412,66.41667000208412,C-LF,DeltaRM,1,Unweighted
-66.41667000208412,66.41667000208412,C-LF,DeltaRM,1.5,Unweighted
-66.41667000208412,66.41667000208412,C-LF,DeltaRM,2,Unweighted
-6.065321330948265,6.065321330948265,C-LF,DeltaRM,0,Population-weighted
-22.239511546810313,22.239511546810306,C-LF,DeltaRM,0.25,Population-weighted
-42.45724931663786,43.80509850129303,C-LF,DeltaRM,0.5,Population-weighted
-64.0228362711206,64.02283627112058,C-LF,DeltaRM,0.75,Population-weighted
-66.71853464043093,66.71853464043093,C-LF,DeltaRM,1,Population-weighted
-66.71853464043093,66.71853464043093,C-LF,DeltaRM,1.5,Population-weighted
-66.71853464043093,66.71853464043093,C-LF,DeltaRM,2,Population-weighted
1.4083559556686396,14.425784073385302,Original,NA,NA,Unweighted
-6.272631269057526,6.803961230595735,Original,NA,NA,Population-weighted
