sale_month,sale_year,cpi_value,correction_term_dec_2004,geo_code,parcel,amt_Price,sale_date,year_built,HEATED,BATHS,BEDROOMS,neighborhood,distance,srn,offender_address_date,building_grade,offender,streetname,BQM1,BQM2,AIRCOND,HEIGHT,WALL,AGE,NEW,orig_distance,close_offender,post_move,close_post_move,neighbor_year,CNTLBQM1_2,CNTLBQM1_3,CNTLBQM1_4,CNTLBQM1_5,CNTLBQM1_6,CNTLWALL_2,CNTLWALL_3,CNTLWALL_4,CNTLWALL_5,CNTLWALL_6,CNTLWALL_7,CNTLWALL_8,CNTLWALL_9,CNTLWALL_10,CNTLHEIGHT_2,CNTLHEIGHT_3,CNTLHEIGHT_4,CNTLHEIGHT_5,CNTLHEIGHT_6,log_price,dist_post,post,srn_year,offdays
9,2003,178.3000030517578,1.0768368244171143,371190064001,00323221,53841.84122085571,2003-09-12,1970,1025,1,3,DAVIDSON / CORNELIUS,0.31318163871765137,009085S5,2003-04-15,b02,1, WSIDE TR,2,2,0,1,FACE BRICK,30,0,0.9395449161529541,0,1,0,1769,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.893806457519531,0,Post,009085S5-2003,150
5,2002,173.1999969482422,1.1085450649261475,371190064001,00323223,77598.15454483032,2002-05-08,1970,1161,1,3,DAVIDSON / CORNELIUS,0.301422913869222,009085S5,2003-04-15,b02,1, WSIDE TR,2,2,0,1,FACE BRICK,30,0,0.904268741607666,0,0,0,1768,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.259299278259277,0,Pre,009085S5-2002,-342
5,2003,176.8000030517578,1.0859729051589966,371190064001,00323307,84705.88660240173,2003-05-23,1970,1025,1,3,DAVIDSON / CORNELIUS,0.2636740605036418,009085S5,2003-04-15,b02,1, MALLARD CT,2,2,0,1,FACE BRICK,30,0,0.7910221815109253,0,1,0,1769,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.346940040588379,0,Post,009085S5-2003,38
9,2003,178.3000030517578,1.0768368244171143,371190064001,00323315,92607.96689987183,2003-09-29,2003,1088,2,3,DAVIDSON / CORNELIUS,0.32090942064921063,009085S5,2003-04-15,a03,1, WSIDE TR,1,3,1,1,"ALUM,VINYL",0,1,0.9627282619476318,0,1,0,1769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.43613052368164,0,Post,009085S5-2003,167
3,2003,177.5,1.0816901922225952,371190064001,00323334,48676.058650016785,2003-03-06,1945,1036,1,3,DAVIDSON / CORNELIUS,0.23655160268147787,009085S5,2003-04-15,a03,1, MOCK RD,1,3,0,1,"ALUM,VINYL",30,0,0.7096548080444336,0,0,0,1769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.792943000793457,0,Pre,009085S5-2003,-40
10,2003,178.10000610351562,1.0780460834503174,371190064001,00323407B,92711.9631767273,2003-10-01,1911,1140,1,2,DAVIDSON / CORNELIUS,0.190156618754069,009085S5,2003-04-15,b01,1, MOCK CR,2,1,1,2,FACE BRICK,30,0,0.570469856262207,0,1,0,1769,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11.43725299835205,0,Post,009085S5-2003,169
12,2002,174.60000610351562,1.099656343460083,371190064001,00323510,41786.941051483154,2002-12-20,1978,968,1,3,DAVIDSON / CORNELIUS,0.27230950196584064,009085S5,2003-04-15,a03,1, MOCK RD,1,3,0,1,"ALUM,VINYL",24,0,0.816928505897522,0,0,0,1768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.640338897705078,0,Pre,009085S5-2002,-116
9,2004,182.8000030517578,1.050328254699707,371190064001,00323536B,110284.46674346924,2004-09-07,2004,1578,2,3,DAVIDSON / CORNELIUS,0.3324039777119954,009085S5,2003-04-15,b03,1, SLOAN ST,2,3,1,2,"ALUM,VINYL",0,1,0.9972119331359863,0,1,0,1770,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.610817909240723,0,Post,009085S5-2004,511
12,2003,177.5,1.0816901922225952,371190064001,00323546,61656.34095668793,2003-12-04,1970,912,1,2,DAVIDSON / CORNELIUS,0.31137146552403766,009085S5,2003-04-15,b03,1, LAKESIDE AV,2,3,1,1,"ALUM,VINYL",30,0,0.934114396572113,0,1,0,1769,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02933120727539,0,Post,009085S5-2003,233
7,2004,182.60000610351562,1.051478624343872,371190064001,00323546,54676.88846588135,2004-07-28,1970,912,1,2,DAVIDSON / CORNELIUS,0.31137146552403766,009085S5,2003-04-15,b03,1, LAKESIDE AV,2,3,1,1,"ALUM,VINYL",30,0,0.934114396572113,0,1,0,1770,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.909196853637695,0,Post,009085S5-2004,470
