bin,x,tau,se,ci_lower,ci_upper
1,0.011367644345949567,-0.23057118822096534,0.055972339402579854,-0.34027697345002184,-0.12086540299190883
1,0.05083994147559953,-0.23057118822096534,0.055972339402579854,-0.34027697345002184,-0.12086540299190883
1,0.052917430798212685,NA,0.055972339402579854,NA,NA
2,0.054014354944229126,-0.1652435959299936,0.045119291989688115,-0.2536774082297823,-0.0768097836302049
2,0.07485591371854147,-0.1652435959299936,0.045119291989688115,-0.2536774082297823,-0.0768097836302049
2,0.0759528378645579,NA,0.045119291989688115,NA,NA
3,0.07683706945843168,-0.02982773564870911,0.0480822877072215,-0.12406901955486324,0.06441354825744502
3,0.09363746974203321,-0.02982773564870911,0.0480822877072215,-0.12406901955486324,0.06441354825744502
3,0.09452170133590698,NA,0.0480822877072215,NA,NA
4,0.09527921061667186,0.005593256862431062,0.047402024369129485,-0.08731471090106273,0.09850122462592485
4,0.10967188695120432,0.005593256862431062,0.047402024369129485,-0.08731471090106273,0.09850122462592485
4,0.11042939623196919,NA,0.047402024369129485,NA,NA
5,0.11120857511247907,-0.013286241527946885,0.048231969062433905,-0.10782090089031733,0.08124841783442356
5,0.12601297384216673,-0.013286241527946885,0.048231969062433905,-0.10782090089031733,0.08124841783442356
5,0.1267921527226766,NA,0.048231969062433905,NA,NA
6,0.12741394317339338,-0.10000605503263671,0.04815680439132694,-0.1943933916396375,-0.00561871842563591
6,0.1392279617370121,-0.10000605503263671,0.04815680439132694,-0.1943933916396375,-0.00561871842563591
6,0.13984975218772888,NA,0.04815680439132694,NA,NA
7,0.14046646347121586,-0.05912352079080918,0.04453356199706621,-0.14640930230505894,0.02816226072344058
7,0.15218397785746862,-0.05912352079080918,0.04453356199706621,-0.14640930230505894,0.02816226072344058
7,0.1528006891409556,NA,0.04453356199706621,NA,NA
8,0.1533475395232912,0.06823261313409112,0.046449392238196524,-0.02280819565277406,0.1592734219209563
8,0.16373769678766767,0.06823261313409112,0.046449392238196524,-0.02280819565277406,0.1592734219209563
8,0.16428454717000326,NA,0.046449392238196524,NA,NA
9,0.16482709040717475,-0.08826319788924764,0.0492977976888431,-0.1848868813593801,0.008360485580884841
9,0.17513541191343276,-0.08826319788924764,0.0492977976888431,-0.1848868813593801,0.008360485580884841
9,0.17567795515060425,NA,0.0492977976888431,NA,NA
10,0.176242210562267,-0.07466279694332911,0.05034602333413592,-0.1733410026782355,0.024015408791577278
