"index","viol","prop","murd"
1,"Dprison","Dprison","Dprison"
2,"Dpolice","Dpolice","Dpolice"
3,"Dur","Dur","Dur"
4,"Dinc","Dinc","Dinc"
5,"Dpov","Dpov","Dpov"
6,"Dafdc","Dafdc","Dafdc"
7,"Dbeer","Dbeer","Dbeer"
8,"Lprison","Lprison","Lprison"
9,"Lpolice","Lpolice","Lpolice"
10,"Lur","Lur","Lur"
11,"Linc","Linc","Linc"
12,"Lpov","Lpov","Lpov"
13,"Lafdc","Lafdc","Lafdc"
14,"Lbeer","Lbeer","Lbeer"
15,"Lprison^2","Lprison^2","Lprison^2"
16,"Lpolice^2","Lpolice^2","Lpolice^2"
17,"Lur^2","Lur^2","Lur^2"
18,"Linc^2","Linc^2","Linc^2"
19,"Lpov^2","Lpov^2","Lpov^2"
20,"Lafdc^2","Lafdc^2","Lafdc^2"
21,"Lbeer^2","Lbeer^2","Lbeer^2"
22,"Dprison*t","Dprison*t","Dprison*t"
23,"Dpolice*t","Dpolice*t","Dpolice*t"
24,"Dur*t","Dur*t","Dur*t"
25,"Dinc*t","Dinc*t","Dinc*t"
26,"Dpov*t","Dpov*t","Dpov*t"
27,"Dafdc*t","Dafdc*t","Dafdc*t"
28,"Dbeer*t","Dbeer*t","Dbeer*t"
29,"Dprison*t^2","Dprison*t^2","Dprison*t^2"
30,"Dpolice*t^2","Dpolice*t^2","Dpolice*t^2"
31,"Dur*t^2","Dur*t^2","Dur*t^2"
32,"Dinc*t^2","Dinc*t^2","Dinc*t^2"
33,"Dpov*t^2","Dpov*t^2","Dpov*t^2"
34,"Dafdc*t^2","Dafdc*t^2","Dafdc*t^2"
35,"Dbeer*t^2","Dbeer*t^2","Dbeer*t^2"
36,"Dprison^2","Dprison^2","Dprison^2"
37,"Dpolice^2","Dpolice^2","Dpolice^2"
38,"Dur^2","Dur^2","Dur^2"
39,"Dinc^2","Dinc^2","Dinc^2"
40,"Dpov^2","Dpov^2","Dpov^2"
41,"Dafdc^2","Dafdc^2","Dafdc^2"
42,"Dbeer^2","Dbeer^2","Dbeer^2"
43,"Dprison^2*t","Dprison^2*t","Dprison^2*t"
44,"Dpolice^2*t","Dpolice^2*t","Dpolice^2*t"
45,"Dur^2*t","Dur^2*t","Dur^2*t"
46,"Dinc^2*t","Dinc^2*t","Dinc^2*t"
47,"Dpov^2*t","Dpov^2*t","Dpov^2*t"
48,"Dafdc^2*t","Dafdc^2*t","Dafdc^2*t"
49,"Dbeer^2*t","Dbeer^2*t","Dbeer^2*t"
50,"Dprison^2*t^2","Dprison^2*t^2","Dprison^2*t^2"
51,"Dpolice^2*t^2","Dpolice^2*t^2","Dpolice^2*t^2"
52,"Dur^2*t^2","Dur^2*t^2","Dur^2*t^2"
53,"Dinc^2*t^2","Dinc^2*t^2","Dinc^2*t^2"
54,"Dpov^2*t^2","Dpov^2*t^2","Dpov^2*t^2"
55,"Dafdc^2*t^2","Dafdc^2*t^2","Dafdc^2*t^2"
56,"Dbeer^2*t^2","Dbeer^2*t^2","Dbeer^2*t^2"
57,"Dprison*Dpolice","Dprison*Dpolice","Dprison*Dpolice"
58,"Dprison*Dur","Dprison*Dur","Dprison*Dur"
59,"Dprison*Dinc","Dprison*Dinc","Dprison*Dinc"
60,"Dprison*Dpov","Dprison*Dpov","Dprison*Dpov"
