"method","outcome","estimate","std_error","n_selected","ci_lo","ci_hi"
"First diff","Violent crime",-0.152097444374659,0.0336764444853156,NA,-0.218103275565877,-0.0860916131834401
"OLS (full)","Violent crime",0.0135180046049008,0.0910543384617197,284,-0.16494849878007,0.191984507989871
"PSL","Violent crime",-0.156686842918033,0.0341810725146339,3,-0.223681745046715,-0.0896919407893502
"DL (rigorous)","Violent crime",-0.0963597288545164,0.051439614549407,8,-0.197181373371354,0.00446191566232138
"DL (CV)","Violent crime",0.0192633637073966,0.0978072351601965,150,-0.172438817206589,0.210965544621382
"First diff","Property crime",-0.108376261772691,0.021934448846863,NA,-0.151367781512543,-0.0653847420328397
"OLS (full)","Property crime",-0.194978240896292,0.047174014378525,284,-0.287439309078201,-0.102517172714384
"PSL","Property crime",-0.0683466939557037,0.0319151589164112,12,-0.13090040543187,-0.0057929824795378
"DL (rigorous)","Property crime",-0.0313741796848638,0.0227237091656659,12,-0.0759126496495689,0.0131642902798413
"DL (CV)","Property crime",-0.178425333859906,0.0652801074205474,109,-0.306374344404179,-0.0504763233156335
"First diff","Murder",-0.203864720365341,0.0667278782102044,NA,-0.334651361657342,-0.0730780790733403
"OLS (full)","Murder",2.34262541389154,0.311400743384765,284,1.7322799568574,2.95297087092568
"PSL","Murder",-0.206132182433084,0.0513725140224427,0,-0.306822309917071,-0.105442054949096
"DL (rigorous)","Murder",-0.16620610919525,0.0790233454949429,9,-0.321091866365338,-0.0113203520251622
"DL (CV)","Murder",-1.11276340830244,0.389735035704437,161,-1.87664407828314,-0.348882738321748
